島村卯月,う～……
モバＰ,……
卯月,う～、う～……
速水奏,Ｐさん、この後の予定だけど
モバＰ,おー、雑誌のカバー撮影が一件入ってる。付き添いいる？
奏,ん、お願いするわ
モバＰ,りょーかい
卯月,うー！！
奏,……反応してあげたら？
モバＰ,あざとい構ってちゃんは、そっと見守っとくのが最適解だと思ってるんだけど、どうだろうか
奏,面倒を回避する危機管理、という意味では正解ね。けど、プロデューサーとしては否と言わざるを得ないわ
モバＰ,……そっか
卯月,……む～
モバＰ,……
卯月,……
モバＰ,……
卯月,……？
モバＰ,……
奏,……卯月。どうやらこの人、プロデューサーという立場より、面倒を回避する方を選んだみたいよ
卯月,なっ！？
モバＰ,危機管理としては正解って、奏のお墨付きだからね。そりゃそっと見守るよね
卯月,プロデューサーとしては否っ！プロデューサーとしては否ぁ！！！
モバＰ,あ、こらっ！アイドルが癇癪を起こすなんて許しませんよ！プロデューサーとして見過ごせません！
卯月,っっ、んっふぅんっ！！……言葉が出なくて変な吐息になっちゃったじゃないですか！！
モバＰ,プロデューサーとしては、卯月にお色気路線をやらすつもりは無いからな
卯月,～～！プロデューサーとしてはもういいですっ！！
モバＰ,プロデューサーとしてはもういい……やっぱり見守ることが正解だったか
卯月,も゛お゛お゛！！プロデューサーさんの方が面倒くさいじゃないですか！！いいから私を気にかけてくださいよぅ！！悩んでいるんですからっ！！
モバＰ,なら、最初から素直に言いなさい。黙ってても助けて貰えるなんて甘いですよ！そんな考えじゃ、欲望と幻想が渦巻くこの芸能界を生き抜くことなんて出来ません！お母さん、卯月ちゃんの為を想って言ってるんですからね！分かった？分かったなら反省なさいな
卯月,あぁ！？
モバＰ,やだ……ぶちぎれ……
奏,……Ｐさん。流石にふざけ過ぎ
モバＰ,ごめんごめん、つい。けど、実際言ってくれないと分からん時もあるからな？あんまり俺の洞察力に期待しちゃ駄目だぞ
卯月,う～……それでも、女の子は気にかけて欲しいんです。自分からじゃ言いにくいことだってあるんですから
モバＰ,りょーかい。気をつけるよ。で、どうしたんだ？
卯月,どうしたというか……えっと……昨日のドラマ収録の後に……その……
モバＰ,後に？
卯月,……あぅ～
奏,何か失敗したの？
卯月,いえ……そうじゃなくて……共演者の方から……
モバＰ,方から？
卯月,お付き合いを申し込まれまして……
モバＰ,……
奏,あら。色のある話ね、Ｐさん？
モバＰ,……うん。卯月、どこの誰だか教えてくれるか？
卯月,え？あ、あの……
奏,……怒ってる？
モバＰ,あぁ、すまん。相手次第で対策が変わってくるから……っと、その前に一番大事な事を聞かないとな。卯月はどうしたい？その人と男女の関係になりたいか？
卯月,まさかっ！なんでそんなこと聞くんですか！？プロデューサーさんは私がそんな尻軽だと思ってるんですか！？
モバＰ,す、すまん……卯月の気持ちも考慮しなきゃと思って……。そんな怒らんでも……
奏,男女の関係とか言うからよ。でも、考慮するとか意外ね。アイドルは恋愛禁止じゃないの？
モバＰ,基本的にはそういうスタンスだよ。ただ、契約には無い。個人の意思は尊重されてる。だから、お互いが真剣ならうちの事務所は全力でサポートするよ
奏,へぇ……ふふ
モバＰ,……お互いが真剣ならな？それを見極める為の審査が厳重に行われるからな？それもうちの事務所はってことで、相手方が駄目だったらそこで終了だからな？
奏,なら、同じ事務所同士だったらハードルは下がる訳ね？Ｐさん？
モバＰ,下がりません！こ、こら、近いって！
奏,そんな慌て方は逆に嗜虐心を煽るだけよ？……ねぇ、キスしていい？
モバＰ,またそんな事言って。ホントにしようとすると、照れて慌てるタイプなくせに
奏,ふ～ん？じゃ、試してみましょう。ん
モバＰ,ちょっ！？ば、ばかっ！なにをマジでっ！！
奏,……ふふふ。照れて慌てるタイプはＰさんじゃない。かわいいわね？
モバＰ,ぐっ……。ぬぅ……その余裕……。君、ホントに未成年？年齢偽ってない？
奏,菜々さんに誓って偽ってないわ
モバＰ,疑いが強まってるじゃん
奏,……ふふ
モバＰ,おっと、意味深な笑い
奏,ううん。違うの。やっぱりＰさんと会話するの心地いいなって思って
モバＰ,そう？あんまり口が上手い方だとは思わんけど
奏,そういう事じゃないのよ。わかるでしょ？私が伝えたいこと
モバＰ,……さあ？
奏,はっきり言いましょうか？
モバＰ,駄目です
奏,ふふ、ちゃんと伝わってるじゃない
モバＰ,知らんけど
奏,はいはい。私は真剣だからね？いつかお互いが真剣になれたらいいな？
モバＰ,とか言いつつ、キスしようとすんな！俺の意思をぶっ飛ばして……！？
卯月,な゛あ゛あ゛あ゛！！
奏,！
モバＰ,ぬあぁ！！あぶねぇ！！！
卯月,ふー！ふー！！
奏,卯月がぶっ飛んできたわね……
モバＰ,こ、こら！素人がフライングボディアタックしたら怪我するだろ！？やる方も受ける方も技術があるからこそ成立するエンターテイメントなんだぞ！？
奏,……その突っ込みはどうなのかしら
卯月,私を怒らせた流れで、なんでイチャイチャ駆け引きタイムが始まってるんですか！！尻軽とか言ってしまって若干キャラじゃ無かったな……ってヘコんでもいたのに！そんな私をモブにして！もうっ！もうっ！！
モバＰ,ご、ごめん。でも、キャラに関してはフライングボディアタックのほうが……
卯月,なんですか！？
モバＰ,……なんでもないです
卯月,う～！ふん！ふんっ！ふーん！！
モバＰ,取り敢えず降りない？
卯月,やです！
モバＰ,お、おぉ……。どうしよ、これ
奏,……完全にガードされたわね。残念
モバＰ,――――――じゃあ、奏。そういう訳で、今日は卯月に付き添うから、すまん
奏,ええ。理由が理由だからね。袖にされちゃうのも受け入れるわ
モバＰ,……やな言い方すんなよ
卯月,ぁぅ……ごめんなさい
奏,ふふ、冗談よ。Ｐさん、卯月のことしっかり守るのよ？うちのシンデレラを泣かせたら承知しないから
モバＰ,任せとけ。と言っても、相手は裏方にも評判のいい真面目な奴だし、真摯に話し合えばわかってくれるだろう。一応、あっちの事務所にも話つけとくしな
奏,そう。……でも、真面目な人がアイドルに交際を申し込むかしら
モバＰ,あらゆるリスクを考えられないほど、卯月への想いが溢れ出たんじゃないかな。けど……あそこの事務所、厄介なタレントが一人いるな
奏,あぁ、あの軽薄という概念をそのまま人の形にしたようなペラッペラの男ね。あんなのが近くにいたら、多少影響を受けているかも
モバＰ,辛辣……。けど、それとなく探っておこうかな
卯月,あ、あの……あんまり大事には……
モバＰ,大事にしない為の事だよ。あ、そうだ。断るのはちゃんと卯月から言ってあげような。俺から言うと、大人の都合で無理矢理引き裂かれたと思って逆に燃え上がるかもしれん
奏,確かに、その手の話は自意識が過剰になりがちな十代には刺激的かもね。自己陶酔に陥って暴走しかねないもの
モバＰ,うん。だから、卯月……出来るか？
卯月,……はい。でも、傍には居てくれますか？
モバＰ,もちろん。相手に圧力を与えん程度の距離は保つけど……姫の御身は、この私めが身命を賭して守りましょうぞ
奏,Ｐさん。寒い
モバＰ,……奏が言ったんじゃん。しっかり守れって言ったんじゃん。シンデレラを泣かせたら承知しないって言ったんじゃん。ていうか、自意識が過剰になりがちな十代って奏もじゃん
奏,何か言った？言ったのならその口、私の唇で塞いじゃうわよ？
モバＰ,……
奏,そこで黙られるのも傷付くわね
モバＰ,どうしろと
卯月,……ふふ
奏,……うん。人を傷つける事はとても勇気がいる事で不安もあるだろうけど、卯月は笑顔がいいわ。彼も自分の事で卯月を落ち込ませたくないでしょう。だから……気負わずに振ってきなさい？それがお互いの為よ
卯月,そう……ですね。はい！誠実に、でもキッパリと振っちゃいます！！
奏,変に希望を持たせないように
卯月,ズバッと言っちゃいますっ！
奏,よし。ふふ
卯月,えへへ
モバＰ,……じゃあ、そろそろ行くか
卯月,はい！行きましょう！！
モバＰ,奏、色々サンキューな
奏,いつか見返りがあることを期待してるわ
モバＰ,はいよ。埋め合わせはまた
卯月,それじゃ行ってきます！！……ん！頑張ります！！
城ヶ崎美嘉,へ～、昨日そんな事があったんだ
モバＰ,うん。今回は相手も真面目な奴だったし、卯月も事前に相談してくれたから事なきを得たよ
卯月,最初スルーしようとしたのは忘れませんけど、ちゃんと相談して良かったです。私だけだと上手く対処出来なかったと思うから……ありがとうございます、プロデューサーさん！！
モバＰ,お、おう。……最初スルーしようとしたのは忘れない？あれネタじゃん？
卯月,いやです！
モバＰ,……いい笑顔で拒否るなぁ
美嘉,あはは。でも、ホント相談して正解だよ。卯月優しいから、グイグイ押されるとなし崩し的にオッケーしちゃいそうだもん
卯月,そんな事ないよ！いざとなったら華麗に躱すことくらい出来……ます？
モバＰ,聞いてくるんかい。けど、まあ……卯月はこう見えて芯はしっかりしてるから、流されるようなことは無いと思うよ
美嘉,ま、そうだよね。こう見えてブレない強さはあるよね
卯月,褒められてるようでほんのり褒められてない気がするんですが。こう見えてって所を詰めていきたいんですが
美嘉,無垢で可愛くて誰からも愛される、やわらかい空気をまとった可憐な乙女に見えるんだよ
卯月,え？ぁ……ありがと……えへへ
美嘉,チョロ！プロデューサー、やっぱアタシこの子心配だわ
卯月,な！？
モバＰ,…………そうだな
卯月,あ！もうっ！プロデューサーさんまで！！……プロデューサーさん？
モバＰ,……ﾌﾌ
美嘉,くふふ。卯月はかわゆいの～
モバＰ,けど、美嘉の事も心配だけどな
美嘉,……え？
モバＰ,卯月のこと優しいからって言ってたけど、美嘉も負けないくらい優しいよ
美嘉,な、なに？どうしたの？
モバＰ,お姉ちゃんだからか年下の子に甘えられると、困りつつも受け入れて面倒を見てるところとかさ……凄い、愛おしい気持ちになるっていうか
美嘉,な……な……
モバＰ,そんな美嘉だから、惚れて迫ってくる奴だって出てくるだろ？それを考えると優しい美嘉は受け入れてしまうんじゃないかと
美嘉,な、ないからっ！！
モバＰ,あるよ。美嘉は人の痛みが分かってしまう優しくて思いやりのある澄んだ心の子
美嘉,ぁ……ぅ……
モバＰ,そして……
美嘉,……
モバＰ,チョロイ
美嘉,…………は？
卯月,ですね。明らかに胡散臭いセリフと表情なのに瞳をウルウルさせちゃうなんて……もう一言二言でキスくらいは許しちゃいそうでしたね
モバＰ,いや、ホントに。こっちがちょっと焦ったわ
美嘉,～～！！～～～っ！！！
卯月,すっごいウネウネしてる
モバＰ,……そういえば、今日美嘉の現場にあの軽薄な奴がいるな
卯月,もしかして、私に告白してくれた方を唆した人ですか？
モバＰ,そうそう。ホントに影響与えてたんだもんな……好ましくないタイプの人たらしだよ
美嘉,あ～～っ！！あ～～～っ！！！も～～～！！！
卯月,転がりだした……
モバＰ,……マジで心配になってきた。美嘉、今日の現場俺が付き添うから
美嘉,いらない！アタシ、チョロくないし！カリスマギャルなめんな！！迫られてもめっちゃいなすしっ！はたくしっ！！うっちゃるしっ！！！
モバＰ,うっちゃるってことは土俵際まで追い込まれてんぞ。じゃなくて、本気で心配なんだって
