そしてなんやかんや色々あって、遂に仮面ライダーに変身し、コウモリ野郎とスマッシュ,…紗羽さんだったけど
龍我,うわっ、なんじゃこりゃ！。おい戦兎！美空！大丈夫か？。どういうことだよ…ん？。おーい！もういいから出てこいよ！いるんだろ！姿が見えてんだよ！。捕まえた！…ってこの感触は…。香澄…？
香澄？,…
龍我,なんで…お前が。夢…これは夢なのか！？目の前に香澄が…こんな、こんなことって…
香澄？,…
龍我,なあ、なんとか言ってくれよ！どうしてお前がここに…いや、そんなことはどうでもいい！俺のせいでお前をひどい目に合わせ…
香澄？,あなたが私に伝えたいことは分かってる。けど、今は後にしてほしいの。ほら、とりあえず涙ふいて
龍我,え？あ、ああ
香澄？,私もあなたに伝えたいことはたくさんある。でもここじゃすべては無理、そんな時間はないの。だから本当に大事なことだけ言うね
龍我,おお！どんとこい！
香澄？,まずは…辛い思いさせてごめんなさい。おかげであなたは大変な目にあってしまった
龍我,そんな…なんてことねえよ！…お前に比べたら俺なんか…
香澄,それから…化物になった私を止めてくれたあの人は…
龍我,…戦兎のことか。そっちは大丈夫だ！ちょっとムカつくやつだけど、悪い奴じゃない
香澄？,そう…私のこと、気にしてるかと思ったから…
龍我,…
香澄？,龍我？
龍我,…俺は勝手なやつだよな、やっぱり自分のことしか考えちゃいねーんだ。冤罪晴らすことしか考えてなかった、だから皆に迷惑かけちまって…。香澄…
香澄？,あなたは一人じゃない。自分一人で抱え込むことなんてないじゃない
龍我,…俺さ、今、お前の力を使って、ファウストと戦ってんだ。俺はファウストを絶対に許さねえ…あいつらのせいでお前は…お前は…！
香澄？,分かってるよ
龍我,え？
香澄？,あなたはきっとこれからも戦わなければならなくなる…だから
龍我,…行っちまうのか？
香澄？,うん
龍我,…そうかよ
香澄？,…龍我
龍我,…なんだ？
クローズドラゴン,♪♪
龍我,…
クローズドラゴン,♪♪♪
龍我,うるさいわ！
戦兎,お前がうるせーよ！
美空,万丈さ～…いくらニートだからって寝すぎ…てかだるいし…私も寝たいし…
戦兎,お前ずっとうなされてたぞ？…変な夢でも見てたのか？
龍我,…さあな
美空,なんか格好つけてるけど、そのボトル握り締めたまま寝てたとか超きもいんだけど…
龍我,何！？…あ…
戦兎,やはりまだお前に変身は早いか…
龍我,なんだとこの…
クローズドラゴン,♪♪♪
美空,ねえ万丈！うるさいからあれ止めてよ！あれ、あんたがうなされてる間ずっとあんなんだったんだから！
戦兎,よっぽど気に入られたみたいだな。結構結構
龍我,他人事かよてめえ！。おい、もういいぞ
クローズドラゴン,…。♪
龍我,痛っ！？噛みつくな！やめろ！炎出すな…熱い！熱い！
美空,…止めなくていいの？
戦兎,知ったことかよ。さ、実験を始めようか
龍我,おいてめーら！何見てんだよ！止めてくれよ！あっ、熱い！この野郎！
美空,だるいし…暑苦しいし…
龍我,ったく…。お前ら…これからもよろしくな
クローズドラゴン,♪♪
龍我,香澄…俺、負けないから
クローズドラゴン,♪♪♪
