北条加蓮,ふーん、奈緒はまだパンツ履いてるんだー
加蓮,私の学校の友達は結構履いてないよ
神谷奈緒,マジかよ……じゃあ加蓮も？
加蓮,私は履いてるけど
奈緒,なんでだよ。言ってることとやってることが違うんじゃないか？
加蓮,お母さんにバレて怒られちゃってさ。アンタは体弱いんだから風邪ひきそうなことするんじゃないって。ライブ出れるくらい体力ついてるんだけどなぁ
奈緒,親が心配するのは理屈じゃないんだよ、たぶん
加蓮,で、どうなの？ノーパン興味ない？
奈緒,いや、まったく……
加蓮,奈緒がノーパンになったら絶対可愛いと思うんだけどなぁ
奈緒,やめてくれよ
加蓮,あれ、おかしいな？いつもだったら顔真っ赤にして。って言うのに
奈緒,キュンなんて口に出して言わねーよ
加蓮,それ以外については認める、と
奈緒,嫌悪感……とまでは言わないけど、抵抗感が強すぎてさぁ。だいたい可愛いって言っても、積極的に人に見せるわけじゃないだろ？
加蓮,人に見せたらただの痴女だよねー
奈緒,人に見せないファッションを可愛いなんて言われても、からかわれてるとしか思えない
加蓮,ノーパンスタイルの本質って。履かないことで自然と生まれる、女性らしい艶のあるしぐさだからね。ファッションだけど、実は精神的なものなんだよ
奈緒,なるほど……でもそれなら履いてて良いんじゃないか？。要は心構え次第。履いてないと思い込めば良いんだろ？
加蓮,履いてないつもりと実際履いてないはやっぱり違うんだって
奈緒,……
加蓮,どうしたの？
奈緒,ふと気付いたんだけど、さっきからあたしにノーパンスタイルを薦めてる？
加蓮,うん
奈緒,ねーよ！ねーから！
加蓮,えー、なんでー？
奈緒,そんな恥ずかしいこと、薦められたからって、やるわけないだろ？
加蓮,ノーパンスタイルで4代目シンデレラガールになれるとしても？
奈緒,……！！。いやいや、いくらなんでも……
加蓮,ドクターストップ……じゃなくてマザーストップかかってる私じゃ出来ないけど。奈緒なら出来るんだよ？チャンスが目の前にあるんだよ？
奈緒,そう言われてもな……
加蓮,あっ、志希ー。ちょっと来てー
一ノ瀬志希,なになに、呼んだー？
加蓮,突然で悪いんだけど、確かパンツ履いてないんだよね？
志希,パンツ？あー、ずいぶん履いてないねぇ
奈緒,マジで！？。うわぁ……目の前にノーパンがいる……
加蓮,ずいぶんって具体的には？
志希,向こうにいたときから
加蓮,海外？
志希,そー。最近は日本でもノーパンスタイルが流行ってきたけど。向こうはもっと前から流行ってたからね。で、それがどうかしたの？
加蓮,デビュー直後の志希がいきなり総選挙上位に入ったのは。ノーパンだったからじゃないかと思うんだけど……どう思う？
志希,あー、あるかもねぇ。強くてニューゲームみたいな……。いや、Lv1で最強装備の方が近いかな？
加蓮,ほら。ノーパンスタイルでアイドル力アップの実例
奈緒,まじかよ……。っていうか、ハードなレッスンをこなしてもノーパンであっさり追いつかれるのか……
志希,んにゃ、それは違うよ。さっきの例だと、奈緒ちゃんは高レベルでそこそこの装備だと思う。地力ではまだ、結構差ついてるだろうし。奈緒ちゃんもノーパンになれば更にステータスアップする！はず！。もしかしてノーパンになるべきか迷ってるのかな～？
奈緒,迷ってる、というか……志希には悪いけど。どんなに効果があると言われても、変態としか思えないというか。あたしがおかしいのかなぁ……なんでみんな、そんなに抵抗なくノーパンになれるんだろう
加蓮,慣れじゃない？ライブだって、最初は人前で歌うなんて恥ずかしいって言ってたでしょ？
奈緒,それとこれとは全く違うと思うんだけどな……。ただ、志希。ちょっと気になったんだけど
志希,なーに？
奈緒,その……ノーパン歴長いんだろ？。スカートめくりとか、されたこと……ないのか？
加蓮,奈緒ムッツリ
志希,ムッツリ～
奈緒,ち、違うって！だって一番気になるのはそこだろ！？
加蓮,まー、そういうことにしておこうか
志希,で、スカートめくりね。されたことないよ。ごく初期はともかく、ノーパンスタイルが流行りだしたら。軽い気持ちでスカートめくりして万が一ノーパンだったらヤバイって。男の子も気付いたんじゃないかなー。もちろん今の日本でも、ね
奈緒,な、なるほど……そりゃそうか
加蓮,安心した？
奈緒,ま、まぁ……ちょっとな。いや、それでも、あたしがするつもりはないけどっ
加蓮,うーん、あとひと押しでノーパンになりそう……
志希,奈緒ちゃん、スカートめくりが心配だったんだ？
奈緒,あ、ああ……うん。実は……幼稚園くらいの頃かな。よく男子にスカートめくりされてさ。それが本当に嫌でなんでこんなことするの！？って聞いたんだよ
加蓮,それってよくある、好きな子にちょっかい出したいっていう……
奈緒,今思えばそうかもな。でも当時はそんな発想なかったし……あー、思い出した。お前のことなんかどうでもいいけど、パンツが見たいだけだって
加蓮,それ絶対照れ隠しだよね
奈緒,はは、だろうな。で、子供だったあたしは、それなら。パンツがこの世から無くなれば良いと思ったんだ
加蓮,短絡的だねー。ま、幼稚園児なら仕方ないか
奈緒,近所の神社でお願いもしたりしてさ
依田芳乃,そのお話、詳しく聞いてもよろしくてー？
奈緒,ん？話って？
芳乃,神様にー、パンツをこの世から無くしてくださいとお願いしたのでしてー？
奈緒,えーと、たぶん
芳乃,他になにかお願いしたことはありますー？
奈緒,他には……ああ、お願いじゃないけど自分の状況を事細かく説明したかな。これこれこうで、もうスカートめくりされたくありませんって
芳乃,なるほどー。そういうことでしたかー。それとー、一つ確認したいことがー
奈緒,なに？
芳乃,件の流行についてー、どう思っているのでしょー？
奈緒,ノーパンスタイルのこと？どう、と言われても……
芳乃,例えばー……スカートめくりされることはないかと思いますがー
奈緒,そりゃ結果的にはそうだけど。なんていうか、色々間違えてると思う。……それがなにか？
芳乃,いえいえ、お気になさらずー。それではー
奈緒,なんだろ？
加蓮,さあ？
芳乃,ふむー……時間がかかりすぎなうえにー、肝心のお願いも微妙な叶え方とはー。困った神様もいたものでしてー。とはいえー、全世界に影響を与えるとはー。わたくしの力だけではどうにも出来ませんねー。ばばさまに相談してみましょー
志希,ともかく、奈緒ちゃんがスカートめくりにトラウマあるのは分かった。でもさっき言ったけど、今スカートめくりする人はいないよ！
奈緒,あ、うん。それは……分かったけど
加蓮,試しに1回やってみたら？多分、ファンの反応もぜんぜん違うと思うよ
奈緒,じゃあ加蓮がやれば良いじゃないか
加蓮,だから私はお母さんに止められたんだって
奈緒,そうだった……。いや、ちょっと待て。それでも1回はノーパンでステージに出たんだろ？反応どうだった？
加蓮,残念ながらお仕事中じゃなくてプライベート
志希,あたしは最初からノーパンだったから、どれくらい違いが出るかわからないねー
加蓮,奈緒は次のライブ近いでしょ？良いチャンスじゃない？
