蘭子の発した声は,
蘭子,…使途との対話、であるか？。…インタビュー、ですか？
モバP,以下P
P,蘭子の普段どんな生活をしているのか聞いてみたいんだそうだ
蘭子,ふむ…我が禁忌のヴェールを暴こうというのか、不届きな！。え～！普段の生活なんて…地味だしはずかしいよ～！
P,まあほら、蘭子のファンが普段どんな生活を送っているのか知りたがっているのは事実だから。それにイメージダウンになりそうなことは書かせないようにしっかりチェックするからさ！。…やってみてくれないか？
蘭子,むぅ…我が友の頼みとあらば無下には出来ぬ…しかし…！。ぷろでゅーさーの頼みだから受けたいですけど～…でも～！
P,なっ？頼むよ！終わったら好きなもの奢ってやるからさ！
蘭子,むう…至高の夕餉を所望するゆえ覚悟しておくが良い！。わかりました…でも、すっごいのお願いしちゃいますからね！覚悟しておいてくださいね！
P,うっ…わかった
蘭子,なれば、いざ行かん！約束の聖地へ！。そうと決まったらいつでも良いですよ、スケジュール押さえておいてください！
P,オッケ、じゃあスケジュールに入れておくから、当日はよろしくな
蘭子,我が魂の赴くままに！。がんばりま～す！
記者,え～…本日はこのような場を設けて下さりありがとうございます
P,いえいえこちらこそ、神崎をどうぞよろしくお願いします
蘭子,我は傷ついた悪姫…ククク、見知りおくが良い！。よろしくお願いしま～す！
記者,ええ、よろしくお願いします。では…早速インタビューに入ってもよろしいですか？
P,構いません、一応ですが…原稿についてこちらでチェックを入れさせていただくことについてはご了承済みということでよろしいですね？
記者,ええ、わかっております
P,それでしたら大丈夫です、どうぞ始めて下さい
記者,わかりました…では神崎さん、本日は覚醒魔王、神崎蘭子の素顔に迫る！ということで私生活についてお話を伺えればと思います
蘭子,我が秘密のヴェールを暴こうとは…よかろう、その勇気を称えよう！。恥ずかしいですけど…はい！答えられることならなんでも答えちゃいますよ！
記者,では…そうですね、平日はどのような感じで過ごされているのでしょうか、１日の流れをまずざっくりとで良いので教えてください
蘭子,ケの日であるか、特別な事などあるまいが…。平日ですか？特に変わったことはないと思うけど…。冥界より帰還せし我は偽りの仮面と装束を纏い、神官より供されし供物によって力を得た後、知恵の林檎に導かれし牢獄へと向かう。朝起きて～、お着換えして～、身だしなみ整えて～、ご飯食べて～、学校に行きます！。地上の務めを果たした後は我が僕や友と共にミサを催したり、魔力の強化に努めるなどするわ！。学校が終わったら～、皆とお仕事をしたり～、レッスンをしたりします
記者,…最近ではどのようなミサを？
蘭子,最近だと…白き宝玉を奈落へ落とす遊戯に興じたり、鋼鉄の馬達の先導を勤める等したな！。う～んと…最近だとゴルフをやったり、レースクイーンをやったりですかね。約束の刻が近づくと、神殿へと戻り、我が友らと共に供物を受け消耗した魔力の補充を行う。お仕事が終わったら～、寮に帰って～、寮の皆でご飯を食べます！。冥界へ帰還する前に、最後の試練をこなし、妖精の泉にて身を清めた後…わが友らと情報交換を行うこともあるわ！。後は寝る前に宿題やって～、お風呂入って～…あっ、その後皆とおしゃべりしたりする時もあります！
記者,成程…その時どなたとお話しする事が多いですか？
蘭子,ふむ…暮れなずむ死霊使いや我が魂の盟友、極北からの遣い…その他世紀末歌姫などとも話すわ。う～ん…そんなに決まったメンバーは居ないですけど～…やっぱり小梅ちゃんとか飛鳥ちゃん、アーニャさんとか…あと、楓さんとかともお話しますね
記者,どのような内容のお話をされるのか…差支えの無い範囲で構いませんので教えていただけますか？
蘭子,内容…巨尻の灰被りな内容である故特段語るようなことではないが…。う～ん…別に普通の事をお話しているだけなんですけどぉ…。人界のマナの状況や供物の好み、ミサの評価や…共に魔導書の研究などを行うわ。んっと～…お天気の話とか～、最近食べておいしかったものの話とか～、他の子の凄いところをお話してみたり～…あと、一緒にお勉強したり教わったりもしますね
記者,成程…ありがとうございます
蘭子,その後は我が祭壇へと戻り冥界へと赴く…といった具合か。それでその後はお部屋に戻って眠るって感じですかね～
記者,ふむふむ…ありがとうございます、神崎さんは波乱万丈な日常を過ごされているのですね
蘭子,誠か！？…もしやそなた、瞳を持たぬのか…？。ええっ！？あの～…もしかして記者さん、私の言葉、わかってません…？
記者,では…そうですね、好きな食べ物などを教えてください
蘭子,そうだな…地獄の業火に身を苛まれし黒曜石の至宝を特に好む。ハンバーグが大好きです！。一度噛みしめると血の滴るか如く沸き出る奔流と得も言われぬ幸福感…！。ぎゅって噛むとジューッって肉汁が染み出してくるハンバーグ…最っ高…！
記者,成程…では好きな動物などは？
蘭子,神の使いたる気まぐれなるものや蒼き灰被りが如き魔獣の喧騒も好みであるが…。猫とか犬も好きですけど…。やはり、我が眷属足りうるは白き円環を手にせし日の白き下僕！。やっぱりデビューCDの時に一緒に撮影したフクロウさんが良いな～。姫苺の妖精と共にあったものも我が心を強く打ったわ…。ありすちゃんと一緒に居た子も可愛かったな～
？？？,我は太陽の子！。橘です！
記者,誰だ今の
蘭子,…む？魔力の乱れか？。えっ？どうかしましたか？
記者,…いえ、なんでもありません、失礼しました。では…最後にファンの皆さんに一言、お願いします
蘭子,ふむ、冥界の扉が完全に開かれる日も近い！愚民どもよ、ひれ伏せ！その魂を我に捧げよ！。えっと…これからも色々お仕事頑張っていきますので、皆さん、応援よろしくお願いしま～す♪
記者,…はい、ありがとうございます！では本日はこれにて終了ということで…
P,いや～、どうもありがとうございました
蘭子,限りなき感謝を！。ありがとうございました～！
記者,では…一度原稿を作成したらお送りしますので、チェックをよろしくお願いしますね
P,わかりました、本日は本当にありがとうございました
記者,では、失礼します
蘭子,闇に飲まれよ！。お疲れ様でした～！
P,おーいｒｒｒｒｒァん子ォ！
蘭子,…何故極北からの呼び声か。なんでアーニャさん風なんですか…
P,まあまあ、この前インタビュー受けてもらっただろ？あれが載ってる雑誌献本で貰ったから一応見とくか？
蘭子,ふむ…我が成果を確認するも務めの内…貸すがよい！。わ～っ！見たいです！たのしみ～！
P,はいよ、俺は自分のデスクに戻ってるからな、ゆっくり読んでて良いよ
蘭子,うむ！どれどれ…。は～い！どんな風になっているかな～♪。ふむふむ…。おおお…！。なんだか持ち上げられ過ぎて…照れちゃうな～。…は？。……は！？
