本田未央,おはようございまー……
渋谷凛,未央！！！
未央,うわっ！？ど、どしたのしぶりん！？そんないきなり大きな声で！
凛,どうもこうもないよ！私は怒ってるんだよ！
未央,待って、この流れけっこう前に見たことあるんだけど！
凛,今の私はまさにランドリーだよ！！！
未央,いい加減アングリーくらい覚えてよ！！！。えっと……、一応聞くけど、怒ってる相手は……
凛,常務に決まってるでしょ！？
未央,ああ、うん……だよね……
凛,いい加減、もう限界だよ！
未央,ま、まあ、落ち着いて？今度は何があったの？
凛,……私の話を聞いたら、きっと未央も常務の家にピザを頼みたくなるよ
未央,ならないよ。宅配ピザを嫌がらせとして活用するのやめようよ
凛,さっき、常務の部屋に呼ばれたんだけどさ
未央,うんうん
凛,この前出したソロCDが、売り上げ1位だったんだって
未央,え！すごいじゃんしぶりん！おめでとー！
凛,"すごい"
未央,え？ええ？
凛,売り上げ1位って、"すごい"よね！？
未央,そ、そりゃもちろん！世の中にたくさんCD売ってるんだもん！
凛,それをあの常務は！何て言ったと思う！？
未央,え……まさか褒めてくれなかったの……？
凛,ふふ……キミ以外のアーティストは発売日をずらした方が賢明かもしれないな。私も鼻が高いだって！
未央,べた褒めじゃねーか！！！！！。いやいやいや！どこに怒る要素があったの！？
凛,なんで私と2人なのに他のアーティストの話をするの！！！
未央,面倒な彼女か！！！しぶりんを引き立てるための比較対象でしょ！？
凛,あと鼻が高くなったとか報告しなくていいよ！プチ整形でもしたの！？
未央,なんで慣用句を字面そのままで受け取るのさ！！！
凛,私はただ"すごい"って言ってもらいたいだけなのに……
未央,その100倍は評価されてるからね！？
凛,む……、未央、あまり私の怒りが伝わってないね？
未央,一切伝わらないどころか常務に同情してるよ
凛,いいよ、じゃあ別の話もしてあげる
未央,墓穴がどんどん深くなるだけだからね？
凛,お盆だけに？
未央,もう帰っていい？
凛,土に？
未央,私のこと嫌い？
凛,この前、実家の花屋の手伝いをしてた時なんだけど……
