美琴,クリスマスなんざクソ喰らえじゃァァァァッッ
・,もうクリスマスじゃ
フィアンマ,…なんだこの音頭
上里,ぼくが聞きたいよ
上条,てやんでぃバーロー畜生めぇ！。どうせオイラは独り身よぅ！
上里,…で？何故幻想殺しは江戸弁で麦茶飲んでるんだ
フィアンマ,簡潔に言うと禁書目録とクリスマスを過ごせなくなってクリスマスなんてクルシミマスイベントじゃないか！！とやさぐれてる
上条,ひんっ、ひんっ
上里,はあ
フィアンマ,なのに同じ年頃のよくつるんでる可愛い女子にクリスマスデートに誘われたのに断ったそうだ
上里,解せないな…
上条,だってさ！聞けよ！！俺この日のために2ヶ月前から食費とか交遊費切り詰めてさ！ケーキとかお高いチキン様とか用意しようとしたのにさ！。インデックスの野郎！ぬぅあにがゴメンねとうま、私も一応所属はイギリス清教でシスターさんだからイギリスの聖歌隊イベントに参加して職務を全うしなきゃいけないんだよだよ！！。迎えに来たステイルもさぁ！スゲー悪い顔にニヤケをプラスしてさ！。悪いね。インデックスは僕とイギリスで過ごす事になるとかさぁ！！！
上里,寝取られたな
フィアンマ,浮気か
上条,盗られてねぇよ！！超一時的に貸したんだよ！盗られてたら取り返すしな！！
上里,裏声
フィアンマ,イケ声
上条,オイなんだその小芝居ブッ殺すぞ
上里,裏声
フィアンマ,イケ声
上里,裏声
上里フィアンマ,アンアンパンパンアンアンパンパンパンパン↑パンパンパァン↑！！！
上条,オイ息合い過ぎだろいつ練習したんだ！。連絡…してみるか…？ああでも国際電話とか金が
上里,部屋の隅に…やれやれ、そんなにイヤならいつもみたいに死ぬ気で止めれば良かったんだ。…ところできみは何者なんだ
フィアンマ,奇遇だな俺様もお前に同じ事を聞いてやろうと思ってた所だ
上里,何だろうな…何故か何かシンパシーのようなモノを感じる
フィアンマ,奇遇だな、俺様もだ
上里フィアンマ,うーん…
上里,…ぼく達に接点とか共通点なんて無いよな？
フィアンマ,強いて言うなら両者とも幻想殺しの知り合いといったところか
上条,不幸だ…
上里,…
フィアンマ,…
上里,えー…ぼくは上里翔流だ。どこにでもいる平凡な高校生。”理想送り”というお前みたいなヤツはどっかいっちゃえ！が本当にできる特殊な右手を持ってる
フィアンマ,ほう、便利だな。…いやどこが平凡だ
上里,きみは
フィアンマ,……、俺様はフィアンマ。右方のフィアンマ。聖職者だ。今は右腕を盗られ隻腕になって弱体化したが、どんなヤツでも使えば必ず倒す、”聖なる右”という力を有している
上里,チートだな
フィアンマ,フン、ベクトルは違えどここにいる人間は皆そうだろ
上里,共通点が見つかったな。”変な力持った右手”を持つ男
フィアンマ,…サークル”神の右手”でも発足させるか
上里,何するサークルなんだか
フィアンマ,えー…右手でなんかこう、やらしい事でも
上里,いきなり何言うんだよミスター性殖者。ところできみは何故この会に？
フィアンマ,…
ブリュンヒルド,サンタ。サンタ。サンタ
フィアンマ,…。…言えんな。それだけは。
上里,…なんか随分重い理由がありそうな答え方だね
フィアンマ,ああ…口にも出したくないな。お前は？
上里,ぼくは…あー、。こんな事を言うといつも敵を作るけど…
フィアンマ,フン
上里,ぼくは…控え目に言っても死ぬほどモテる。可愛い女の子達からとんでもなくモテる。ほぼ常に隣に誰かしらいる
フィアンマ,…。そんな言動するヤツがモテるとは思えんが
上里,事実なんだから仕方ないだろ
フィアンマ,フン。で？
上里,彼女達から誰か1人と過ごす事を要求される
フィアンマ,すればいいだろう。なんならそこでもう1人に絞ってしまえばもうその他に言い寄られる事もあるまい
上里,そうもいかないんだ
フィアンマ,何が
上里,簡単に言えば、ある子はぼくとぼくの周りの子達の相互補助な関係性によって守られてる。だからぼくらとの人間関係が壊れてしまうと世界中から命や尊厳が奪われかねない、とか
フィアンマ,ふむ
上里,あとは…そうだな、例えば物凄く人気なアイドルが彼氏や彼女作ったらそのアイドルはどうなると思う？
フィアンマ,…
上里,あと正直全員魅力的な子しか居なくて決めかねる
フィアンマ,なるほどクソ野郎か
上里,まあともかく。争点としてはぼくが誰か特定の子と過ごすわけにはいかないのに皆から血眼で狙われてる。だからまぁ、学園都市に逃げてきた所でたまたまコイツと会って
フィアンマ,今に至る、と
上里,そうだな。…ああ、こんな事言っても基本怒られるばかりだが…モテ過ぎてハーレム状態というのは皆が想像するほど良くはない…
フィアンマ,まあ好きでもないやつに好かれてもな
