園田智代子,お疲れさまっ！セーフ？セーフ？
有栖川夏葉,お疲れ様、智代子
西城樹里,おせーぞチョコ。美味そうなお菓子に釣られて寄り道でもしてたのか？
智代子,そっ、そんなんじゃないけど！……そんなんじゃないけどチョコ買ってきたからみんなで食べよ？決して期間限定って文字に心を撃ち抜かれたわけじゃなくてね？ね？
樹里,はいはい
杜野凛世,丁度、ただ今から始まるところです……
智代子,よかったー！
樹里,しっかし果穂のやつ……生放送なんて大丈夫か？
智代子,まあ、通販番組は収録より生放送だよね……
凛世,果穂さんならば……問題ないかと……
夏葉,そうよ樹里。だってあなた、果穂が申し訳なさそうに買って……くれますか……？と言ってきたら逆らえる？
樹里,逆らえるわけねーだろ！車でも家でも買ってやらあ！！！
智代子,キレながら甘やかすのすごい怖いよ樹里ちゃん
夏葉,それに、果穂はここにいる誰よりも褒め上手じゃない。きっとやり遂げるわ
樹里,それは……まあそうだけど
智代子,むしろ自分の番が不安だよー
夏葉,案外、私たちが果穂から教わることもあるのかもしれないわね
智代子,明日は凛世ちゃんだよね？緊張してない？
凛世,いいえ……プロデューサーさまの持ってこられたお仕事ですので……
樹里,相変わらずつえーな……
凛世,それだけではありません……凛世は……予習をしています……
智代子,予習？通販番組の？え、すごいね凛世ちゃん！
夏葉,やるじゃない凛世！
凛世,こちらの商品……なんとお値段……！
樹里,急だな
智代子,おー！？
夏葉,おー！？
樹里,ノリノリだな
凛世,……。……。……。……。……。……。よんまん……。……。……。きゅうせん……。……。……。……。ここで一旦……。……。CMへ……
智代子,放送終わっちゃうよ！！！
凛世,ですが……値段発表は盛り上げろと……
智代子,それはいいんだけどね……凛世ちゃんはただでさえゆっくりだから……
樹里,明日はそれやんないようにな
夏葉,凛世は気持ち早めに言うくらいが丁度いいかもしれないわね
凛世,心得ました……
智代子,あ！そんなこと言ってたら始まるみたい！
樹里,無理すんなよ……！
夏葉,売れ残ったら全部私たちで買い占めましょう
智代子,通販の意味ないよ
樹里,つかみは大丈夫そうだな……
夏葉,こうして見ると、小学生とは思えないわね。流石は果穂
智代子,やめて果穂……やめて……！ハードルが……！！！
樹里,へー、知ってたか？
智代子,ううん
夏葉,そもそも何を紹介するのかも知らされていないものね
樹里,売り上げ競うみたいな話もあるしな
凛世,平等性の担保……でしょうか……
智代子,変な商品じゃないといいなー
樹里,例えば？
智代子,え？……えーと……エンガワのキーホルダーとか
夏葉,アンティーカに怒られるわよ
樹里,別にアンティーカのやつらもエンガワは持て余してたけどな
夏葉,大トロ？
凛世,マンボウかと……
智代子,魚キーホルダーシリーズは確定なの？
樹里,黙って見れねえのか
夏葉,今のじゃーんで5個は売れたわね
樹里,視聴者をナメすぎだろ
智代子,電話番号も出てないのに？。電話番号も出てないのに？？？
樹里,おう、それはみんな知ってる
智代子,その説明がないと掃除機わからない人、通販見てる場合じゃないと思う……
樹里,情報量が一向に増えねえ……！！！！！
夏葉,いいじゃない！果穂の良さが伝わってくるわ……！
樹里,頼むから掃除機の良さも伝えてくれ
智代子,おお！大事な情報だね！。壊したことあるんだ……
樹里,壊したことあるんだな……
凛世,壊してしまったのですね……
夏葉,壊したことがあるのね……
樹里,お、いいじゃねえか
夏葉,調子が出てきたわね！
凛世,お得なのですね……
智代子,決めちゃえ果穂！。たかーーーーーい！！！！！！！
樹里,掃除機だよな！？車みたいな値段だけど！？
凛世,最近の掃除機は……高級品なのですね……
智代子,凛世ちゃん信じないで！
凛世,俗世間に疎く……恥ずかしいばかりで……
智代子,話を聞いて凛世ちゃん！！！
夏葉,原材料のどこかに金やプラチナなどの素材が使われているのかしら……？いえ、その割に重量は抑えられている……独自の技術が……？
智代子,夏葉ちゃんも真剣に考えないでいいから！
樹里,2桁間違えてたのかよ……
智代子,ま、まあ、小学生はそんな大きい値段に馴染みないと思うし……
凛世,今の一瞬で……3万円台にまで値下げを……！？
智代子,違うよ凛世ちゃん。それ投げ売りってレベルじゃないよ凛世ちゃん。最後まで吸引力への信頼がすごい。あれ？なんだか果穂……
凛世,落ち着きが……なくなっているように見受けられます……
夏葉,何かあったのかしら？
樹里,すごい？
智代子,なんだろ……？
夏葉,マンションかしら？
樹里,お電話一本で買わせるもんじゃねえだろ
凛世,先行販売……？
智代子,果穂の紹介が初出しってこと？
樹里,おいおい、大きく出たな……食いもんとかか？
みんな,ああ～～～～！納得
智代子,あれ、この前果穂が自作してたやつだよね！
樹里,おう、確か……
凛世,ジャスティスレッドさまが使用されていた……武器でございます……
樹里,意外なとこから説明が来たな……
夏葉,戦隊ヒーローの武器はみんな欲しがるものよね！
智代子,凛世ちゃん、ジャスティスレッドにもさま付けなんだね！
夏葉,謝らなくていいのよ果穂……！この紹介を馬鹿にする不届き者がいたら私たちが粉微塵にするから……！
樹里,気持ちはわかるけどこえーよ
智代子,さらっと”私たち”って言ったよね夏葉ちゃん？。うんうん、これは売れるんじゃないかな？
凛世,果穂さんの輝く瞳が……何より商品の価値を伝えてくださいます……
夏葉,同意ね！
智代子,あれ？どうしたのかな
凛世,何かを……見つめています……
樹里,カメラのちょい手前……ってことは、カンペでも出たのか？
夏葉,？
樹里,おー
智代子,すごい！これ絶対売れるよ！プレミア！
夏葉,ファンは喜ぶでしょうね。良い采配じゃない！
樹里,……ん？
凛世,果穂さん……お顔が優れません……
智代子,果穂……？。果穂……！自分がサインを書くことでソードの価値が下がらないか不安なんだね……！でもそれはそれとして、サインが売り上げに繋がるってスタッフさんの判断は嬉しいし、どうしていいかわからないんだね……！気にしないんでいいんだよ果穂……！。ね！夏葉ちゃん！
夏葉,もしもし？ジャスティーンファイアソードをひとつお願い
智代子,買ってるー！！！！！ち、ちょっと樹里ちゃん！
樹里,おいチョコ！これあそこに電話どうやって掛けんだ教えろ！！！
智代子,樹里ちゃんまで！？！？！？り、凛世ちゃん！
凛世,もしもし……
智代子,凛世ちゃーん！！！
凛世,プロデューサーさま……お声を……
智代子,違ったプロデューサーさんに電話してるだけだった！！！！！
果穂,みなさん！あたしの紹介、どうでしたか！
智代子,最高だったよ果穂～～～！！！
果穂,わっ！ちょこ先輩、くすぐったいです……！
夏葉,いいえ、お世辞でもなんでもなく、本当に素晴らしかったわ、果穂
樹里,勢いもついたしな！
果穂,えへへ……！ありがとうございます！
樹里,そういえば、ソードはもらえたのか？
果穂,はい！！！そうなんです！スタッフさんがあたしのために取っておいてくれて！
夏葉,それはなによりね！
智代子,またみんなで、公園で遊ぼうね！
果穂,はいっ！！！
樹里,結局夏葉が4本買ったから、文字通りみんなで振り回すことになるんだけどな
果穂,？。たしか、今日は凛世さんですよね！
樹里,まあ、凛世は底が見えねーからな……
智代子,案外、簡単にこなしちゃったりね
夏葉,あら、そろそろ始まるみたい
智代子,いやー、やっぱ凛世ちゃんは落ち着いてるね！
樹里,今日はゆっくり見れそうだな
智代子,値段言っちゃった！？！？！？。えっ！？聞き間違い！？
樹里,むしろすげー押してくる！！！
夏葉,誰も予期せぬ一手……！やるじゃない！
果穂,凛世さんすごいです！！！でんこうせっかです！！！
智代子,いや通販番組で出オチは間違いなく悪手だよ！？
樹里,ってか凛世のやつ、予習したっつってたのにどうしたんだ……？
夏葉,……！
果穂,夏葉さん、どうかしましたか！
夏葉,智代子、樹里、昨日の私の言葉、憶えているかしら？
智代子,昨日の？
樹里,何か言ってたか？
夏葉,凛世は気持ち早めに言うくらいが丁度いいかもしれないわね
智代子,あっ……！
樹里,あっ……！
果穂,？
樹里,あれを真に受けたのかよ！？
智代子,ううん、もしかしたら、”真に受けたらこうなりますよ”って凛世ちゃんなりのジョークかも……！
夏葉,判断はつかないわね……
樹里,くっ……あの笑顔の裏でアタシらにしか伝わらないネタで攻めてきてるとしたら……
智代子,くっ……相当な手練れだね……！
夏葉,くっ……流石は凛世ね……！
果穂,よくわからないですけど、遠くにいるのにみんなを驚かせるなんて凛世さんすごいです！！！
樹里,まあ、考えてもしょうがないな
智代子,ああいうベルト、よく見るけど本当に効くのかなー？
樹里,やっぱ夏葉的には邪道か？”筋肉は運動で増やすものよ！”みたいな
