健夜,ふ、ふふっ…買っちゃった。じゃーん！CMでやってた、好きなひとを追いかけるブルーレイ！。好きな芸能人を登録しておくとその人が出た番組をぜんぶ録画しておいてくれる…これはすごいよ…すごすぎるよ…。これでVHSの３倍録画とはおさらばだよ！。予約録画機能も無しに…がんばったなあ、わたし…。えっと、これを…こうして、ここで、こーこちゃん、っと…。登録っ！。できたー！うわー、さすが最新だなあ、簡単かんたん。えっと、今日はなにかこーこちゃんが出るテレビあるんだっけ。あ、なにかの特集のリポーターやってる、もうはじまっちゃうね。見ようっと
理沙,風の中のすばる！砂の中の銀河！。草原のペガサス！街角のヴィーナス！
恒子,プロジェクトゼエェェェェッッット！！！はいどうもー！スーパーアナウンサー福与恒子でーっす！！。さてさて今日は、先日史上最年長で芥川賞を受賞したということで大ニュースになったあの人…。大沼秋一郎麻雀プロ(７６)を直撃取材したいと思いまっす！。大沼プロと言えば麻雀プロ界屈指の守備率を誇り、GUNPOWDERの異名を持つあのおじいちゃんですが。え、小説とか書いてたの？と思われたかたも少なくないでしょう！わたし思いました！
秋一郎,…
恒子,あ、すいません、もうちょっと待っててもらえますか、紹介終えたら行くので
秋一郎,…
恒子,さてさて、気を取り直して！。知らなくても無理はありません！テレビ局のひともみんな知りませんでした！。しかし、知ってる人は知っている！ほらっ。これはプロ麻雀せんべいについてくるカードですが、小っちゃく書いてあるのです著書多数。麻雀の本とか啓発本とかかと思ったら、まさかのBUNGAKUだったわけです！渋い！。と！いうわけで！よくわかんないのでご本人の話を聞いてみようかと思います！突撃ーっ！！。お待たせしました大沼プロ！こんにちは！
秋一郎,…こんにちは
恒子,まずは芥川賞受賞、おめでとうございます！史上最年長受賞だそうですね！
秋一郎,…
恒子,さてさて、こちらが受賞作のダンス逆子ダンス・クレイジーなんですが、大沼プロ、ダンスできるんですか？
秋一郎,…ブレイクだけだが
恒子,すごい！ちょっと見せてもらえますか！？
秋一郎,…ﾎｯ!
恒子,おおーっ！
秋一郎,…
恒子,大沼プロは著書多数とのことですが、これはぜんぶ小説なんですか？
秋一郎,小説、詩、エッセイ、啓発本、企業戦略本、釣りの本、メディア評論、サブカル本など……麻雀の本はない
恒子,でも受賞は初めてなんですよね？
秋一郎,らしいな…あまり興味はないが…
恒子,でもわたしたちの調べでは地味に売れてはいるみたいなんですよね
秋一郎,…
恒子,なんで今まで賞取れなかったんですかね？
秋一郎,…さあな
恒子,だいたい３０こくらい小説を書かれているようですが、お気に入りのものとかありますか？
秋一郎,…いや
恒子,大沼プロ、きょうはプロ呼びやめたほうがいいですかね、これ
秋一郎,…構わんが
恒子,わたしのことどう思います？
秋一郎,美人だ
恒子,ではでは大沼プロ、長年執筆活動をされているわけですが、ファンの人と交流したことはありますか？
秋一郎,…
