地の四天王(以下、地王),ふはは、覚悟は良いか！
光の勇者,以下、勇者
地王,言うまでも無い！俺には時間がないのだ！
勇者,待て！一体、何があった！？
地王,闇の魔王様、水の四天王、風の四天王……。酔ってヤっちゃった事がバレている気がする！
勇者,それは時間が無いな！？。だが、それならどうしてお前は生きてるんだ！？
地王,皆が、力を高めているからだ！
勇者,！？お前を殺すためにか！？
地王,いや……そうではなくな？。今晩、俺を除く四天王の三人と魔王様でな。……女子会をやるそうなのだ
勇者,高めてるのは女子力じゃねえか！！
地王,風の四天王と酔ってヤっちゃったのは話しただろう
勇者,……ああ、サラッと言う事じゃないけどな
地王,それでな……奴め……！
勇者,風の四天王が……バラしたのか
地王,男装をやめ！なんと、スカートを履いてきたのだ！。スラリと伸びた足が、まだ目に焼き付いているわ！
勇者,だから、どうした！？
地王,どうした、だと？無論、褒めた！
勇者,魔王に、火と水の四天王も居た時にか！？
地王,会議の場だ、居るに決まっているだろう
勇者,お前、なんっ……！？何だ！？
地王,良いものは、キチンと良いと褒める！。それが出来ぬ程、俺は狭量では無いわ！
勇者,時と場合ってもんがあるだろうが！！
地王,まあ……ポロッと言った所は、ある
勇者,だろうな！
地王,だが、問題はその後なのだ
勇者,……やめろ、聞きたくない
地王,見ろ、右手の小指と、左手の薬指の痣を。それと、後ろ髪が少し焦げている
勇者,だからって見せるなよなあああああ！！
地王,それから、あれよあれよと盛り上がり……
勇者,まあ……風の四天王は、今まで男の格好をしてたしな
地王,ああ……女だけで集まって、となっても……
勇者,……おかしくないな
地王,その時！チラリと！。チラリと、全員が俺の事を見たのだ！
勇者,……。全員、お前との事を話すだろうな……
地王,……バレている気がすると言っただろう？
勇者,！……そう言えば
地王,……最近、な。――本当の気持ちはわかっている。そんな言葉を全員に言われたのだ
勇者,……！。……待て、他人事なのに恐怖で吐きそうだ
地王,光の勇者よ、俺の本当の気持ちとは何だ！？
勇者,頼むから！ここで自分探しをするな！
地王,わからん……何が、わかられているのだ！。俺は……俺は、恐ろしい！。何故！何故、俺は酔ったらヤっちゃうのだ！
勇者,俺はお前が酒をやめないのが恐ろしいよ！
地王,……女子会で話されるのは、俺の事だろう
勇者,バレてるにせよ、バレてないにせよ……
地王,……俺には、地獄が待っているだろう
勇者,まあ……当然と言えば、当然の報いだな
地王,――時に、光の勇者よ。お前は、祝福の聖女と剣の乙女とは、どうなのだ？
勇者,……。はっ！？。どう、って……何だよ、急に
地王,どちらか、もしくは両方とヤっちゃってるのか？
勇者,そんな訳があるか！
地王,何！？それは本当か！？
勇者,当たり前だろう！。あの二人は、大切な旅の仲間だ！
地王,……ふむ。祝福の聖女に、不満でもあるのか？
勇者,いや……可愛いし性格も良い、守ってあげたくなる子だ
地王,俺の見た所では、お前を慕っているぞ？
勇者,まあ……それは、俺もわかっているが……。……その、何だ。宗教関係の子は……な？わかるだろ？
地王,……ふっ、それでこそ俺の見込んだ男よ
勇者,まあ、俺も男だからな……
地王,ああ、我慢出来ぬ時もあっただろう
勇者,でもな……あの子は、女神に最も愛されてるんだ
地王,そうでなければ、祝福の聖女ではないしな
勇者,良い雰囲気になった時は特に、な。こう……俺も、視線を感じるんだ
地王,見守っているのだなぁ。ならば、剣の乙女は？どこが不満だ
勇者,まあ……綺麗だし優しいし、尊敬出来る人だ
地王,うむ、それに強い
勇者,……本人には、絶対に言うなよ？。あれだけ好条件が揃ってて……キスもまだらしい。これは、何か恐ろしい闇が潜んでいるんじゃないか、とな
地王,……ふっ、勇気と蛮勇を履き違えぬ思慮深さだ。しかし、闇を払うのが光の勇者だろう
勇者,考えてもみろ？闇を……はい、払いました！
地王,うむ！天晴！
勇者,そこで目に入るのは、俺とあの人の年齢差だ！。今は！10年、20年は良い！……だが！40年、50年後！。闇を払った未来に、希望が待ち受けているとは思えないんだ！
地王,勇者らしからぬ言葉よなぁ。しかし……ならば、遠慮は要らんようだな
勇者,……本気、みたいだな
地王,ああ、その通りだ
勇者,俺の命を手土産に有耶無耶にしよう……って所か
地王,？何を言っているのだ？。お前の首を持って行っても、俺の首が隣に並ぶだけだろう
勇者,……。はっ？。ま……待て待て！
地王,む？どうした？
勇者,地の四天王、お前の目的は何だ！？
地王,考えも見ろ、光の勇者よ。光の勇者という、リーダー。祝福の聖女という、回復後衛。剣の乙女という、物理前衛
勇者,……おい
地王,あと一人居たら、もっとバランスが良くなるな？
勇者,おぉい！？。お前、何言ってんの！？
地王,安心しろ、俺の配下の者は優秀だ
勇者,お前の領地の心配なんか微塵もしてねえよ！
地王,ほとぼりが冷めるまでだ！な？なっ？。それに、書き置きは残してきた。俺より強いやつに会いに行く……とな。これで、俺がどこへ行ったかわかるまい！
勇者,滅茶苦茶相手が限られてるじゃねえか！！
地王,お前達三人の近くなら、聖なる力でバレにくいのだ！
勇者,駄目だ！絶対に駄目だ！
地王,俺を倒した事にしても良いぞ？おっ、それが良いな！？
勇者,魔王と四天王三人が本気で俺を殺しに来るわ！
地王,情けないぞ、光の勇者よ！。目の前の命を救えずして、世界が救えると思っているのか！
勇者,救われる側が言う台詞じゃねえよ！！。そもそも、お前の体格なら一発でバレるわ！
地王,確かに、この俺の肉体は鋼の様に鍛え抜かれているな！
勇者,バレなかったとしても、二人が嫌がる！
