ラフィ,か…かえる…。あの、ガヴちゃん…私は急用ができましたので…さよなら！
ガヴ,…はあ…蛙ぐらいであの慌て方は大袈裟ではないでしょうか
ゼルエル,…そうだな、最近の若い者は軟弱すぎる…
ガヴ,最近の若い者には私も含まれるのですが…
ゼルエル,！？
ガヴ,…野良犬が屋根裏に忍び込んだみたいですね…
ゼルエル,い、いにゅが～…？
ガヴ,あれ、どうしました？ゼルエル姉さん…
ゼルエル,…い、い、いにゅ～！！！
ガヴ,部屋に籠もってしまいましたよ…ラフィのことを言えたものではありませんね…。しかし、屋根裏に忍び込まれたのは問題です…ゼルエル姉さんにご協力を求めましょう…ハニエルも一緒に行きましょう？
ハニエル,ゼルお姉ちゃんとお話するの？
ガヴ,まあ…そんなところです
ハニエル,わーい！行くー
ガヴ,子供は純粋で可愛いですね。すみません…ゼルエル姉さん、屋根裏の犬についてなんですg…。…危ないじゃないですか！いきなりマシンガン撃ってくるなんて！
ゼルエル,すまん、犬かと思った…
ガヴ,ええ…そんな大袈裟にしなくてもよろしいのでは…
ゼルエル,いや、そうはいかんぞ…私は犬を見るどころか泣き声を聞くだけで背筋が凍って息苦しくなり…
ガヴ,もういいです、つまり犬が嫌いなんですね
ゼルエル,そうだ…そしてお前らにも犬退治を手伝ってもらうぞ
ガヴ,え…
ゼルエル,ガヴリールには熱線銃…ハニエルにはジャンボガン…
ガヴ,熱線銃…？
ハニエル,…ジャンボガン…？
ゼルエル,熱線銃は鉄筋でできた超高層ビルを一瞬で灰にする…ジャンボガンは戦車を一撃でぶっ飛ばすんだ…いずれも天界の成績優秀者しか手に入れられない道具だ…。敵はいつ襲ってきて、いつ噛みついてくるかわからない…幸運を祈る…
ガヴ,天井裏に入っていきましたね…
ハニエル,いくらなんでも大袈裟なんじゃないの？
ガヴ,私もそう思いますよ、ハニエル…もっと平和的解決を考えましょう…これは置いていきますか
ゼルエル,…。…出てこい…出てこい…。全然出てこないじゃないか！。くっそー！どこだー！どこにいるんだー！。これでも出て来ないか…仕方ないな…ｲｯﾋｯﾋｯﾋｯﾊｰﾊｯﾊｯﾊｯﾊｯ。…ｲｯﾋｯﾋｯﾋｯﾊｰﾊｯﾊｯﾊｯﾊｯ
ハニエル,あ、ゼルお姉ちゃんが下りてきたよ？
ガヴ,本当ですね…犬退治はもういいんでしょうか？
ゼルエル,天界破壊バクダン！
ガヴ・ハニ,ええええーーー！？
ハニエル,ガヴお姉ちゃん、このままじゃまずいよ…
ガヴ,そうですね、説得しないと…
ゼルエル,ﾋｰﾋｰﾋｯ…あとはこのスイッチを押すだけで…
ガヴ,待ってください！ゼルエル姉さん！
ゼルエル,ﾊｰﾊｰ…どうしたガヴリール
ガヴ,…目がいっちゃってますね…。…犬ならさっきのお姉ちゃんの勢いで逃げていきましたよ…
ゼルエル,そ、そうか…取り乱してすまなかっな…ガヴリール、ハニエル…
ガヴ,これでひとまず安心ですかね…。…早く犬を見つけないと…
ハニエル,そうだね、ガヴお姉ちゃん…犬がゼルお姉ちゃんの目に入ったらまた天界破壊の危機がくるかもしれないし…
ガヴ,…どこにも見当たりませんね…
ガヴ父,ただいまー。うわっ、おい、今犬が…
ガヴ・ハニ,！？
ガヴ父,…僕、そんな悪いことしたかなぁ…？
ゼルエル,なんだ、これは…？
