・上SSの続編ですが、,Pと肇は付き合ってる
藤原肇,Pさん、お茶入りましたよ
P,お、悪いな。事務員みたいな事させて
肇,いえ、私が好きでやってる事ですから
P,そうか？ならありがたく
肇,ふふっ、どうぞ
P,後はあれだな。事務員といってもウチのは怪しいドリンク売りつけてくるだけだな
肇,……ちひろさんに怒られますよ？
P,って、もうこんな時間か。ずいぶんかかったな
肇,今日は書類も多かったですし、仕方ないですよ
P,うーん、しかしあいや瞳子や留美さんに一部手伝ってもらってこれじゃなあ……
肇,それも仕方ないですよ。ウチ、アイドルに比べて事務員が異常に少ないですから
P,まあ、それもそうだが……あれ、そういやさっき言った三人は？
肇,瞳子さんと留美さんはさっき帰られました。あいさんは……挨拶を聞いていないので、多分まだいるかと
P,そうか。……明日にでも礼で何か奢るか。……しかし
肇,はい？
P,今夜はまた月が綺麗だな
肇,…………
P,どうした？…………あ
肇,その……急に言われると、照れてしまいます……
P,いや、すまんすまん。今のは完全に無意識だった。……ああ、そういえば。月が綺麗といえばな
肇,何ですか？
P,この間、事務所で頼子と残ってたんだ
肇,頼子さんと？
P,ああ。その時無意識に月が綺麗だって言っちゃってな
肇,……それで、頼子さんはどうなりました？
P,顔真っ赤にしてクッションに顔埋めてた
肇,ああ……
P,大変だったのがその後でな
肇,と、言いますと？
P,聞き耳立ててたらしい留美さんと瞳子に詰め寄られた
肇,あ、ああ……
P,あいがなだめてくれなきゃ、今日の俺は無かったかも知れない……
肇,……ふふっ、Pさんはいつも大げさですよね
P,んー、そんなつもりは無いんだがな
肇,そういえば、Pさんは気付いてますか？
P,何に？
肇,Pさんが、所属アイドルの大半から好意を持たれてる事
P,あー……まあ、薄々な。特に瞳子と留美さん
肇,そのお二人は、特に強烈ですよね……
P,今朝もデスクに大量の婚姻届が置いてあったから、全部トムって書いておいた
肇,そんな子供みたいな……
P,あれ？でも俺と肇が付き合ってる事って……
肇,はい。交際を始めた翌日には皆に公表しました
P,ああ……嫌な事件だったな、あれは
肇,頼子さん瞳子さん留美さん卒倒失神事件……ですね
P,もし柳がオフだったら今頃三人は……
肇,もう、だからPさんは大げさですって
P,……みたいだな。気をつけよう。しかし、それでも婚姻届が置かれるということは……
肇,諦めていない、という事ですね
P,そのタフネスを仕事にまわしてほしい
肇,ふふふっ
P,あれ、何かおかしい事言ったかな？
肇,いえ。留美さんにPさんを取られないように頑張ろう、と思って
P,……なんというか、肇も肇でかなり逞しいよな。っと、ずいぶん話し込んだな。もうそろそろ帰ろうか
肇,あ、Pさん。その前に…………
P,ん？
肇,今……その、二人きり……ですよ……？
P,…………キス、だけだぞ？
肇,はい…………
P,…………
東郷あい,こほん
肇,きゃっ……！？
P,うおっ！？……あ、あいか。お疲れー……
あい,二人とも、いちゃつくなとは言わないよ。ただ、時と場は考えるべきだね
肇,はい、すみません……
P,軽率でした……
あい,分かればよろしい。今はパパラッチがどこで目を光らせているか分からないからね
肇,あの……ところであいさんはさっきまでどちらに……
あい,ああ、P君に差し入れでもと思ってね。近くのコンビニで軽食を買ってきたよ
P,おお、ありがとうな。ただ、もう仕事終わってるんだ
あい,おや、そうだったのか。ならこれは冷蔵庫にでも……
P,いや、この量なら三人で食べた方がいいかもな。あんまり日持ちする物でもないし
あい,そういうことなら、私もいただこうかな。はい、領収書
P,これはこれはご丁寧に。……はい、施錠良し。じゃあ肇、あい、また明日な
あい,おや、ここでもうお別れなのかい？
肇,どういうことですか？
あい,いや、てっきり今日肇君はP君の家にお泊りかと
P,はぁっ！？
肇,お、お泊り……って……
あい,ふふ、冗談だよ
P,あい、お前は冗談言うキャラじゃないだろ。全く……
あい,どうもすまないね。じゃあ、肇君は責任を持って女子寮まで送るよ
P,……いや、やっぱり女子寮の前まではついて行くよ。よく考えたら女二人夜道じゃ危ないだろ
肇,ありがとう……ございます……
あい,P君は本当に紳士だね。もてるはずだ
P,茶化すな
寮母,あらあら、肇ちゃんにあいちゃん遅かったのねぇ！
あい,いやあ、すみません。彼につき合わされまして
P,人聞き悪いな、間違ってないが。それはともかく、二人ともまた明日な
肇,は、はい……Pさん、また明日……
あい,この埋め合わせは後日お願いしようかな
P,はいはい。それじゃまたな
寮母,……ほらほら二人とも、鍵かけるから入っちゃいな！
あい,肇君は本当に彼が好きなんだね
肇,あいさんのお陰です
あい,なあに、私はほんの少し背中を押しただけだよ。決断したのは君だ
肇,それでも…………。あいさんが押してくれたから、私は踏み切る事が出来たんです。だから……ありがとうございます
あい,…………なるほど、この笑顔は彼が惚れるのも無理は無いね
勢いで続編なんて書くもんじゃねえな！,白目
