市原仁奈,幸子おねーさんはお馬さんの気持ちになりやがりましたか？
輿水幸子,なりませんよ？
仁奈,でもさっきヒヒーンって言ってやがりましたよ
幸子,ヒヒーンじゃなくてヒヒーンって言ったんですよ
仁奈,どっちもヒヒーンじゃねーですか！
幸子,ほんとだ！？
塩見周子,どしたの、大きな声出して？
仁奈,やべーですよ周子おねーさん！このままだと幸子おねーさんがお馬さんになっちまいます！
周子,うん？。えーと……どういうこと？
幸子,ボクもよく分からないんですけど……
仁奈,周子おねーさん、幸子おねーさんはカワイイですか？
周子,うん、カワイイよ
幸子,当たり前じゃないですか！
仁奈,こういうことでごぜーます
周子,幸子ちゃんどうしたん？
幸子,そんなのボクが知りたいですよ！
周子,ちょいと幸子ちゃん
幸子,なんですか！？
周子,どうどうどう、落ち着いて
幸子,馬じゃないんですってば！
周子,あはは、ごめんごめん
仁奈,笑い事じゃねーですよ！
幸子,で、どうしたんですか？
周子,今からあたしの言う言葉を繰り返してみて
幸子,いいですけど……
周子,フ
幸子,フ
周子,フーン
幸子,フーン
周子,フフーン
幸子,ヒヒーン
周子,フンフンフフーンフンフフーンフレデリカー
幸子,フンフンフフーンフンフフーンフレデリカー
周子,フンフンフフーン
幸子,フンフンフフーン
周子,フンフフーン
幸子,フンフフーン
周子,フフーン
幸子,ヒヒーン。なんでですかっ！
周子,あたしの台詞やからね、それ
仁奈,うああー、もうダメでごぜーます！幸子おねーさんはお馬さんになるうんめーでやがりますよ！
幸子,ま、待ってください！人間が馬になるわけないじゃないですか！。……ですよね？
周子,そこは自信持たなあかんのちゃうん？
幸子,あうぅ……
周子,あっ、そうだ
仁奈,幸子おねーさんを助ける方法がありやがりますか！？
周子,幸子ちゃんが馬になったら馬のキグルミの仁奈ちゃんとでユニット組めるよね
仁奈,はっ！
幸子,その手があったかみたいな顔しないでくださいよ！
周子,あー、でも愛結奈さんと組む方が先になるかな。あの人乗馬が趣味だし
幸子,乗せませんからね！？
仁奈,今やってるライブツアーに飛び入り参加もできやがりますね！
幸子,ウェスタンですしピッタリですね……って、まだ馬になるとは決まってませんから！
周子,[ｳｪｽﾀﾝﾎﾟﾆｰ]輿水幸子とか？
幸子,嫌ですよ！
仁奈,まあまあ、ニンジンでも食べて落ち着いてくだせー
幸子,ありがとうございます……。生ッ！！！。どこにあったんですか！
仁奈,れいぞーこですよ？
幸子,まあそうでしょうね！。もういいです！こうなったらもう世界一カワイイ馬アイドルとして輝いてやりますよ！
周子,なんで蹄の音するん？
幸子,おはようございます！
仁奈,だ、誰でごぜーますか！？
幸子,ボクですよ、輿水幸子です！
周子,……なんで覆面レスラーみたいなマスク付けてんの？
幸子,これはメンコといって競走馬がレースに集中するためのマスクなんです！
周子,競走馬……ってことは幸子ちゃん、本気で馬になってもアイドルやるの？
幸子,カワイイボクはいついかなる時も全力ですから！
仁奈,あっ！幸子おねーさん、ヒヒーンがフフーンに戻ってやがりますよ！
幸子,へ？。あ、ほんとだ！治ってる！
仁奈,おめでとうごぜーます！
周子,おめでとうマスク・ド・幸子ちゃん！
幸子,何ですかマスク・ド・幸子って！？
仁奈,ますく・ど・幸子おねーさん！
幸子,仁奈さんもノらなくていいですから！
周子,マスク・ド・幸子！
仁奈,ますく・ど・幸子！
幸子,や、やめてください！
周子,カワイイ！
仁奈,カワイイ！
幸子,……フ。フフーン！
