菅原礼二郎,６３
テロップ,2013年――。菅原礼二郎指定暴力団住之江会・神龍組系近藤組組員
組長,何……。お前もカタギになることを決意したのか……
菅原,今のままでは、シノギをやっていくことができません。社会による、暴力団への締め付けが思った以上に厳しいですから……
組長,若い衆や、インテリヤクザの連中はそれなりに稼いでいるんだぞ。お前も、少しは知恵を絞ったらどうだ……
菅原,申し訳ないですが……、俺には、その知恵というものが足りないですからね……。俺にできることは、これしかありません。こ……、これが今の俺による精一杯の答えです……
テロップ,2018年――。菅原明菜６０。菅原礼二郎６３
菅原,この紙切れは一体何だ！？
明菜,見ての通り……。離婚届に決まってるじゃない！！
菅原,こ、これが一家の大黒柱に対してやることなのか！？
明菜,だってあんた……。暴力団組員としても社会人としても、ダメ男で甲斐性なしじゃない
菅原,だ、だからと言って夫を追い出すのはあんまりだ！！
明菜,今のあんたは、ヤクザをやめてもう5年……。つまり、社会的には完全にカタギと見なされるようになったってこと
菅原,一体何が言いたいんだ……
明菜,要するに、自分の力で生きてみろってこと。今なら、あんた名義でアパートを借りることも、銀行口座を作ることも可能だから……
菅原,そ、そんな……
喪黒,あのう、すみません……
菅原,うわっ……！！な、何だ……、いきなり……！！
喪黒,そういえば、あなた……。今朝からずっとこの公園にいますよね……
菅原,俺のこと、見ていたんですか……
喪黒,はい。どうも、あなたのことが気になったもので……
菅原,動く元気がないんだよ……。何しろ、俺は今朝から飯を食っていないんだ。金がないからな……
喪黒,それはいけませんなぁ……。よろしかったら、私があなたに食事をおごりますよ
菅原,いやぁ、本当にありがとう……。久しぶりに、人の温かさというものを実感したよ……
喪黒,どういたしまして……。今のあなたは、いろいろな意味で八方ふさがりの状態にあるようですねぇ
菅原,ああ……。お前さんの言う通りだよ。今の俺は……。社会的にはもう完全に何もかも失った状態……
喪黒,どうやら、あなたにも何やら複雑な事情がおありのようですなぁ……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
菅原,ココロのスキマ、お埋めします！？
喪黒,実はですね……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
菅原,そ、そうなのか……
喪黒,何なら、相談に乗りましょうか？
BAR,魔の巣
喪黒,ほう……。菅原さんは元暴力団組員なのですか……
菅原,ああ……。俺は、若いころからずいぶんヤンチャや悪さを繰り返してきたし、刑務所にも2回入った……
喪黒,その生きざまからして……。おそらく、あなたは武闘派のヤクザだったのでしょうなぁ
菅原,その通りだ。だがな……。暴力団の世界も、今や金がものを言う時代。そんな時世じゃあ、武闘派のヤクザは何かと不利だ
喪黒,それだけではなく、武闘派のヤクザが不利になった決定的な原因は……。法律や社会による暴力団への規制……
菅原,そうだよ、何よりもそれだ。暴対法や暴排条例のせいで、ヤクザは昔と違って非常に生き辛くなった……
喪黒,菅原さんもヤクザとして生活を送ることが苦しくなったから、カタギになったのでしょうねぇ
菅原,そうだ。俺が組を抜けたのは2013年……。今から5年前だ
喪黒,元ヤクザの人も……。組を抜けて5年経てば、アパートを借りたり、銀行口座を作ることができるそうですねぇ
菅原,だから……。俺は妻に強制的に離婚をさせられた上、マンションを追い出された。これからは自分で生きろって……
喪黒,そうですか。大変ですねぇ……
