…,散歩中の犬みたい
元々この辺りはおじいちゃんに連れてきてもらっていたというのは、さっき話しましたよね？ですから、このお地蔵さまも私にとっては馴染み深いものでした。小さい頃の私は、お地蔵さまを,可愛らしいもの
この場所は、ちょうどこの山の中間地点にあたるんです。今までは身体も小さかったのでここでお地蔵さまに手を合わせて引き返していたのですけれど、その日は,肇も小学生になったんだし、頂上まで登ってみようか
…そして、時が過ぎその年の夏休みです。私は、おじいちゃんが留守にしていたとある日の朝、ふとこんなことを思ったんです。,ひとりでこの山の頂上まで登りたい
今思えば、若気の至りというか…え？ふふ、そうですね。今も若いと自負していますが…。とにかく、,おじいちゃんの力を借りずにひとりで登ってみたい
今にも逃げ出したいくらい怖かったですけど、以前おじいちゃんが,霧の中にいる時は下手に動くな
私は,うん
驚いて振り返る私に、その手の主が私に話しかけました。,おかえり、肇。お昼ごはんの時間よ
呆然としている私を不思議そうに見ながら,ほら、早く手洗いうがいしちゃいなさい
それ以降毎年私は夏になるとこちらのお地蔵さまにおにぎりをお供えするのです。ほら、このように…。,あの時助けていただいてありがとうございます
そんなことを思って、今日Pさんをここに連れてきました。…少し、大変な道のりだったかもしれませんが。それでもここなら、素直に言えるとなんとなく思ったんです。,次は私が、あなたのこの手を引く番です
……では、行きましょう。……えっ？Pさん、今、何か言いましたか？でも、,美味しかったよ
