劇場版で一番エロいとこは、会長の,プロリーグ……
アンチョビ,ん、誰か携帯鳴ってるぞー
ペパロニ,うちら着メロお揃いだから、向こうの部屋置きっぱだと分かんないっすね。姐さんあと何分すか？
アンチョビ,いいだろ普段は持ってるんだから。１分２０秒だ。あ、冷蔵庫にある付け合わせ出すか
ペパロニ,おーい、カルパッチョ。でんわ頼むー
カルパッチョ,はーい。あぁ、私ですね。……！ちょっと外出てきます
アンチョビ,冷める前にな。ペパロニー、今朝のあれの残りはどうした？
ペパロニ,あぁ、アレおいしかったっすねー！さすがドゥーチェ！
アンチョビ,ふふん、だろ～？じゃなくてどうしたかって……あ、まさかお前ええ！！
ペパロニ,いやー、すんません。つい！
カルパッチョ,もしもし、たかちゃん？。うん！少しなら平気だよ、どうしたの？。あ、今日エキシビションお疲れ様ー見てたよー！。砂浜のところも惜しかったね。なぽりたーんやってくれたの嬉しかったー！。…………ね、たかちゃん。どうかした？。親友、だもん。嫌なこと、あった？。……ゆっくり落ち着いてからでいいよ。うそ……。優勝したら、廃校はなくなるんじゃ……。そんな……たかちゃん……。……。……酷いね……。たか、ちゃん……っ。たかちゃん……。……！！。う、ううん、いいの。辛いよね……。うん、いつでも話、聞くよ。そっか……。うん、また……。…………
ペパロニ,カルパッチョ、もう飯並べたからそろそろ……どうした？
カルパッチョ,あ、ペパロニ、実は今……。……！
ペパロニ,？そういや、姐さんにも電話来てたな。なんだぁ？
カルパッチョ,戻りましょう
ペパロニ,どうしたんっすか姐さん
アンチョビ,うん、うんっ、わかった。お前も無理するんじゃないぞ……！あぁ、またすぐ連絡しろ！。くそっ！なんてことだ……
ペパロニ,だから、どうしたんっすか？
アンチョビ,今、大洗が廃校になると向こうの会長から連絡があった！
カルパッチョ,やっぱり……
ペパロニ,は、ハァッ！？なんで、だって全国、優勝したじゃないっすか！！
カルパッチョ,私の電話もその件でした、確定された約束ではなかったと
ペパロニ,フザッケんじゃねえぞ！！！それじゃ嘘だったってことじゃねえか！！。認めらんねえっすよそんなの！！！
アンチョビ,落ち着けペパロニ！！私も同じ気持ちだが、ここで息を巻いてもどうにも出来ん…！
ペパロニ,姐さん……！！くっそ……なんとかなんねえのか……！！
アンチョビ,……私もできることを考えてみる。今は、食事にしよう
ペパロニ,ちっくしょー……
カルパッチョ,…………
ペパロニ,……姐さん
アンチョビ,……なんだ？
ペパロニ,……眠れないっす
アンチョビ,……私もだ
ペパロニ,……ちょっと外の自販機でブラッドオレンジ買ってきます
アンチョビ,…………
ペパロニ,…………
アンチョビ,……体、冷やし過ぎないようにな
ペパロニ,うっす
アンチョビ,……。…………。……カルパッチョ
カルパッチョ,……はい
アンチョビ,……今日の夕食は、どうだった？
カルパッチョ,……おいしかった、です
アンチョビ,……そうか。……風呂、熱くなかったか？
カルパッチョ,…………大丈夫、でした
アンチョビ,……うん。……落ち込んでる理由、聞いていいか？
カルパッチョ,…………っ…
アンチョビ,無理にとは言わん
カルパッチョ,……わかりやすかった、ですか？
アンチョビ,そういうわけじゃないさ。私は、お前たちが大好きだからな。なんとなく、気づいちゃうんだよ
カルパッチョ,…………ドゥーチェ……。はい……
アンチョビ,大洗の件だな……？
カルパッチョ,……たかちゃんからの電話だったんです。廃校が決まってしまって、荷物をまとめてるって
アンチョビ,……うん
カルパッチョ,たかちゃん、すごく悔しそうでした……私もそれを聞いて胸が痛かった。優勝をお祝いしたとき、すごく喜んで、笑顔が眩しかったのをよく覚えていましたから。でもそれが全部なしになってしまって……。あんなに悲痛なたかちゃんの声、初めて聞いたかもしれません
アンチョビ,…………
カルパッチョ,でも、そんな話をしてる中で、私……。……っ…………思、っちゃったん、です…！。私…っ、わた、し……すごい、いやな、っ女……こんな時、なのに……っ！！。また……、一緒に、なんて、考え……ぇっ！。たかちゃんが、困ってる、の、に…っ！！こんな…事…ぅ……～～～っ！！
アンチョビ,…………。あの三突の装填手は、カルパッチョにとって親友なんだろう？。親友がそばにいるのを、嬉しいと思わない人間なんていない
カルパッチョ,でも……私……
アンチョビ,人間は考えちゃダメなときでも、尚更考えちゃうようなことがある。私だっていつもそうだ。試合の前なんか、また負けるかもと思ってはいけないのに、頭の片隅に時にチラつく。私でもこうなんだ、カルパッチョ。大洗がなくなってしまうのが、お前の本心からの望みなのか？
カルパッチョ,そんなこと……ないです……！
アンチョビ,だろ？だから大丈夫だ。お前も私も、ペパロニだって、大洗になくなってほしくない。なにか出来ることがあれば、なんだってしてやりたいよな？
カルパッチョ,はい……！！
アンチョビ,いい返事だ、カルパッチョ。さぁ、泣いて疲れただろう。目を閉じて、今日はもうおやすみ。悪い夢は、このドゥーチェ・アンチョビがすべて追い払ってやるから、安心して……
カルパッチョ,…………はい……ありがとう、ございます………ドゥー………ちぇ…
アンチョビ,………良い子だ……
カルパッチョ,…………
ペパロニ,…………
アンチョビ,………
ペパロニ,…………。…………Ｚｚｚ
