プロデューサー,以下P
P,ここから更なる躍進を遂げて頂点を掴むために何か出来ることはないだろうか…。加蓮…ポテト…薄荷…はっ！？。そうだこれなら…！。よし！そうと決まったらすぐ行動だ！。お～い夕美～！
夕美,あっ、Pさん！どうしたの？
P,いやな、ちょっとその花壇の一角を貸して欲しいんだ
夕美,花壇を？別に構わないけどどうするの？
P,ちょっとな…加蓮のために育てたい植物があるんだ
夕美,加蓮ちゃんのため…おいもでも育てて食べさせてあげるのかな？。うんいいよっ！…でもこの時期だとサツマイモかな？それだと肥料のたくさん入ってるこの花壇だとあんまりよくないかもしれないよ？
P,いや大丈夫、芋じゃないよ
夕美,そうなの？てっきり…
P,…迷惑はかけないからさ、ちょっとだけ貸してくれないか？
夕美,それならそこの端っこの方に…。あっ、そろそろお仕事の時間！まだちょっとお手入れ残ってるのに…
P,それなら片付けも含めて俺がやっておくよ
夕美,そう？それならお言葉に甘えちゃおうかなっ！
P,おう、任せとけ！
夕美,うん！それじゃあPさん、行ってくるねっ！
P,おう、頑張ってな～！。さて…それじゃあこの種を…っと。よし、それじゃあ花壇の世話を済ませるか。ﾌﾝﾌﾝﾌﾌｰﾝ。…おっと、少し種がこぼれちゃったか。…ま、大丈夫だろ。…さて、花壇のお世話終了！片付けして戻るか！
夕美,は～…ここしばらく忙しくって全然花壇のお世話出来なかったな～…。今日は久しぶりに時間があるし、しっかり花壇のお世話してあげよっ！。さて、お花さん達は元気…か……えっ？
P,ﾌﾝﾌﾝﾌｰﾝ♪今日も元気だ加蓮が可愛い。そういえば前に撒いた種はどうなってるかなぁ…ここしばらくウェディング絡みで忙しくてロクにそっち見られてなかったし。おわぁっ！？なんだっ！？
桃華,はぁ…はぁ…
P,も、桃華？どうｓ
桃華,Pちゃま！大変ですの！夕美さんの花壇が…！
P,な、何だって！？
夕美,うえええええええん！こんなの酷すぎるよぉぉぉぉ…
拓海,お、おい…いい加減泣き止めよ
凛,そうだよ…ほら、ハンカチ
夕美,うぐっ…ぐずっ…でも、こんなのって…
P,夕美ぃぃぃぃぃぃ！大丈夫かぁぁぁぁぁ！
桃華,夕美さん！Pちゃまを呼んでまいりましたわ！
拓海,おう桃華！でかした！
P,夕美どうし…って、なんだこりゃ！？
夕美,お花さん…みんな枯れちゃった…
拓海,なんか大量に雑草が生えてやがってな…それのせいで全滅らしい
P,雑草…それだけで花壇が急に全滅するようなものなのか？
桃華,普通の雑草でしたらそんなことにはなりませんわ
凛,うん…これは完全に悪意があるよ
P,そうなのか？
凛,ここに今生えてるのってミントなんだけどさ
P,…えっ！？
拓海,ミントってあの…ケーキとかに乗ってるあれのことか？
桃華,ええ、そうですわ
凛,ミントってさ…物凄く繁殖力が旺盛なんだ、爆発って言葉が似合うくらい物凄い速度で増えるんだよ
P,へ、へ～…
凛,それで地中の養分を独占しちゃうから他の植物が殆ど枯れちゃうんだ
拓海,うへ…こええ
凛,一度地面に根付いてしまうとそう簡単には根絶できないから、育てる時はプランターみたいな隔離された土でやるのが基本なんだ
P,で、でも…なんで悪意って思うんだ？
凛,周囲にミントが群生してるような所もないし…ミントはたまにそういう用途に使われるからね
拓海,そういう用途？
凛,うん、通称ミントテロ
拓海,テロ！？
凛,嫌いな人の庭に種を放り込むだけであっという間にミントだらけに出来ちゃうからね
桃華,実家の庭師達もミントが発芽しているのを見つけると即座に抜いていましたわね…
P,お、おう…
夕美,それにしたって…私が嫌いなら直接言えば良いじゃない…！無関係なお花さんにこんなことするなんて…酷いよっ！
桃華,夕美さん…
拓海,ったく…コイツぁやった奴見つけ出して落とし前をつけさせるしかねえな…！
凛,拓海、ちょっとそれは…
拓海,じゃあどうしろってんだよ！ダチが酷い目に遭わされたんだぞ！？
P,やばい…やばいやばいやばいやばいやばい…
夕美,Pさん…ごめんね
P,えっ、夕美、どうして謝るんだ？
夕美,だって…Pさんが植えた加蓮ちゃんへのプレゼントもダメになっちゃったし…
P,あ、あぁ…
夕美,私のせいでダメになっちゃったんだもん…責任感じちゃうよ
拓海,そんなことねえって！やった奴が一番悪いんだよ！
桃華,そうですわ！夕美さんが責任を感じる必要はありません！
夕美,二人とも…うん、ありがと
凛,加蓮…プレゼント…
P,り、凛？
凛,加蓮…芋…芙蓉？ううん、薄荷…！？
P,…凛さ～ん？しぶりんさ～ん？
凛,…ねえPさん、夕美の花壇にさ。なに植えたの？
P,
夕美,凛ちゃん？
拓海,おいおい、おっかない顔してどうした？
凛,Pさん
P,あ～…その…
凛,早く言わないともっと罪が重くなるよ
桃華,凛さん！いくらなんでもPちゃまに失礼ですわよ！
P,いや…いいんだ桃華、俺はそれだけの事をしたんだ…
桃華,…えっ？
夕美,…嘘だよね？
拓海,おいおいおいおい！マジで言ってんのかオイ！
P,そうだ！俺は…夕美の花壇に…ミントを植えた…！
凛,…ミントがこんなに繁殖力凄いってことは知ってた？
P,知らなかった…でも、それで済まされるようなことじゃないってことは分かっている
夕美,そうだよ…お花さん達は全部の栄養を奪い取られて枯れちゃったんだよ？失われた命はもう戻ってこないんだよ！？
桃華,夕美さん…
P,分かっている…本当に済まなかった
夕美,じゃあPさん…ちょっと歯を食いしばって？
P,…へっ？
拓海,…おい凛、桃華、もう用は済んだろ、行くぞ！
凛,えっ？た、拓海！？
桃華,拓海さん！？急にどうしたんですの？
拓海,いいから行くぞ！
P,えっ？えっ？
夕美,お花さんの無念は晴らさないとね、本当はこんなことしたくないんだけど……
P,うう…良かれと思ってやったことがあんな結果を招くだなんてなぁ…。Pちゃん反省☆。…あ、そういえば菜々さんのシンデレラ祝いまだ贈ってなかったな。これからも健康に過ごして欲しいし……そうだ！ドクダミ茶とか良いかな！。よっし！そうと決まったら早速植えに行こう！
