智絵里,前回までのお話し。私のせいで、Ｐさんは理由あって女装をして事務所でお仕事をしています。みんながＰさんのことを女の人だと思っているある日、紗枝ちゃんがＰさんの匂いに夢中になりました。最初は隠れてＰさんのスーツやコートの匂いを嗅いでいるだけだったけど……最近は直接匂いを嗅いだりしています。私の出番はこれでおしまいみたいです。あと短いです
紗枝,
Ｐ,ちょっと紗枝ー……頭から離れてくれないとパソコン見るのも大変なんだけど
紗枝,あとほんの少しだけ待っておくれやす
ちひろ,相変わらずですね
Ｐ,どうしてこんな子に育ったのか……
ちひろ,あ、そういえばＰさん、この前の○×化粧品会社とのＣＭ打ち合わせ、どうでしたか？
Ｐ,まだ報告書書いてる途中ー……んー、まぁいいかなって。この前の打ち合わせでもらった試供品使ってみたけど、個人的に好みだし
紗枝,Ｐはん、あきまへんよ。いつも使うてる香水やあらへんと、Ｐはんの匂いが台無しになります
Ｐ,あんたはアタシの体臭に対して何の権利を持ってるのよ……
凛,ただいま
奈緒,おーっす
ちひろ,あら、奈緒ちゃんと凛ちゃんがレッスンから帰ってきましたよ
Ｐ,お疲れ様２人とも、レッスンどうだった？
凛,まあまあかな。次加蓮が来たときには歌も合わせられそうだし
奈緒,一応最後まで通したからなー……ん？あの事務所の奥に置いてある物、なんだ？
Ｐ,ああ、あれ？菜々さんが持ってきたのよ
紗枝,なんやろなぁ、うちもほんの少し気になってたんやけど……
奈緒,あ、これツイスターじゃん！懐かしいなー
紗枝,ついすたぁ？
ちひろ,マットの上に色々な色で丸が描かれていて審判の指示通りに手足を使って丸に触れるゲームですよ
凛,小さい頃に友達とやったかな……今じゃ全然見ないけど
Ｐ,菜々さんがね、ナナはもう節々が痛んで遊ぶことができませんから、事務所のみなさんで遊んでくださいって言って置いていったのよ
ちひろ,試しに３人で遊んでみたらいいんじゃないですか？紗枝ちゃんは初めて見るみたいですし
奈緒,３人でか……うーん、レッスンから戻ってきたばかりだけどなぁ
Ｐ,遊んでれば？あと１時間くらい待ってるなら家まで送ってあげるわよ
凛,それじゃ暇潰しにやろうか
紗枝,うち、遊び方知らへんけど……
奈緒,難しいことやらないし、すぐ分かるよ。とりあえずやってみるか
凛,マット敷いて、盤は……誰が回そっか？
ちひろ,それじゃ私が回してあげますよ。３人とも、マットの端に立ってください
奈緒,素足になって……よいしょっ、これやってると、みんなの手足があっちこっちに行くからお互いに絡まったりするんだよなぁ
紗枝,身体が絡まって……Ｐはん
Ｐ,私仕事あるから。それに若くないから身体動かないからね
奈緒,何言ってんだよ。菜々さんより若いだろ？
Ｐ,奈緒、あんたそれ菜々さんの前で言うの禁止ね
ちひろ,まあまあその辺で。それじゃ盤回しますよー。最初は……右手で緑！
凛,緑ね
奈緒,ほっ……こうやって、ちひろさんが言った通りの色と身体でマットの上の丸に触るんだよ
紗枝,ふんふん……
ちひろ,次いきますよー……右足で青
凛,蒼っと……
紗枝,両手と両足全部使ったらどないしはるん？
奈緒,新しく指定された色にまた移動させるんだよ。それを繰り返してバランス崩して倒れた人が負け
ちひろ,まぁ、まだ簡単ですからね
Ｐ,無理に身体捻らない程度に遊びなさいよ
奈緒,分かってるよ
ちひろ,右足で赤
凛,ま、また右足……
紗枝,ふっ……んんん……
奈緒,やばっ、この姿勢だと足が伸びない……紗枝、ちょっと跨がせてもらうぞ……紗枝の頭蹴らないように……っと！
紗枝,うちの足も凛はんのお腹の下潜らせとるし……
Ｐ,よくそこまでやるわね……
奈緒,ハハッ！まだまだ始まったばかりだからな……！
ちひろ,３人とも足置きましたかー？それじゃ次……右足で緑
凛,ええっ！？また右足？
紗枝,も、もうそろそろあきまへん……
奈緒,ちょっ……紗枝跨いでるのにこれじゃ足が……っとおおおおっ！？
紗枝,ひゃっ！？。もごっ……！
凛,あああっ！紗枝を跨いでる奈緒が右足を滑らせて紗枝の頭ごと尻餅ついた！
Ｐ,ちょっ、ちょっと大丈夫！？
ちひろ,あああああ……紗枝ちゃんの顔が奈緒ちゃんのお尻の下敷きになって……
奈緒,いってて……
紗枝,んむぅっ……んぁ、なぉは……。っ！？
奈緒,っと、ゴメン紗枝、いま避けるから……
凛,ちょっと、頭からいったけど大丈夫？
奈緒,よっと……紗枝、怪我ないか……紗枝？
紗枝,……
Ｐ,紗枝？あなた大丈夫？床に頭ぶつけたけど……
紗枝,……
奈緒,紗枝？お、おーい、大丈夫かー……あ、あたしが悪かったけど……
紗枝,……見えてしもうた
凛,何が？
紗枝,奈緒はんのお尻ん匂い……まるで、お天道様や北風が彩を加えてあげたような優しい匂いで……
奈緒,は？
紗枝,まるで、Ｐはんの匂いみたいな……
Ｐ,ちょっと待って、私の体臭って奈緒のお尻と同じ臭いって言いたいわけ？
紗枝,そう……お母ちゃんみたいに、うちのこと包んでくれる匂い……
奈緒,え、え……え？。おはよーござ……。うひぃっ！？
紗枝,……
奈緒,さっ、紗枝！？い、いきなりあたしのお尻に顔突っ込むなぁっ！
紗枝,動いたらあきまへん。むっ……奈緒はん、昨日はもしかして夜更かししとらんやろうか？お尻ん匂いがいつもより強くて……
