できるだけ自然な感じにコーヒーを差し出すと、彼は,ありがとう
言葉と期待がお腹の底に落ちて、アタシは,ん
Ｐ,えー、ということで……。先日のオーディションを見事パスして、うちの部署の配属となった、城ヶ崎莉嘉さんだ。みんな、先輩として色々教えてやって欲しい
莉嘉,やっほー☆城ヶ崎莉嘉だよー！みんなよろしくね～っ
美穂,わぁ、かわいい……！。……って、城ヶ崎？
蘭子,城ヶ崎、とは――――
莉嘉,おねーちゃーーーーんっ！！アタシもアイドルなれたよーーーーーーっ！！
美嘉,莉嘉！アンタ家じゃ何も……っ！
芳乃,ほほー……やはりそうだったのですかー
紗枝,そういえば、妹はんがおらはるって言うてはりましたもんなぁ
周子,写真よく見せて貰ってたわ。いやー実物はえらい可愛いね
莉嘉,あっ、小日向美穂ちゃん！？
美穂,え！？あ、うん、そうだけど……
莉嘉,わぁわぁ、ほんとだすっごく可愛いっ！ねぇねぇ狸ってホント！？尻尾どこ！？カブトムシ好き！？。そっちは小早川紗枝ちゃん！あっ塩見周子ちゃんでしょ！？わーっ依田芳乃ちゃんだ！神崎蘭子ちゃんもいるーっ！
美嘉,ちょっと莉嘉っ！あんまり騒がないの！
横っ面に,えぇ～あたし全然知らへんかった～そうな～ん？
莉嘉は遅まきながら,やっちゃった
単に狸や狐や河童や何かと同じ、,そういう種族
簡単に説明するなら,はぐれ者たち
文化とか宗教とか、そういう正しいっぽい分類から外れた,まつろわぬもの
アタシは城ヶ崎美嘉という名前より先に,ピンク色のやつ
もちろん,悪魔のハーフです
ん？と思ってリビングの方を見ると、莉嘉が響子ちゃんに,しーっ！しーっ！
アタシ達にとって、一番カロリーの高い栄養源は,欲望
一般的なイメージとしてある,人をそそのかす悪魔
っていう話をママにしたら、,子供舌ねぇ
アタシの好みは,期待
翼を見たお兄さんは,っていうかつまりプロデューサーなんだけど
その可能性があるとすれば。もっとずっと色々な,心
その話が本当なら、業界にはこの人を魅了した,誰か
だけど彼の語る,本物
そこで最初の方にあった,契約
だけど期せずして,その人
で、現在,いま
不意に莉嘉が,ＰくんＰくん
部署が大きくなって忙しくなっても、,いつもの
莉嘉,じーーーーーーっ
美嘉,はいプロデューサー、今日もお弁当作ってきたから
Ｐ,おっマジか。いやぁありがたい、今月ちょっとピンチでな……
美嘉,どーせスタドリとかで済ますつもりだったんでしょ？ちゃんと栄養摂んなきゃダメじゃん？
Ｐ,うぐぐ耳が痛い……ともあれ、ありがたく貰
美穂,あ、あのっ！
Ｐ,美穂……？
美穂,じ、実はその、私もお弁当作ってきたんですけどっ！！
美嘉,！
美穂,響子ちゃんに教わって……も、もし良かったら、食べてほしいなぁなんて！
Ｐ,しかし、弁当はもう……
美嘉,プロデューサー？
美穂,プロデューサーさん……！
Ｐ,。あーおなかすいたなー！今なら二人分食える気がするなー！！あっ超うまそうな弁当が二つ！！！
莉嘉,じーーーーーーーーーーっっ
響子,うぅ、二人ともがんばってとしか言えない……！
周子,おぉ～……今日はまた激しい……
蘭子,聖戦ジハード
莉嘉,だいじょーぶだし！お姉ちゃんは強いもん！
周子,おっ言うねぇ。ところであのラブコメを見てみ、どう思う？
美嘉,ねぇねぇ、この卵焼きアタシの自信作なの！食べてみてよっ★
美穂,私もそのっ、がんばってミニハンバーグ作ったんです！あの、あ、あ、あーん！
美嘉,あっ美穂それズルい！
Ｐ,ｳﾏｲ……ｳﾏｲ……
莉嘉,んとねー。なんか、お腹いっぱいって感じ！
周子,おーおーよう言うてくれた、莉嘉ちゃんはあたしらみんなの代弁者だわ。お姉さん羊羹あげちゃう
莉嘉,わーいありがとー！
楓,今日も平和ですねぇ
芳乃,まこと善き哉ー
茄子,本当ですね～……あらっ茶柱♪
Ｐ,やばいやばい、会議に遅れちまう。――うおっ！？
？？,きゃっ
Ｐ,っと！？うわごめん、大丈夫！？ケガ無いか！？
？？,いたた……
Ｐ,あ～、荷物散らばっちゃったな……
？？,ぁ……いえ、大丈夫ですから……
Ｐ,そうもいかないだろ。せめてバッグの中身を拾うくらいさせてくれ
？？,そうですか……？なら……一緒にお願いしますね
Ｐ,あんま見ないけど、新しいアイドルの子とか？
？？,いえ、モデル部門に用事が……。いつもは仙台にいるんですけど
Ｐ,仙台から？そりゃ大変だ、日帰りで？
？？,違いますよぉ、マネージャーさんがホテルを取ってくれてて……
Ｐ,そっか。――っと、これで全部かなとりあえず
？？,ごめんなさい、手伝わせてしまって
Ｐ,いやいや、こっちこそごめん。どうぞ
？？,ありがとうござ――――
まゆ,――――見つけた
Ｐ,…………はい？
