ミカサ・アッカーマン。彼女は,逸材
ミカサ,…コニー
コニー,何だよ、ミカサ
ミカサ,昨日のあれ、何だったのだと思う…？
コニー,やめろ…もう、考えるな…
ミカサ,正直、コニーがいてくれなかったら耐えられなかった…感謝する
コニー,いや、俺もミカサがいなかったら無理だったよ！酒を浴びるほど飲んで、今頃ぶっ倒れてるのがオチだな。そんで評価シートに適正低しとか書かれて
ミカサ,…それだ
コニー,え？酒の話？お前そんなに強かったっけ
ミカサ,いや、違う。…評価だ。私たちの評価は高すぎる
エレン,え、何ですかそれ。ミカサが優秀すぎて周囲が嫉妬してるとか、そんな話ですか？
グンタ,いや、違うんだよ。何ていうかさ…
オルオ,ふん…はっきり言ってやったほうがこいつのためだ。馴染みが心配なんだろう、そんな顔をしてやがる
エレン,一年間で三割、二年目で更に五割です
ペトラ,それについて、あなたはどう思う？
エレン,それは…辛い事ですが、仕方の無いことです。自由のために力を使い、時には命まで落とす仕事ですから。おかしくはない数字だと思います
オルオ,まずまずの回答だな
ペトラ,死ねオルオ。エレン、あなたの回答は半分正解と言っていいわ。でも半分足りない。
エルド,そう、大事な大事なアレが足りないのさ
グンタ,大事だよなあ…あれは
オルオ,ああ…特に初年度は本当に大事だった。三年目にキース団長の直轄になった時とかは、ほんとに死ぬかと
エレン,あの、皆さん本当に何の話をされているんですか
全員がはかったかのように懐から取り出す、その小さな紙。そこには控えめに、,目標・評価シート
グンタ,大きな声で言うなよ…ノルマ、だよ。あるんだそんなのが
アルミン,個人別目標が、班単位で設定されているんだね。優秀な個人、例えばミカサみたいな人がいれば、班で倒さなければならない巨人の数が変わって来る…具体的には増える
ミカサ,迂闊だった…超冷たくされたのは、私とコニーが入ったことで、通常種三体に奇行種二体のノルm…自己目標が追加されたからだった。しかも今は九月…半期決算が近い。皆給与への反映を気にしている時期
エレン,ふん、そんなの自分一人で倒しちまえよ。できるだろお前なら
ミカサ,…私、この仕事向いていないかも。死にたい
エレン,お、おい！まだ壁外にも出てないのに早すぎんだろ！
ミカサ,エレンはいいな…たぶん目標とかない。守られる側だもの、はあ
アルミン,ミカサ、プレッシャーで人格がおかしいことに…
