●全16レス＋α,予定
黒木,・・・ふ？ふた、き・・・？。あ、あー・・・●▲●。あのやたらハイスペックな、顔文字二号。騎馬戦で無双して、射的で無双してたな。話・・・したことは、ないです。ただ、結構・・・見かける機会は、その、多くて・・・。岡田さん、ですか。凸だな。岡田さんとも、あまり・・・話、したりは、してないです。・・・あー、はい。遠足の時に、ちょっとだけ。根本さんと？・・・そう、みたい、ですね。はい、仲直り・・・してたみたいです。当然かな、とも、思いますけど。南さん・・・？あ、はい。キバ子か。こはるって名前なのか・・・。キバ子のくせに、かわいい名前しやがって。・・・南さんとも、話、したことないです。陰口・・・？そう、みたいですね。わたしも言われてる・・・んですかね。え？。仲のいい人どうしだったら、それくらい普通にするんじゃないですか。言われて気持ちのいいものじゃないですけど。わたしの聞こえないところでやってくれるなら、別に。！・・・あ、あ、はい。田中、まこ、さん・・・。あのガチレズさんか・・・。・・・は、はい！と、とてもいいひとです！。はい！田村さんのお友達で！。いつも仲良くしてくれて！はい！やさしくて気配りできて・・・。ヘタなこといって万一耳に入れられでもしたら、ガチで襲われる・・・！。・・・加藤、さん。あ、はい。ときどき、話・・・すること、あります。いろいろ、話かけて、くれます。いいひとです・・・。・・・ネイルしてくれたなあ。マスカラ塗ってくれたなあ。肌キレイだったなあ、いいにおいしたなあ、意外とでかかったな・・・。ああ、スキがあったら触りたい。触りたいのに、スキがない・・・。・・・内さんですか。絵文字一号┃＿┃。えみりっていうんだよな。絵文字のくせに生意気だ。はい。修学旅行でいっしょに。・・・いえ、あれからは、あまり。内さんも、あまり、わたしとは話・・・したくない、みたいです。内さんは、たくさん、友だちいますから。わたしとは・・・え？。・・・いえ。別に、嫌いじゃ・・・ないです。修学旅行のとき、いろいろ、助けてもらいました。ズボンほうりこんでくれたの、たぶんあいつだよな。遠足のとき、いろいろ、お話ししてくれました。キョロ充なりに、気を使ったんだろうな。あと、絵文字のやつ、気を使わなくていいんだよな。どうせわたしのこと嫌なんだろうし、遠慮しなくていい。それから、えm・・・。・・・いえ、内、さんは。・・・根本さんネモ、か。・・・はい。ずっと、話しかけて、くれてます。はい。遠足の、時も。いっしょに・・・。・・・友だち、ですか。・・・・・・・・・。・・・・・・・・・そう、なんだと、思います。え？いえ・・・別に、好きじゃないとか、そういう、意味じゃ・・・でも。根本さんには、岡田さんが、いますから。・・・はい。遠慮、してしまいます・・・。凸ってなんか、マジでガチな雰囲気があるんだよな。ネモにセクハラしたら、刺してきそうな気がする。・・・でも、考えてみりゃ、ネモって。わたしのはじめての、オタ友なんだよな。ゆうちゃんとかとは、そういう話、できなかったもんな・・・。・・・でも。はい。はい、そうです。ネモ・・・とさんは。よ、吉田さんですか来たよ・・・。はい。いいひとです！やさしくて趣味もよくて！。乱暴？いじめ？いえいえいえ！そんなことありませんってば！。本当のこと言って万々が一にでも耳に入ってみろ。今度こそ校門の前に逆さに吊るされる・・・。死力を尽くして考えろ！あの女チンピラのいいところを！！。いつもなぶって・・・いえかわいがってくれて！。顔もきれいで！スタイルもよくて！腕力あって！。感度もよくて・・・あ、いや、えっと・・・。あ、あとは・・・くまちゃんパンツとか、いや、だめっ！。えっと、えっと、乳首と股間の感触とか・・・うわあああ！！。どうしよう、どうしよう、ろくなもの思い出せない・・・あっ！！。・・・そうそう！傘に入れてくれたことがあるんです！。はい！雨の日に・・・今江先輩といっしょでした！。そうです！先輩は途中で帰りましたけど、吉田さんは結局最後まで・・・。あ！そうだ！先輩と言えば、卒業式の時！。吉田さんがわざわざわたしを、先輩の前まで連れていってくれて！。はい、遠慮してたんですが、そのおかげでご挨拶ができて・・・・・・・・・・・・。・・・・・・・・・・・・あれ？。もしかしてあのヤンキー、本当に意外と、いいやつだったりするのか・・・？。・・・・・・・・・・・・だから、その。はあ？弟のこと・・・ですか？。どう、って。言われても・・・。・・・あいつも、変わったよなあ。生えてもいなかったころから、ずいぶん・・・。人前でちゅーしてくれって言わなくなったし。いっちょまえに、剣じゃなく銃を欲しがるようになったし。部活でもそこそこ活躍してるみたいだし。・・・・・・・・・・・・・・・・・。・・・それで変態どもからチンコ狙われるようになったんだよな。あいつも、性欲もてあましてるんだろうしな・・・。健康な高校生男子が、いつまでも目の前の変態女に手を出さないとは思えない。コオロギ相手だったら即縁切りだが、ちん子ちゃんくらいならしょうがないか。あいつはたぶん、わたしより一足先に大人になっちゃうんだろうな・・・。・・・・・・・・・。・・・・・・・・・。あいつは・・・智貴は。はあ、田村さんですか。どういう、って。言われても・・・。え？はい、まあ。いえ、そんな、特別なことは。ちょっと、一緒に、話したり、歩いたり。・・・弁当食べたりとか、だけで。あとは・・・お菓子、つくったり、とか。・・・交換したりとか。え。そんな。特別なこともしないのに、なぜ、って。そう、言われても・・・。・・・・・・・・・・・・・・・。・・・ああ、面倒くさかった。昨日はいきなりなんで、あんな面談なんかしたんだ？。あの内容が内申点にひびいたりするのか・・・？
二木,・・・・・・・・・
黒木,・・・ん、わっ？
二木,・・・・・・・・・
黒木,・・・は？
二木,・・・・・・・・・
黒木,・・・なんなんだ、あいつ。いきなり来て、いきなりこんなの渡して・・・。ネズミ―のメダル・・・？
二木,・・・・・・・・・。・・・ほめられた。ほめてくれた。ほめられちゃった。うれしいな、うれしいな
A．,ありがと、ありがとね・・・智子ちゃん
黒木,いったいなんだったんだ、今の・・・
岡田,おはよう
黒木,わっ！！
岡田,な、なんだよ
黒木,い、いや、その・・・あれ。ね、ネモ・・・とさん、は
岡田,・・・いつでも一緒ってわけじゃないよ
黒木,はあ
岡田,なあ、黒木・・・。あたしに、アニメや漫画のこと、教えてくれよ
黒木,はあ？？
岡田,・・・陽菜と話を合わせたいんだよ。頼むよ
黒木,じゃあ根本さんに聞けば
岡田,んな恥ずかしいことが聞けるかよ
黒木,恥ずかしいことでもわたしには聞けるのか？！
岡田,な、頼むよ、なあ・・・・・・ちくしょう。いっつも笑ってた陽菜が、泣いてた。怒っても悲しんでも笑ってた陽菜が、顔をくしゃくしゃにして。あんたに、大事な人だって言われて。ちくしょう・・・。陽菜は、あたしが泣かせてやるって、ずっと思ってたのに！くそっ！。じゃ、頼むぜ。またな
黒木,・・・なしくずしにOKさせられてしまった。なんだか妙な迫力・・・というか。殺気みたいなものを感じたというか・・・。・・・はあ
南,・・・く、黒木
黒木,あ？
南,お、おはよ
黒木,・・・なんだこいつ。キョロ充のくせに、どういう心境の変化だ。加藤さんたちにはじかれたから、わたしにすりよろうって魂胆か？
南,あ、あのさ。ムカつかない？荻野のやつ
黒木,へ？
南,なんか、あいつヤじゃない？上から目線で、イヤミったらしくて
黒木,・・・・・・・・・
南,こ、こんな話いやかもしれないけどさ。でも、そう思わ・・・
黒木,思う
南,え？
黒木,■ねばいいのにっていつも全力で思う
南,・・・は？？
黒木,■■■万くらいまでならなんとかして出すから、■■■■■■■■ないかって思ってる
南,・・・
黒木,・・・なんだこいつ。これくらいでビビってるのか。おまえくらいのなんか陰口のうちに入らない。こっちには２ちゃんの時代から鍛えぬいたテクニックがあるんだ。10年ROMってから出直して来い
田中,おはよう、黒木さん
黒木,おはよう、真子さん・・・って、あれ？
田中,ふふ、最近はじめたんだ。ジョギング
黒木,なんでジャージ姿なんだと思った・・・
田中,黒木さんほどは、まだ走れないけどね
黒木,い、いえ
田中,ねえ、黒木さん。いま、南さんとお話ししてなかった？
黒木,え
田中,あ、べつに何でもないんだけど。ただ、珍しいなと思って
黒木,あ、あ、そう・・・聞かれてなかったろうな・・・
田中,どんなこと話してたの？
黒木,い、いえ。つまらない、こと・・・
