桜ノ宮苺香,おはようございます
苺香,あれ？誰もいない……。夏帆さんも麻冬さんも今日はシフトがなくてお休みなのでしょうか？。あれ？お店の奥の方から……あっ、店長さんでしょうか
ディーノ,ﾊｧﾊｧ……苺香さん……。はぁぁぁーーー苺香さん、苺香さん！。苺香さぁぁぁぁぉ～～～～～んん！！！。ﾊｧ……ﾊｧ……たくさん出ました。！？誰かそこにいるんですか！？。あれ、誰もいない。気のせいですかね……。さて、店の準備をしないと……
苺香,………
ディーノ,あ、苺香さん。おはようございます
苺香,お、おはようございます……店長さん
ディーノ,あれ？なんか顔が暗いですけど、大丈夫ですか？
苺香,いえ、大丈夫です……。それより今日はみなさんは来ていないんですか？
ディーノ,あー、実は他のみんなは少し遅れそうなので、今日は開店時間も遅くしようかなと
苺香,そうなんですか……
ディーノ,はぁ～、ということは、しばらくは苺香さんと二人きりですね～～
苺香,私、お店の外の掃除をしておきますねぇーー！
ディーノ,あ、苺香さん！？行っちゃった……。まあ、イッちゃったのは僕もですけど……
秋月紅葉,おい、どういうことだよ！？
ディーノ,え、そんなに大声出してどうかしました？
日向夏帆,どうしたじゃないわよ！なんなのよ、今日のパスタのソースは？
ディーノ,あー、これですか？今日はイカのパスタにしようかなと思いまして、オリジナルのものを用意しました
紅葉,そのソースがひでぇんだよ！イカのパスタというか、ソースがすでにイカ臭くて料理できねぇよ！
ディーノ,ええ、一生懸命出したのに…
紅葉,出した？
夏帆,しかもこのソース、なんか見た感じ白く濁っててドロドロしてるんだけど
ディーノ,問題ありません。一週間我慢した搾りたてで濃厚なのを用意しました
夏帆,我慢？搾りたて？
苺香,…………。き、気持ち悪い……
客,ありがとうございます！
夏帆,苺香ちゃん今日も絶好調だねー！
紅葉,ああ、なんつうかいつも以上に目がすごいな
ディーノ,では、私休憩入りますのでしばらく店のこと頼みますね
苺香,…………
ディーノ,ﾊｧﾊｧ……もう我慢できません！薄くなるけどまたイカソースを絞り出さなければ！。おや、こんなところに手紙と小さな箱がありますね。どれどれ……。……………苺香さん！
紅葉,あれ？なあ、冷蔵庫にあった激辛ソース知らないか？
夏帆,え、知らないけど。苺香ちゃん、知らない？
苺香,さぁ………
夏帆,うわ、何今のすごい悲鳴！？
紅葉,休憩室の方からだ！行ってよう！
苺香,ふふっ……気持ち悪い……
