杏,うへぁ……
妙子,は、はは……
エルヴィン,何考えてるんだ……？
そど子,…………
ナカジマ,あちゃ～
ねこにゃー,の、ノーコメントで……
優希,わ～、かわいい～笑
沙織,ぐすん
みほ,いや、いきなりそんなこと言ったら驚くよ
華,そうです。なぜあんなことされたんです？
沙織,ネットでそういうのが"萌え"って見て……モテるかなーって
麻子,アホか
沙織,ひっどーい！でも可愛かったでしょ？
麻子,バカか
沙織,むー！
優花里,あはは、武部殿のキャラには合ってなかったかもしれませんね
華,そうですね。沙織さんは軽薄な雰囲気は似合わないと思います
沙織,……じゃあ私のキャラって？
みほ,うーん？
華,いざ考えてみると難しいものですね。実直で優しい方でしょうか
みほ,でも、ヘイ彼女！一緒にお茶しない？とか、ちょっとおちゃらけた(？)所もあるよね
沙織,みぽりん止めて。蒸し返されると恥ずかしい
みほ,あはは、ごめんね
優花里,武部殿の一番の魅力は、その社交性じゃないでしょうか！とてもフレンドリーで、私でもすぐ仲良くなれましたし！
麻子,まあ、面倒見は良いんじゃないか？
沙織,な、なんだか恥ずかしいなあ
みほ,そのままの沙織さんが一番素敵だと思うよ
華,そうです
沙織,みぽりん……みんな……！ありがとう！
麻子,やれやれ……
優花里,一件落着ですね！
華,ですが、キャラ付け？というのも少し面白いですね
みほ,そうかな？
沙織,そうだよー。みぽりんとか病弱設定なんて似合いそう
みほ,ええ？。…………
華,大丈夫ですか？
みほ,ごめん、立ち眩みが……。ほら私、病弱だから……
みほ・沙織,あはははは
華,なるほど……、アリですね
優花里,病弱ながらも皆を引っ張っていき、決勝では仲間のために大ジャンプ……。うぅ、なんだか想像だけで泣けてきました
みほ,泣かないで優花里さん。ちょっと無理をしすぎたみたいで、私の体はもうボロボロだけど……でも、みんなが戦車に乗っていてくれる限り、私たちはずっと一緒だから
優花里,西住殿ぉーーーーーー！！！
沙織,あはは、やめてよもー
華,ふふっ
沙織,でもさあ、みぽりんって戦車道の名家の娘で、転校生で、才能が有って、ボコ大好きで、コンビニも大好きって意外性もあって、お姉ちゃんがライバルとか、これでもかってほど設定盛られてるよね
みほ,でもそれを言ったら、華さんも花道の名家の娘で、すごい才能あって、すごく上品なのにご飯をいっぱい食べるってチャームポイントまであるし、凄いと思う
華,あら、それなら麻子さんもです。生活態度こそ褒められたものではありませんが、成績はとても優秀。そして大変な操縦技術を持っている。おばあ様と甘いものが大好きで、お化けが苦手。ふふっ、とても可愛らしいかと
麻子,おばあは……いや、良い。それよりも秋山さんだろ。ミリタリー知識が凄くて、行動力に技術力まである。その上、軍人めいた喋り方をしていて、過去にはパンチパーマという面白ネタまで持ってる。語り切れないぐらいキャラがたってるぞ
優花里,あはは、ありがとうございます
沙織,……えっと、それで私はどうなんだっけ？
みほ・華・優花里・麻子,優しい
沙織,そんな一言で！しかも、優しいって特徴ない人に言うことじゃん！
みほ,そんなことないよ
沙織,じゃあ、私のキャラについてもっと語ってよ！
みほ・華・優花里・麻子,料理がうまい
沙織,なんで綺麗にハモるの！？嬉しいけど……なんか複雑！
みほ,あとは彼氏を欲しがってるとか？
華,それと、殿方からの好意を欲しているとかでしょうか
優花里,やはり、モテるために努力しているとこですかね
麻子,婚活戦士
沙織,なんかやだー！しかも、めっちゃ酷いのあった気がする！。わあ！今日のランチ美味しいそう！。あわあわ、でも教室におサイフ忘れちゃった
みほ,沙織さん？
沙織,なんですか？
みほ,なにそれ
沙織,みぽりんの真似
みほ,ええ！？……私ってそんなかな？
沙織,うん。割と
みほ,…………
沙織,あ、ごめん。怒らせちゃった？
みほ,全然そんなことないよー。むしろ嬉しいよ！。さおりん、とりあえずお金貸したげよっか？
沙織,ぷふっ。ちょ、みぽりん、それ私？
みほ,そだよー
沙織,あはははは。絶対違う。すみません。みほさん、お金貸してください
みほ,ｸｽｯ。もっちろーん！はい！
沙織,ありがとう！それじゃあ、食券機に向かってパンツァー・フォーです！
みほ,え？パンツのアホー？
みほ・沙織,ぷっ。あはははははは！
華,あら、随分と楽しそうですね。……西住殿！武部殿！
みほ,！
沙織,華さん！
みほ,あれー、華がお昼に遅れるなんてめっずらしー
華,本日は日直でしたので！あ、西住殿の隣良いですか？
みほ,いいよー
沙織,爆笑。もーやめて、笑いすぎて苦しい
麻子,あら？沙織さん、体調が悪いのなら保健室で寝ていたらどうですか？
みほ,爆笑
沙織,なんか、毒あるんだけど
華,私ってそんな感じでありますか？
みほ,絶対ちがう
麻子,あら？華さんにしては珍しく、日本語がおかしい気がしますねぇ……？
沙織,爆笑。もはや、誰なのそれ
優花里,…………
沙織,あれ、優花里さん！いつのまに
優花里,眠い……zzz……
みほ・沙織・華,爆笑
麻子,いえ、私、流石にここまで寝てばっかじゃありませんよ
みほ,えー？そんなことないよー
沙織,ぷっ。みほさん！みほさんのその喋り方は面白すぎるので止めてください！
優花里,んー……。だが、そういう西住さんも偶には良いんじゃないか
みほ,ほらー、ゆかりんもこう言ってるよー？
華,そうですね。いつもの西住殿とは違いますが、とても可愛らしいかと！
みほ,いぇーい！
全員,爆笑
沙織,違う、絶対それ私じゃない！あはははは！。いやー、楽しかった
みほ,そうだね
沙織,でもやっぱり、普通が一番なんだなって思ったよ
みほ,うん！。それでは、今日も練習頑張りましょう！
華・優花里・麻子,(爆笑)
沙織,やっぱ、ずるーい！
