※このSSは公式アンケート、オリジナルユニットの項目にあった,いちにのさん(志希・飛鳥・紗南)
飛鳥,…………
紗南,…………あー
志希,………………………早く、次
飛鳥,よろしく、歓迎するよ。紗南
紗南,飛鳥ちゃん！なーんか二人のユニットに追加装備みたいな感じだったけど、よろしくね！
志希,よーろしくー。紗南ちゃんとは……初めてだっけ？
紗南,んー……たぶんそうかも！宜しくね志希さん！
飛鳥,しかし安直というかわかりやすいというか……
志希,いち！
飛鳥,………にの
紗南,さん！ってカンジ！わかりやすくていいよね！まぁアタシの枠って美優さんとかかなこちゃんとかいたけど
志希,しきちゃん的には覚えやすいから異論なーし。属性もちょうどいいし
飛鳥,前のユニット名もよかったから、てっきり受け継ぐものだと思っていたよ……
紗南,Dimension-3だっけ？カッコいいよね！シューティングゲームでありそう！
飛鳥,三次元、つまり現実を内包しファンを沸かせるアイドルユニット……というわけさ
志希,そんな考えしてるかわからないけどねー
紗南,でも二人でDimension-3だったんだよね？多分１＋２で
飛鳥,そうだね。そうなると……紗南の３が足されて……第六次元か
志希,六次元っていうと……エリア分けの世界だね。時間も何も全部ばらばらー
紗南,なにそれ気になる！エリア分け？ってことは……属性分けみたいな！
志希,ちょーっと違うかにゃー。紗南ちゃん的にいうなら……村人Aと村人B、……村人Z!って全人類を振り分けるカンジ？
飛鳥,それぞれの個を分けている次元ということかな？ボクらもまた個がハッキリしていると言えるね
志希,もうちょっと難しいんだけどにゃー。まぁしきちゃんも専門じゃないからしーらない！
紗南,個、かぁ……確かにアタシ達個性バラバラかも？
モバP(以下P),まぁユニット名はいちにのさん
飛鳥,……そうだった
紗南,アタシはこっちの方好きだけどね。シンプルで！
志希,しきちゃんもさんせーい！で？どうしたのプロデューサー？
P,ん？いや、ユニット結成ってことで集めたけど。当たり前だけどまだ仕事ねぇからよ。暇かなぁと
志希,いい臭い……お菓子？
P,まぁ、な。顔合わせってことで今日は適当に駄弁っててくれ
飛鳥,そんなことでいいのかい？せっかく揃っているんだ。レッスンの一つでもやれそうなものだけど
P,元々二人はユニット組んでたろうし、紗南は……周りに合わせるの慣れてるしなぁ
紗南,あはは……
飛鳥,ん？どういうことだい？
紗南,アタシほら、固定のユニットとかないからねー。仲いい子はいるけど？
志希,紗南ちゃんは流離う自由人というワケだ！一緒にどっかいく？
モバP,今日は別にいいぞ、失踪しても
志希,ホントー？ならどっかいっちゃおーかなー？
飛鳥,いや、止めてくれよ？明日のレッスンまでに戻ってこないだろう、キミは
紗南,志希さんの失踪かぁ……重大な秘密を知っちゃったの？
志希,それはねー？スタドリの成
P,おいこらやめろ！洒落にならん！
飛鳥,事務所の深淵に触るのはマズい……志希、忘れるんだ。早く！
志希,でもなー、志希ちゃんギフテッドだし？忘れられなーい！
紗南,セーブデータの削除かー……いやいや、ここは上書きで！
飛鳥,何か手はあるのかい？
紗南,んーとね、ほら私のステージで申し訳ないけど、ゲーム！やろうよ！
志希,ゲームかー、しきちゃんあんまりやったことないにゃー
紗南,ならちょうどいいよ！飛鳥ちゃんって結構ゲームできる口だよね？
