モバＰ(以下Ｐ),なぁ幸子？
幸子,なんでしょうＰさん？カワイイボクに何か用ですか？
Ｐ,いやお前ってさ、学校でもそれなん？
幸子,それとは？
Ｐ,ボクが一番カワイイってヤツ。……いじめられてない？
幸子,心外な！ボクがそんなことになっているわけないじゃないですか！
輝子,さ、幸子ちゃんも……ボッチじゃないのか……？
幸子,違いますよ！ボクは毎日クラスメイトに囲まれて楽しいですから！。おはようございます！今日もボクはカワイイですね！
女子,おはようございますわ！このウツクシイワタクシが挨拶してあげてよ？
幸子,フフーン！今日もカワイイボクに出会えてみんなはなんて幸せなんでしょうね？
女子,フフフ、ウツクシイワタクシには可憐なものが集まるのは道理だと思わないかしら！？
男子,おはよう幸子！今日もカッコイイオレサマが挨拶してやったぞ！感謝しろ！
男子２,おいおい、恩の押し付けはダンディじゃねぇぜ……？おはよう、幸子。今日もカワイイじゃねぇか
男子,ハーッハッハ！そうだな！カッコイイオレサマも認めてやろう！
幸子,ありがとうございます！皆さんもウツクシイしカッコイイしダンディですよ！
カッコイイ,幸子！今日の小テストの準備はできたか？このオレサマがカッコヨク講義してやろうか？
女子２,無用、幸子ちゃんにはこの一番インテリなアタシが教えるの
ダンディ,ダンディには程遠いが……アレも男を見せてぇんだ。インテリ、譲ってやってくれねぇか
ウツクシイ,何をおっしゃいます！このウツクシイワタクシを抜きに話を進めないでくださいまし！
男子３,ならワタシを外してもらっては困る！この！ハンサムな……ワタシを！
女子２,ここで口論は時間の無駄とインテリな私は推察する
幸子,そうですね！ここはみんなで仲良くカワイイボクと一緒に勉強しましょう！
インテリ,あはは、さすが幸子ちゃん、解いてるさまもカワイイ
幸子,フフーン！メガネを持ち上げるその仕草！実にインテリですよ！？
ウツクシイ,ぐぬぬ……ですがこのウツクシイワタクシに解けない問などありませんわ！
女子３,そうだね、その様も美しいよ。クールなウチが認めてあげる。頑張って
ダンディ,おいおい、お前の指が一番動いてねぇじゃねぇか。ダンディなオレに、頼ってみるかい？
ハンサム,いらない！この苦悩する姿もまたハンサムなのだから……！
カッコイイ,なんで難題もズバッと即解ける。さすがオレサマカッコイイ！
女教師,席につけー自分の授業を聞かない奴は帰れよー
幸子,おはようございます先生！今日はカワイイボクが日直ですよ！
女教師,輿水か、なら安心だな。まぁ自分の方がカワイイけどな！
クール,先生、プリント纏めておきました。お願いします
女教師,さすが、私の次にクールなだけあるな、仕事が早い
ハンサム,すまない先生……プリントに空きができてしまったんだ。このワタシのハンサムさに免じて
女教師,その言葉は先生よりもハンサムになってから言うことだ。宿題増やしておくからね
カッコイイ,その点カッコイイオレサマは完璧に終わらせたぞ！さすがオレサマだ！
女教師,ま、そのプリントを創造った自分が一番カッコイイんだけどね？
幸子,フフーン！ボクと張り合おうなんて先生も勇気がありますね！
ハンサム,ＨＡＨＡＨＡＨＡ！ハンサムに先頭を走りぬけるワタシ！
インテリ,アタシは専門外……でも……ペースは……インテリなアタシなら……完璧に……
幸子,頑張ってくださいインテリさん！カワイイボクが応援してますから！
ウツクシイ,さすがアイドルですわね幸子さん！走っている様もウツクシイワタクシと同じようにカワイイですわ！
幸子,フフーン！運動はこのカワイイボクにかかればお手の物ですからね！
体育教師,余裕か輿水ー！ならワシのようにワイルドになるためにもう２周追加するかー？
カッコイイ,何だと！？幸子にカッコイイことなどさせるものか！このカッコイイオレサマが走ってくる！
クール,君だけにクールなマネはさせられないな。ウチも付き合うよ
ダンディ,二人だけで盛り上がるなよ。俺も混ぜな。ダンディに決めてやるぜ
幸子,皆さん！カワイイボクに合わせなくてもいいんですよ？
体育教師,よーしお前ら、ワイルドなワシについてこい！！
幸子,ふぅ……今日も授業が終わりましたね！みなさん今日も最高にカワイイボクを堪能できましたか？
カッコイイ,ハーッハハハ！そうとも！幸子の可愛さを讃えるオレサマはキング！オブ！カッコイイ！だろ！？
ウツクシイ,フフフ、そうですとも！輝くものを賛美するのはこの一番ウツクシイワタクシですわ！
インテリ,同意する。人の輝きは脳を刺激する。アタシがインテリの頂点に立つのに必要
ダンディ,気を張る必要なんてねぇさ。お前がインテリなのはこのベストダンディなオレだけでも認めてやるよ
クール,キミも素直じゃないね。まぁクールオブクールを名乗る以上話したりはしないけどね？
ハンサム,ＨＡＨＡＨＡ！クールなのはいいけど、ワタシの完璧なハンサムから目をそらすのはよくないなぁ？
幸子,安心してください？ハンサムさはみんなわかってますから！このカワイイボクが保障します！
女教師,まぁ…………ナンバーワンは自分なんですけどね！？
体育教師,威勢のいいことだ！ワシのようなワイルドになるには鍛えねばな！
幸子,みたいな感じです！
Ｐ,……なんだこの個性の塊？
輝子,す、すごい……幸子ちゃんがいっぱい……
幸子,フフーン！当たり前です！カワイイボクが通う学校なんですから！
P,なんつーか他にもいろいろいそうな学校だなおい……
