大石泉,こんにちは、秋休み子ども科学電話相談、司会と進行の大石泉です。慣れない役割だけど……全力で頑張ります。私にも答えられるものがあれば答えたいな。2人とも、よろしくお願いします
一ノ瀬志希,どーもー。今日の目標は”最後までスタジオにいること！”一ノ瀬志希だよ〜
池袋晶葉,世話になる。今日の目標は”最後まで志希を逃さない”池袋晶葉だ。よろしく
泉,いや……ほんと……お願いね？
志希,ヘーキヘーキ♪子どもの発想とか着眼点ってすごいし？シキちゃんもきっと最後まで飽きないって〜
泉,それならいいんですけど……
晶葉,ともあれ泉。説明を頼む
泉,えっと、この番組は、みんなが日常で感じた何気ない疑問を電話で募集して、スタジオにいるメンバーが解説をしていくものになります
志希,”科学”ってなってるけど、実際はなーんでもオッケー！ぜひぜひ疑問も質問もあたしたちにぶつけてくれたまえ〜
晶葉,まぁ、実際にやってみるのが早いだろう
泉,うん、そうだね。じゃあデモンストレーションもかねて、最初の相談にいってみようか
志希,いってみよ〜
泉,最初の相談者は、ユキちゃんです。こんにちは〜。それでは相談をどうぞ！。……
志希,……
晶葉,……。ユキちゃんって……
泉,いたずら電話だったみたいですね
晶葉,いや明らかに
泉,いたずら電話だったみたいですね
晶葉,だから聞き覚えが
泉,いたずら電話だったみたいですね
晶葉,わかった！わかったから！
志希,泉ちゃん、小さい子向けにちゃーんと柔らかい口調だったのにね〜
泉,つ、次にいきましょう！今度こそ……！
晶葉,先行き不安だな……
泉,続いての相談は、ニナちゃんからです。こんにちは
晶葉,また聞き覚えのある名前だが……。いや隠す努力をしてくれ
泉,では早速だけど、相談をどうぞ
晶葉,普通に事務所って言う
志希,ほうほう
泉,なるほど……ニナちゃんの質問は、虹の形についてだね
志希,答えちゃっていーい？
泉,頼もしいですね。では志希さん、お願いします
志希,おっけー♪もしもし〜？。まずねー、ニナちゃんの質問、実はすっごく頭がいいんだよ？。だってニナちゃん、”上の方しか”って、言ったよね？つまり、虹は見えているアーチみたいな部分が全部じゃなくて、円の上の方だけ見えているって、直感でもわかってるんだもん。すごいすごい！。その上で丸く見えない理由を言うと、まず虹が出るのはどんな時？。ひゃくてーん♪空気中に水滴がある時なんだけど、じゃあ虹の端っこには何があった？。ほんと〜？何もないとこで虹が消えちゃってた？。ふむふむ、つまり、それが理由なんだよねぇ
晶葉,……いや志希喋るの上手いな！？
志希,もー、こっからがヤマなんだから水を差すのはダメだよハカセ？
晶葉,誰がハカセだ。いや、もっと適当に答えるものだと……
志希,偏見だにゃー？泉ちゃんはそんなこと思ってないよね？
泉,………………もちろんです
志希,沈黙は誰よりも雄弁に語るねえ。おっと、ごめんごめん。つまり、建物とか、地上が邪魔で、水滴が存在できないのだ！
晶葉,発想が怖いんだよ
泉,ぶっこわすとか誰が教えてるんだろ……
志希,うんうん♪やっぱりニナちゃんはかしこいねえ？そうやって邪魔するモノを全部排除すれば、確かに丸い虹は発生するけど……流石に地面は無理かな
泉,あ、聞いたことあるかも。確かすごい高いところから丸い虹が撮影できたって。高層タワーの建築中とかだったかな？
志希,つまり、幸子ちゃんみたいにスカイダイビングのお仕事とかをすれば、見れるかもね？
晶葉,また無責任なことを……
泉,まあ、本人が喜んでるなら……
志希,ホントは、なんで虹は丸いのかーとか、直線にならないのかーとか、そういうのまで教えたいとこなんだけど……球になってる水滴内で光が反射する角度の色による違いとか、プリズムのあれこれとか、太陽と観測者の位置関係によってある角度の位置からしか虹が見えないとか、だいたい42度とかだっけ？忘れちゃったけど、ま〜、めんどいからまた今度！ファンタジーなのだよファンタジー！
泉,急に適当に……
晶葉,どうだ、仁奈……じゃなかった、ニナちゃん。謎はとけたか？
泉,じゃあ、電話は切らせてもらうよ。それじゃあ
志希,泉ちゃーん？もっと可愛く切ってあげなきゃだよ〜？
泉,えっ……？
志希,もっとこう、Eテレのお姉さんみたいに！
泉,そ、そういうのはキャラではないので……
晶葉,いや、志希の言う通りだ。愛想がよくないと子供も懐かないぞ？
泉,あ、晶葉まで……
志希,ほらほら♪
晶葉,ほらほら
泉,く……え、ええと……
志希,わくわく♪
泉,に、ニナちゃんっ！今日はありがとー！それじゃあ切るね！まったね〜♪
志希,もう電話切れてるね
泉,なんなの！？
晶葉,撮れ高ひとつってとこだな
泉,恨むよ2人とも……
志希,それじゃあ次、いっちゃおー！
泉,進行役まで取られてるっ！。じゃあ次のお電話は……もしもし？チエちゃんですか？こんにちは。ふふっ、緊張しなくても大丈夫だよ
晶葉,身内しかいないからな
泉,じゃあ相談をどうぞ。うんうん。なるほど。ただでさえ難しい二足歩行でのバランスを、動くウサちゃんロボはどうやって取っているのか。って話だね
志希,これは晶葉ちゃんだね〜おやすみ〜
泉,寝ないで
晶葉,ふむ……まあ、極論を言ってしまえば、人間と同じだな。例えば、我々が片足で立ってバランス感覚を鍛えるとしよう。じきにバランスが崩れてきて、前後左右のどこかへ重心が傾いてしまう
泉,電話先でやってみたのかな……かわいい……
