的場梨沙,む～
橘ありす,これは・・・
櫻井桃華,困りましたわね・・・
３人,迷子になった・・・
ありす,だいたい梨沙さんがあっちこっち動き回るから・・・
梨沙,え～アタシのせい～？
桃華,電話にも出ない・・・Pちゃまってば携帯を事務所に置きっぱなしにしているようですわね・・・
ありす,落ち着いてください、こういう時こそネットで情報を・・・あれ？
桃華,どうしましたの？
ありす,タブレットどこかに置いてきちゃいました・・・
梨沙,
さっちゃん,おーい！
結衣,どしたのさっちゃん？
さっちゃん,大発見した
結衣,何を？
さっちゃん,じゃじゃーん！何かの画面ー！！！
結衣,何じゃそりゃ
さっちゃん,これってあれじゃね？今流行りのスイッチって奴じゃね？
琴葉,・・・違う、これはゲーム機じゃない
さっちゃん,え、そうなの？
琴葉,これはタブレットっていう端末の一種
結衣,端末？
琴葉,要するに持ち運べるパソコンみたいなもの
さっちゃん,おお！ハイテク機器！
結衣,そんなすごい物なら落とした人困ってるんじゃない？
さっちゃん,あ、そっか！って事は・・・
結衣,困っている人を助ける、私達カラーズの出番だね
さっちゃん,それじゃレッツゴー！
琴葉,で、どうするの？
結衣,とりあえず落し物は交番じゃない？
さっちゃん,じゃあ斎藤の所だな、あいつもたまには役立ってくれるといいけど
桃華,それで、これからどうするんですの？
ありす,ここはセオリー通り交番に相談しに行くべきでしょう
梨沙,決まりだね、それじゃレッツゴー！
さっちゃん,おーい斎藤いるか～
斎藤,おーいるぞクソガキ共、何の用だ？
結衣,実は落し物が・・・
斎藤,ほう、お前らにしちゃ珍しく世間様の役に立ってるじゃないか
琴葉,どういう意味だコラ、頭踏んずけるぞ
斎藤,タブレットか、落とした奴困ってるだろうな・・・
さっちゃん,なぁ斎藤、これどうやって使うんだ？
斎藤,さぁな、おやじなら知ってるんじゃないか？
さっちゃん,そうか、じゃあ見せてくる！
結衣,あ、待って！
斎藤,あ、おい！
琴葉,・・・じゃあな役立たず
斎藤,嫌な捨て台詞吐くんじゃねぇ！。ったく・・・
桃華,あの～
斎藤,ん？
梨沙,こんにちはお巡りさん！
ありす,落とし物でこのくらいのタブレット届いていないでしょうか・・・
斎藤,おい、それって・・・
さっちゃん,おっすおやじー！
おやじ,おうカラーズちゃん達！
結衣,こんにちは
琴葉,・・・・・
おやじ,で今日は何だ？事件か？
さっちゃん,実はこんなの拾ってさー
おやじ,ほう、タブレットか
さっちゃん,これどーやって使うの？
結衣,ちょ、ちょっと・・・
おやじ,これはこうやってだな・・・
琴葉,あらら・・・
さっちゃん,パスワード？
おやじ,ここに文字を打ち込まないと使えないらしいな
さっちゃん,マジか！ハイテクだな！でその文字って？
おやじ,知らん
さっちゃん,知らないかー
琴葉,・・・・・
結衣,琴ちゃん？
琴葉,こういうのは適当にやってればいつかは正解に辿り着く
さっちゃん,おー！
おやじ,一体何年かかんだよ
結衣,ちょ、ちょっと人のだよ、勝手に・・・
梨沙,ホエールファクトリー・・・おまわりさんが言ってた店だね！
桃華,何やら子供が集まってますわね
ありす,あれって・・・。それ・・・私の・・・
さっちゃん,ほえ？
結衣,誰だろあの子達・・・
梨沙,交番のお巡りさんにこの店の場所聞いてここまで来たんだよ！
琴葉,斎藤め・・・珍しく仕事しやがって・・・
さっちゃん,これお前のだったか～子供なのにすごいな！ほれ、もうなくすんじゃないぞ！
ありす,ありがとうございます・・・とゆうか今今中見ようとしませんでした？
桃華,ところであなた達は・・・
結衣,私達は・・・
琴葉,この上野の町の平和を守る・・・
さっちゃん,カラーズなのだー！！！
桃華,カラーズ？
ありす,ああ、あれですか、俗に言うヒーローごっこって奴ですね
梨沙,あはははは！！！面白ーい！！！
さっちゃん,なんだとーお前の服だって面白いぞ！猫みたいだ！
梨沙,ちがーう！これは豹！セクシーでしょ？
琴葉,ケバい
梨沙,ぐぬぬ・・・
結衣,ま、まぁまぁ・・・
桃華,自己紹介が遅れましたわね、わたくしは櫻井桃華と申しますわ
結衣,おお、お嬢様みたい・・・
琴葉,漫画じゃなくてもこういう喋り方する人いるんだ・・・
ありす,私は・・・橘です
さっちゃん,ダディバナさん？
ありす,タチバナです！
梨沙,ありすちゃんって呼んであげてね
結衣,おとぎ話みたいな響き・・・かわいい
ありす,もう・・・やめてください///
梨沙,そしてアタシが的場梨沙！3人合わせて・・・
３人,ももぺあべりー！！！
結衣,おお・・・
琴葉,決めポーズまであるとは・・・
さっちゃん,これはもしやライバル出現か！？
ありす,って、なんでこんな所でポーズとらなきゃいけないんですか！
梨沙,いや、ついノリで・・・
桃華,っと、こんなことしてる場合じゃありませんわ！Pちゃまを探さないと・・・
さっちゃん,Pちゃま？
結衣,可愛い名前・・・
ありす,あ、えっと私たちの保護者みたいな人・・・です
さっちゃん,つまり、そいつを探してるわけだな！
ありす,え、まぁそうですけど・・・
さっちゃん,よーし！ここはカラーズの出番ってわけだな！
桃華,はい？
結衣,言ったでしょ、私達は人々の平和を守るカラーズだって
琴葉,Pとかいう奴を探すの手伝ってやるって事
梨沙,ホント！？
さっちゃん,まぁここ上野は私らの庭みたいなもんだからね
桃華,それは心強いですわね
さっちゃん,それじゃレッツゴー！
結衣・琴葉,おー！！！
ありす,大丈夫でしょうか・・・
さっちゃん,で、そのPって奴の特徴は？
梨沙,えっと・・・スーツを着てる？
さっちゃん,それだけかー
ありす,他に特徴のない御方なので
結衣,こういう時は・・・やっぱり人に聞く？
さっちゃん,そーだなー
琴葉,時間かかりそうだけどね
桃華,何だか不安になってきましたわ・・・
ののか,あれ、カラーズちゃん達
さっちゃん,あ、ののかだ
ありす,女子高生とも知り合い・・・顔が広いですね
ののか,あれ？今日は人数多くない？
結衣,迷子なんだって、今保護者さん探してるんだ
ののか,そーなんだー
さっちゃん,これはレベル３クラスの事件だ！ののかも協力してくれ！
ののか,はいはい
梨沙,３って高いのかな・・・
結衣,それで、スーツ着た男の人見なかった？
ののか,アバウトだなー、そんな人今日だけで１０人はすれ違ってるよ
琴葉,・・・使えない
ののか,ヒドくない！？
ありす,すみません、なにぶん特徴のない方なので・・・
ののか,あっそう・・・まぁ気になることがあったら伝えるよ
