星輝子,フフフ……
輝子,ここは暗くてジメジメして気持ちいい……キノコ達も喜んでる……。私とキノコだけの楽園……キノコの王国……。後はもう一人の入国で完成……。……けど、遅いぞ親友
龍崎薫,しょうこお姉ちゃん、何してるのー？
輝子,フヒッ！？
薫,どうしたのつくえの下に隠れて……あっ！かくれんぼしてるのっ？
輝子,ち、違うけど違わない
薫,お姉ちゃん！かおるもはいっていいですか！
輝子,構わない……まだスペースならある……
薫,わーい♪それじゃあおじゃましまー！
輝子,ゆっくりしていってね……フヒヒ
大西由里子,ハァハァ……どこか逃げこむところは……あっ、いいとこみっけ！ていっ！
薫,わっ！？
由里子,あれ？薫ちゃん……に輝子ちゃん、何してんの？
薫,かくれんぼ！
輝子,キ、キノコ栽培……
由里子,？？よくわかんないけど、今プロデューサーから逃げてる途中だから、あたしもちょっと隠れさせてもらうじぇー！
薫,ゆりこお姉ちゃんもかくれんぼだねっ！
輝子,こんなところに入ったら逆に見つかる気がする……。お、お隣さんが二人だと、流石に狭い……
薫,なんだかひみつきちみたい！
由里子,机の下で密集……男同士のこんなシチュでの新刊が出たら……ウヘヘ
薫,ゆりこおねえちゃん、どうして男の人どうしだとよだれが出るの？
由里子,それはねぇ……いや、薫ちゃんにはまだ早いか。あと10年くらいしたらもっかい聞きにきてっ！
輝子,ひ、引きずり込むのはよくない……フヒ
由里子,いやいや、女とキノコは腐ってから味が出るってよく言うじぇ！
輝子,ヒャッハァー！！聞いたことねぇ！！
薫,あじ？かおるもおいしくなれる？でもくさっちゃうのはやだな……
輝子,大丈夫……今のままの薫ちゃんで十分に良い味が出ている……
由里子,一歩間違えると危ない人っぽく聞こえる言葉だねぇ
千川ちひろ,プロデューサーさん。由里子ちゃんは見つかりましたか？
P,居たには居たんですが……見てくださいよ、ここ
ちひろ,どれどれ……あら
P,三人して気持ちよさそうに眠りこけてくれちゃって
ちひろ,ふふっ、でも寄り添い合って眠るなんて、姉妹みたいでなんだか微笑ましいじゃないですか
P,これじゃあ怒るに怒れませんよ……まぁ関係あるのは由里子だけですけど
氏家むつみ,渚さん、私と大海原に冒険にでかけましょう！
愛野渚,えーっと、どうして私？
むつみ,キャプテンといえば渚さんだからです
渚,むつみちゃんの思い描くキャプテンと私のキャプテンは違うと思うなぁ
むつみ,そんなことはありません。皆を率いるリーダーシップ、そして明朗快活なその性格……。まさしくキャプテンにふさわしいと思います！
渚,ま、真正面からそこまで言われたらなんだか照れちゃうねッ。ところで向かうのは私とむつみちゃんだけ？
むつみ,いえ、実はもう一人の方に同行を頼んでいます。どうぞ！
西島櫂,やっ
渚,櫂先輩！……って、どォしたんですかその大荷物
櫂,冒険には色々と準備が必要だからね～
むつみ,泳ぎの得意な人と言えば櫂さんですからね
櫂,二人がピンチの時はあたしが即座に飛び込んで救ってあげるよ！
むつみ,頼りにしています！。この三人でなら、どんな海にも立ち向かっていける気がします……！
櫂,むつみちゃんの期待に添えるように、全力を尽くすよ！
渚,それじゃあ、行こうかァ！
むつみ,はいっ！！
渚,到着ッ。照りつける日差しが気持ちいいねッ！
むつみ,まさに絶好の海水浴日和ですね！
渚,それにしても色々な遊び道具を持ってきてるなァ、櫂先輩
櫂,スイカとか木刀とかバナナボート……これはナターリアに借りたんだけど色々ねー。あ、こっちのビーチボールに空気入れてもらえる？
渚,了解ッ！
むつみ,渚さーん！櫂さーん！二人も早く泳ぎましょう！
櫂,波打ち際ではしゃぐむつみちゃん……良い画だね
渚,準備OKッ。私たちも行きましょう櫂先輩！
櫂,よーし、あたしの華麗な泳ぎ見せてあげるよ！
渚,じゃあ……砂浜に残していこうか、私たちの足跡ッ！
城ヶ崎美嘉,いやー今日は絶好のプール日和だねっ！
美嘉,水着も新しく買っちゃったし、これは皆の視線を独り占めしちゃうかも？なーんて★。そ、その声は！。くっ……まさか沙理奈さんが居たなんて想定外っ
松本沙理奈,……勝ったっ
美嘉,……ところで、沙理奈さんは一人でプールに来たの？
沙理奈,ううん、楓さんと一緒なんだけど着くなりどこかにいっちゃたのよね
美嘉,とりあえず楓さんを探しに行ってみよっか。楓さんいないなぁ……あれ？
沙理奈,どうしたの美嘉ちゃん
美嘉,もしかして、あの浮き輪に座ってる人……楓さんじゃない？
沙理奈,えっどこどこ？
美嘉,ほら、あそこでくるくる回りながら流れてる人
沙理奈,んー？。楓さん、流れるプールにいたんだ
高垣楓,ふふふっ、二人も一緒に流れてみない？
美嘉,せっかくだけど遠慮しとこうかなぁ……あっ。……楓さん、二周目入っちゃったね
沙理奈,……入っちゃったわねぇ
美嘉,とりあえずアタシ達も泳ごっか★
沙理奈,よし、泳ご泳ごっ☆
美嘉,さっきは遅れをとったけど、泳ぎはアタシの勝ちだよっ！
沙理奈,いやー負けちゃったわー胸が大きくて抵抗があるから負けちゃったわ－
美嘉,ア、アタシだってちっちゃくないもん！
沙理奈,熱中してすっかり忘れてたけど、楓さんはまだ流れてるのかな？
美嘉,一度戻ってみよっか……あれ？
沙理奈,どうしたの美嘉ちゃん
美嘉,えっと、もしかしてあの飛び込み台にいる人って楓さんじゃない？
沙理奈,えっどこどこ？
美嘉,ほら、あそこで下を覗きこんでる人
沙理奈,……あー、確かに楓さんね
美嘉,飛び込むのかな？
沙理奈,どうかしらねぇ
美嘉,……
沙理奈,……
美嘉,……あっ階段降りてきた
楓,想像以上に高さがあったの……
沙理奈,おーよしよし怖かったわねー楓ちゃん
楓,もう、沙理奈ちゃん。私の方がお姉さんなんだから子供扱いしないで
沙理奈,こんなにかわいい仕草が似合う人を子供扱いするなって言われてもね～
美嘉,楓さんがアグレッシブに飛び込む姿……ちょっと見てみたかったかも★
楓,まだ恐怖で手足が震えて歩けないの……だから美嘉ちゃん、おんぶをお願い
美嘉,ア、アタシ！？沙理奈さんの方がいいんじゃない？
楓,美嘉ちゃん……
美嘉,うぅ……そんな子犬のような目付きで見られてもアタシ、アタシ……
沙理奈,美嘉ちゃん！皆の視線を独り占めしてるねっ☆
美嘉,この注目は……なんか違う気がする……
楓,……zzz
本田未央,突然ですが問題！パンはパンでも食べられないパンはなーんだ？
大原みちる,食べられないパンなんてありません！
未央,正解は……ってみちるちゃん！そこは今時そんなベタな問題かい！って言ってくれないと困るなぁ～
みちる,ベタな問題？それって有名な問題なんですか？
未央,えっ、まぁ有名……有名なのかな？
みちる,ちなみに正解は？
未央,えっと、フライパン
みちる,そういう問題だったんですか……フランスパンなら食べられたのに
未央,ちゃんとしたパンでも腐ってたら食べられないけどね
みちる,そうですか？
未央,いや食べられないよ！まさか食べるのみちるちゃん！？
みちる,冗談です。流石のあたしも腐ったパンはちょっと……毒状態になっちゃいますからね
未央,毒状態？。突然ですが問題！パンはパンでも食べられないパンはなーんだ？
成宮由愛,えっと……固形絵具……でしょうか
未央,……私が問題出しておいて悪いんだけど、それってどんなの？
由愛,半乾きの固形水彩絵具のことです……知りませんか？
未央,んー……何となく見覚えがあるかも。絵が好きな由愛ちゃんらしい答えだね！
由愛,もしかして……答えは違うんですか？
未央,本当はフライパンって言おうと思ったけど、由愛ちゃんの答えの方が面白いからそっちにしよう！
由愛,わわ……ありがとうござい、ます？
未央,いやいや、どーもどーも！……って私たちなんでお礼しあってるんだろう？
由愛,どうしてでしょう……ふふっ
未央,えへへっ。美味しいものを食べながら友と語らいあう……優雅で幸せな時間だねぇ♪
みちる,フゴフゴ！！フゴフガガガ！！
未央,いやー優雅ではなかったねぇ
由愛,でも、幸せそうなのは間違いない……ですね
未央,なんたって自分の好きなことだからね。そういう由愛くんも幸せそうだよキミィ？
由愛,好きなこと……ですから♪
未央,うむうむ。自分の好きなことをはっきりと言えるのは良い事だね！
由愛,そう言えば……未央さんの好きな事は……？
未央,私？私の好きなことはね、友達を沢山作ること！色々な人と仲良くなると、色々な事ができて楽しいよね！。今もこうしてみちるちゃんとパンを食べたり、由愛ちゃんの素敵な絵のモデルにしてもらえたりできて、すっごく楽しい！
由愛,み、未央さんの期待に添えるよう……頑張ります……！
未央,おぉー♪それじゃあ、気合の入った絵をよろしくぅ！
みちる,あ、由愛ちゃん！私よりもパンの方を丁寧に描いてくれる？
由愛,えぇっ……？
未央,そっちがメインなの！？
和久井留美,……
輿水幸子,……
相原雪乃,お二人とも、紅茶が入りましたよ
留美,あら、ありがとう雪乃ちゃん
幸子,……ふぅ、そろそろ休憩にしましょう
雪乃,長時間集中していましたからね。体の疲れを癒してください
留美,……うん、美味しい。雪乃ちゃんの紅茶を飲むと疲れなんて吹き飛んでしまうわ
幸子,この香り高く優雅な味わい……カワイイボクにふさわしいですね！
雪乃,ふふっ♪お褒めに預かり光栄ですわ
留美,それにしても幸子ちゃん、丁寧で綺麗な字ね
雪乃,本当にいつ見ても美しい字ですわ。育ちの良さが字に表れているようです
留美,その年齢でよくそこまで達筆になれたわね
幸子,なんて言ったってこのボクですから！
留美,この台詞で割と納得できるというのが幸子ちゃんの凄いところね……
雪乃,確かに謎の説得力がありますね……
幸子,二人ともどうしたんですか？
雪乃,いえ、改めて幸子ちゃんの魅力について語っていたんですよ
幸子,そうでしょうそうでしょう！ボクのカワイさは地上で一番ですからね！
留美,地上で一番のかわいさ……？それは猫よりも上なのかしら？
幸子,ひっ……めめめ目が怖いでです和わわ久井さん！
雪乃,あ、あらあらまぁまぁ……ひとまず紅茶のおかわりで落つついて……
留美,……冗談よ。元々こういう目付きだし、雪乃ちゃんはまず貴女が落ち着いて
雪乃,お、お恥ずかしい……
幸子,ほ、本当に怒っていないんですね……？
留美,私、そんなに怒りそうに見えるのかしら……ちょっとショックね
幸子,そ、そんなことありませんわよ和久井しゃん！
留美,ﾝｯﾌ……そ、そういってもらえ、ﾝｯると助かるわ……ﾌﾌｯ
幸子,よかった……和久井さんに許してもらえて！。さぁ、気を取り直して新しい紅茶をお願いします雪乃さん！
雪乃,い、今入れますわ
幸子,どうしたんですか？手が震えてますけど……
柳瀬美由紀,キラキラ輝くかわいい衣装で、みゆき嬉しいな♪
神谷奈緒,こ、この歳でこういう格好はちょっと照れるな……
日野茜,大丈夫です奈緒ちゃん！！！とっっても似合っていますよ！！！
奈緒,お世辞でも気が楽になるよ茜。しかし衣装もだけど今度のは合同LIVEってのも緊張するな……
美由紀,765プロの高槻やよいさんと北上麗花さん……みゆきは会うの初めて！
茜,私も同じですっ！！仲良くなれるといいですね！！
奈緒,まぁ、本番までまだまだ時間があるからさ。うんと深めた絆で良いLIVEにしよう！
茜,打ち合わせも終わりましたし、今日はどうしましょうかっ！！
奈緒,うーん、美由紀ちゃんは何かやりたい事はない？
美由紀,みゆき、奈緒さんと茜さんといっしょに遊べたらなんでも楽しいと思うな！
茜,！！！
奈緒,美由紀ちゃん……なんてええ子や……
茜,う、うううう～～
美由紀,どうしたの茜さん……お腹いたいの？
茜,ボンバ―――――――っ！！！
奈緒,ちょっ茜ってうわわああああああーーっ！！？
美由紀,あっ！……行っちゃった
奈緒,きゅ、急に走りだしてどうしたの茜……というか襟掴まれるのは流石に痛い
茜,ど、どど、どうしましょう奈緒ちゃん！！な、なんだか胸がドキドキしてきました！！！風邪？風邪でしょうか！？
奈緒,あー……多分アレ。美由紀ちゃんの言にほっこりしたんじゃない？アタシもちょっとうるって来そうだった
茜,ほっこり……このさんさんとした太陽に照らされた様な暖かな気持ち……これがほっこり……？
奈緒,茜が感情を初めて知った人工生命体みたいになってる
茜,こうしちゃいられません！！すぐに美由紀ちゃんの元に戻りましょう！！！
奈緒,ハァ、だから、走るの早いって……ってえぇ！？
茜,うおぉぉぉぉ！！！なでなでさせてください美由紀ちゃん！！！！
