藤居朋,２人とも、おはよー
緒方智絵里,あ、朋さん。おはようございますっ
白菊ほたる,おはようございます
朋,あれ？それ、企画書？もしかして新しいお仕事？
智絵里,はいっ！そうなんです
ほたる,私たちに、一日警察署長のお仕事がきたんですよ
朋,へぇ～！あの芸能人とかアイドルがよくやってるやつ！……って、あたしたちもアイドルだったっけ
智絵里,そうですっ！一日だけ、国家のイヌに成り下がるお仕事ですね！
朋,智絵里ちゃんは警察に恨みでもあるの？。えっと、その日の流れはどんな感じ？
ほたる,はい、まず、午前は交通安全キャンペーンの講演をします
朋,うんうん
智絵里,轢かれる前に轢きましょう
朋,安全どこいったの
ほたる,午後は近くの学校で、詐欺被害撲滅運動の講演です
智絵里,逆に詐欺師から騙しとるくらいの気持ちでねっ
朋,もはや発想が捕まる側じゃない！
ほたる,その後、夕方まで近所のパトロールをして終わりですね
智絵里,何人捕まえられるかな？
朋,そんな虫取りみたいな感覚で！？。と、とにかく、やるからには頑張らなきゃね！
ほたる,はい……！あ、でも、やはりボランティア的側面が強いお仕事なので、ギャラは気持ち程度みたいですね
朋,そうなの？あたしは全然気にしないけどな
智絵里,……
朋,……え？
智絵里,……
ほたる,……
智絵里,……
朋,……
智絵里,……大事なのは“気持ち”ですっ！お金なんて二の次ですよね！
朋,じゃあ今の間は！？
ほたる,あと、当日はテレビクルーの方や雑誌記者の方もいらっしゃるみたいですね
朋,おお……！でも、そろそろ慣れなきゃね……
ほたる,いつも通りの朋さんで大丈夫ですよ
智絵里,そうですよ！わたしたちもいつも通り頑張りますから！
朋,それが一番不安なんだけどな
ほたる,必ず、生きて帰りましょうね！
朋,あたしの知ってる警察署長はそんなに過酷じゃないはずなんだけど！？。はいはい……。あ！そっか！婦警さんの恰好なんだっけ！
ほたる,ちょっと恥ずかしいけど……、せっかくの機会ですもんね
智絵里,早苗さんを思い出しますねっ。まあわたしたちじゃ束になっても早苗さんの胸には敵いませんけど……
朋,勝手にしゃべって勝手に沈むのやめて。はい！みなさんこんにちは～！
智絵里,今日はわたしたちと一緒に、交通安全についてお勉強しましょう！
ほたる,今回は、“歩行者”“自転車”“自動車”の3つの立場から、どんな危険があるのか確認していきます。短い間ですが、よろしくお願いしますね
朋,まずは自動車から！……といっても、あたしたちは免許を持ってないんだけどね
ほたる,でも、免許を持ってなくても、“かもしれない運転”っていう言葉は、みなさん、聞いたことがありますよね？
朋,うんうん！例えば、“子供がいきなり飛び出してくるかもしれない”とか！
ほたる,“植木鉢が降ってくるかもしれない”とか！
朋,それはほたるちゃんだけよ！？
智絵里,“事故を起こしてもお金を積めば揉み消せるかもしれない”とか！
朋,智絵里ちゃん！！！。ドライバーどころか人間としてアウトだけど！？
ほたる,“私が死んでも誰も悲しまないかもしれない”とか……
朋,急にどうしたの！？
智絵里,“豆腐屋の車が峠を攻めてくるかもしれない”とか
朋,だから何！？
ほたる,“今夜のおかずはハンバーグかもしれない”とか
朋,ほたるちゃん飽きてるでしょ！？
