※前作有吉,マツコさん戦車道やるの！？
杏,そ、こないだの試合の報告ついでにロビーで理事と世間話してたら戦車道の発展に一番大事なのは乗員の安全第一、それをどう実行するか。そしたらなんかたまたま居た超人委員会のハラボテさんツッコミ無用
みほ,確かに超人さんに試合の安全を管理してもらえれば安心です
桃,若手とはいえ正義超人でしたら濁流から戦車を引き上げたりするのも容易ですね
みほ,・・・はい
柚子,桃ちゃん！
桃,あれは西住自身にとっても危険な行為だった、話を避けるのではなく常に皆で考え続けるべきだ
杏,かーしま、熱くならない、それで富士演習場で試験的に試合をすることになったから。今から顔合わせと手続きしに行くから西住ちゃんも一緒にきてねー。つー訳で小山かーしま、あとヨロシクね～
柚子桃,わかりました世間話って理事とどれだけ馴染んでるんですか？
みほ,あっ、お姉ちゃん！
まほ,みほ、元気そうでなによりだ
みほ,うんお姉ちゃんも、逸見さんもお久しぶりです
エリカ,フン、早速試合の機会が来たわね。来年の大会の前に黒森峰の強さを再認識させてあげるわ
みほ,うんお手柔らかに
ケイ,Heyアンジー久しぶりネ
杏,やあ、おケイ
ケイ,みほは？一緒じゃないの？
杏,あっち、ジャマしちゃだめだよー
ケイ,うーん、しょうがないわネ
理事,招集した８校全て集まったようだね、早速だが本題に入る。先に伝えたとうり試合の安全管理を超人委員会に協力してもらうことになった。それぞれに担当する超人を割り振って明日試合をしてもらう
ハラボテ,しかしこちらに手違いがあって予定していた正義超人候補生はカレクックの指導の下インドの山奥で修行しておる。代わりに暇そうにしておったこいつ等を連れてきた
全員,！！
ハラボテ,ロビンマスク、代表で挨拶しんしゃい
ロビンマスク,初めましてお嬢さん方、悪行超人から人々を守るのが我々の本来の使命だが人々の日々の営みを守るこれも正義超人の務めと心得ている、よろしく頼む
理事,どうやって担当を決めましょうか？
ハラボテ,別室で協議しますかな
沙織,ここに来る正義超人候補生がイケメンだったらどうしよう
華,どうもしないのでは？
麻子,ブサイクでないにしても普通のモブ顔だろ
優花里,でもどんなタイプが来るのか興味はあります
桃,お前達、整備中だぞ口ではなく手を動かせ
沙織,でも桃ちゃん先輩だって気になるでしょ？
桃,桃ちゃんゆーな！・・・まあ気にならないこともないが
麻子,ほう、河嶋先輩の好み、聞かせてもらいたい
桃,な！そ、そんなものは無い！！
華,大洗戦車道隊の安全を任せるに相応しい方という意味ですよ
優花里,例えるとして有名な超人ならどの人がいいですか？
