モバP(以下P表記),ふぅ。もう一息か
P,うわ、こんな時間か。日付変わるまでには終わらせたいなぁ……
肇,お疲れ様です、Pさん
P,あれ、肇か？まだ残ってたのか
肇,はい。Pさんに少し、お話があったので
P,なにもこんなに遅くまで待たなくても……明日じゃダメだったのか？
肇,ダメというわけではなかったんですが……
P,まぁいい。もうこんな時間だし、寮まで送るから、もう少し待っててくれ
肇,すみません
P,気にするな
肇,……いつもこんな遅くまで、お仕事してるんですか？
P,いや、たまたまだよ。今日中に片付けたくてな
肇,あまり、無理はしないでくださいね？
P,やりたくてやってるからな、大丈夫だよ
肇,……お仕事だから、こんなに頑張るんですか？
P,大事な担当アイドルのためだから、頑張れるんだよ
肇,大事な、ですか
P,大事な、だ
肇,……そうですか♪
P,よし！終わったぞー！
肇,お疲れさまでした
P,おー、待たせて悪かったなー
肇,いえ、待つのは嫌いじゃありませんから
P,犬みたい
肇,あ、お茶、淹れてきたんです
P,お、さんきゅな。肇は気が利くなぁ
肇,いえ、そんな……
P,かわいい。あの、それで、ですね、Pさん。ん？どうした？
肇,私に、何か言うことはありませんか？
P,言うこと？
肇,はい
P,……あ、このお茶すごく美味しいです
肇,あ、わかりますか？実は、この間共演させていただいた先輩が、お茶の大好きな方で。淹れ方を教わったんです
P,ほー、どうりで。疲れた身体によく沁みるよ……
肇,気に入っていただけてよかったです
P,ありがとうな
肇,どういたしまして
P,かわいい
肇,ではなくてですね
P,あ、違うのか
肇,他に、何かありませんか？
P,他に、か
肇,はい
P,そういえば、次の新曲CD、出ることが決まったぞ
肇,本当ですか！？
P,あぁ。次はユニット曲になる
肇,……また歌えるんですね。今度は、みなさんと一緒に
P,忙しくなるぞ。頑張ろうな
肇,はい！。そうでもなくて
P,あれ、これも違うのか。ちひろさん辺りから聞いたのかと思った
肇,いえ、知りませんでしたし嬉しいんですけど、あの、そうではなく……
P,……わかったよ。誤魔化すのはやめだ
肇,！……そ、そうですか
P,……事務所の冷蔵庫に入ってたお前のハーゲンダッツを食べたのは俺だ
肇,えっ、食べちゃったんですか！？
P,あ、やっべ。バレてなかった
肇,明日のレッスン終わりにって楽しみにしてたのに……
P,……代わりを買って入れておくから許してくれ
肇,……3つで手を打ちましょう
P,多くない？
肇,………
P,わかったわかった、買ってくるから機嫌直してくれ
肇,わかればいいです。だからそうではなくて
P,だろうな。気づいてなかったもんな
肇,……もしかして、本当にわかりませんか？
P,……あー、わかったよ。降参だ。だからそんな落ち込むな
肇,……本当にわかってますか？
P,もちろん。大事なアイドルの誕生日を忘れるわけがない
肇,！
P,サプライズのつもりで色々準備してたからな。できる限りとぼけようと思ったんだが
肇,もう、わかっててからかってたんですね？
P,途中から楽しくなってな
肇,ひどいです
P,悪かったって
肇,じゃあ、改めて聞きますね？
P,おう
肇,Pさん、私に何か言うことはありませんか？
P,……誕生日、おめでとうな、肇
肇,ありがとうございます
P,まぁ、あれだ。一番に伝えられてよかったよ
肇,私も、一番にPさんに祝ってもらえて嬉しいです
P,えっと、今年でいくつに
肇,16です
P,えっ
肇,16です
P,あの
肇,ワタシハジューロクサイニナリマシタ
P,ｱｯ、ﾊｲ。ま、まぁ、今日は遅いし、そろそろ帰るか
肇,そうですね。すみません、こんな時間までお手間を取らせて
P,俺も楽しかったから気にするな
肇,ありがとうございます
P,明日はもっと楽しくなるぞ。みんな祝う気満々だからな
肇,本当ですか？楽しみです！
P,おし、じゃあ出るぞ。送ってくから車乗っとけ
肇,はい。お願いしますね。ねぇ、Pさん
P,ん？
肇,最後にもうひとつ、いいですか？
P,なんだ？
肇,16歳になった私に、何か言うことはありませんか？
P,…………それへの答えは、もう少し待ってもらえるか？
肇,ふふっ、もちろん、いいですよ。私、待つのは嫌いじゃありませんから
