本田未央,おつかれさま～。いやあ、最近冷えてきたね～
渋谷凛,み、未央？お、お疲れ様……！
未央,んん？しぶりん、何か今隠さなかった？
凛,そ、そんなことないけど？
未央,いやいや、じゃあその後ろに隠した右手を見せてよ
凛,ほ、本当に何も持ってないって！
未央,本当に～？
凛,も、もちろん！ウソだったら針千本飲ますよ！
未央,罰がこっちにくるのおかしくない？。まあ、見せたくないなら別にいいけど……
凛,……
未央,ーーと見せかけて！
凛,うわっ！？
未央,これは……ゲーム？
凛,……バレちゃったならしょうがないか
未央,しぶりん、ゲームとかやるんだね？意外かも……！
凛,まあ……たまには
未央,ふーん？あれ、しかもこれ……もしかして”ギャルゲー”っていうやつじゃない？
凛,……流石は未央だね
未央,いやいや、クラスの男子がやってるの見たことあるってくらいだよ
凛,私はその辺にいるクラスの男子と同レベルって言いたいんだね
未央,受け取り方が卑屈すぎるよ……。けっこう有名な作品なの？
凛,いや……有名ではないかな……？
未央,お？じゃあ隠れた名作ってやつ？
凛,そういうわけでもなくて……
未央,え？なんか要領を得ないというか……噛み合わないんだけど……
凛,だってこれ……卯月が作ったゲームだし……
未央,……そうきたか
凛,あれ？あまり驚いてないね？
未央,しまむーがやったことに驚かなくなった自分に驚いてるとこだよ。でも、どうして急にしまむーはゲームなんて作ったの？
凛,……さ、さあ？
未央,むむっ！しぶりんの目が泳いでるということは……しぶりんが頼んだの？
凛,ギクッ！
未央,このご時世、図星を突かれた時にわざわざ”ギクッ”って言ってくれるのはしぶりんくらいだよ
凛,ま、まあまあ、理由なんてなんでもいいでしょ？
未央,あ！わかった！
凛,！
未央,しぶりん、この前はみんなと仲良くなるためにあだ名を考えたりしてたし、今回もゲームで仲良くなる方法を学びたいとか考えたんじゃないの～？
凛,ふう……未央は本当にお見通しだね……
未央,ふふん！
凛,でも、”ゲームなんかに頼らずに現実で仲良くなれよコミュ障”までは言わなくてよくない？
未央,言ってないよ！？
凛,でもさ、なかなか上手くいかないんだよね……こういうゲーム、やったことないし
未央,まあ、けっこう難しそうだよねー
凛,あ、せっかくだから未央、お手本みせてくれないかな？
未央,わ、私？でも、私だってこういうゲームは初めてだし……
凛,でも、未央にはそのクソコミュ力があるでしょ？
未央,いちいち腹が立つ言い回しだよね
凛,何人の友達を泣かせてきたのか知らないけど、ゲームでも発揮できるんじゃないの？
未央,しぶりん、私をなんだと思ってるの？
凛,まあまあ、細かいことはいいからさ？
