闇の魔王,以下、魔王
火の四天王,以下、火王
水の四天王,以下、水王
風の四天王,以下、風王
魔王,――捨て置け。……と、命じておけば良いだろう。奴が戻っては、二人の時間が取りにくくなってしまう
水王,――魔王様の仰る通りですわ。そもそも、私はあの男が四天王である事が疑問でしたの。あの男は……ねぇ？。――品位というものが、欠けていますでしょう？。いやあああああ！！いやあああああ！！。一刻も早く、彼を探したいのに！！。……ああっ、昔の私はなんて愚かだったのかしら！。職場では仲が悪いフリを続けよう、なんて……どうして！
火王,――確かに、水の四天王の言う通りだ。奴は、四天王を名乗るには力も足りていなかった。ふん！居なくなって、清々した！。――真の強者しか、私は認めん。うわあああああ！！うわあああああ！！。浮気をしてしまって気まずいからと、何て事を！！。ででででも！強くなったら帰って来ると！。……どんな顔して会えば良いんだあああああ！！
風王,――僕の意見も、似たようなものかな。彼は、美しくなかった。上に立つ者として、相応しい容貌とは言えなかったからね。――ブ男が居ては、気分が盛り下がるよ。――さあ、考えろ考えろ考えろ！！。如何に彼を――地の四天王を切り捨てさせるか！。戻るべき場所を失った彼は、僕の元へ来るしかなくなる！。いや、いっそ二人で何処か遠くへ……あっ、良い！それ良い！
魔王,……ふむ。お前達の意見がここまで揃うとは、珍しいな
火王・水王・風王,……
魔王,奴が戻っても席が無いのならば……ふふっ！。――いっそ、余の小間使いでもさせるかな
火王・水王・風王,……。えっ！？
魔王,どうした？何を驚く事がある。……ふん、命拾いしたな。余の前で、奴を侮辱するなど……到底許せるものではない。――だが、今日の余は寛大だ。昨晩、奴の所へ赴きイチャコラして来たばかり……。奴でも、それ位は務まるであろう。――そして！。この案を通せば、二人の時間が増えると言うものよ！
水王,――まあ、そんな！。……魔王様、恐れながら申し上げます。あんな野蛮人に、小間使いが務まるはずがありませんわ。――ふふっ、お戯れも程々になさってくださいな。小間使いなんて出来るはずないわ！。彼は、全然気が利かないし、器用でも無いし！。だからこそ、誰かが支えてあげないと……！。……おはようから、おやすみなさいまで！
火王,――魔王様の側に仕えるなら、強くなくては。奴が、魔王様の戦いの邪魔になる事も有り得る。……例え、どこで何をしていようとも――。――奴が、その資格を持てるとは思えない。戻ってきたら、私と結婚するんだから！。強くなって帰ってきて、プロポーズを――。――された時……なんと言えば良い……？。お前以外の者に体を弄ばれ、喜んでしまっていたと！？
風王,――！。これは……好機！。――闇の魔王様。地の四天王が戻ったら、僕に預けて貰えませんか？
魔王,えっ？。ほう？
水王・火王・風王,えっ？
魔王,……。……ほう？。風の四天王よ、其方は何を考えている？。……申してみよ
水王,今……魔王様、えっ？
火王,今……魔王様、えっ？
風王,今……魔王様、えっ？。……。僕が、彼を教育します。……魔王様の側に仕えるに相応しい者に。教育期間は……彼が、僕のものになるまで！
魔王,……ふむ、成る程。其方ならば、属性の相性も良い。……躾をするには、適任という訳か。だが！それでは、余との時間が今よりも減ってしまう！。風の四天王の目を欺くのは、余とて容易ではない！。――いっそ、皆に余と奴の関係を告げるか！？。嗚呼、そうだ！そうすれば――
火王・水王,――お待ち下さい
魔王,……む？
風王,……！
水王,――教育係ならば、私にお任せを。主に仕えるとは、どういう事か……。この、水の四天王が教えて差し上げますわ。凄い……凄いわ、風の四天王！。教育係になれば、彼と二人っきりになり放題じゃない！。二人でお買い物に行って、ふ、夫婦と間違われたり……！。嗚呼、駄目よ！うむ！
魔王,……ふむ
火王,――いや、私にお任せください。奴は、武人として私が鍛え直してくれる。魔王様、その任……この、火の四天王に。けっ、こっ、けこっ、結婚前に！同棲期間が！。ぱ、パパ！孫の顔が見たい。いや、しかし私は……ああっ、うむ！。だが……う、生む！
魔王,……ふむ
風王,――何を言ってるんだい、君達
水王・風王,？
風王,水の四天王。君は、属性的に彼を抑えられないだろう？
水王,……確かに、そうですわね。相性は良いんですのよ！何のとは言えませんけれど！
風王,火の四天王
火王,何だ？
風王,……熱いから、翼をしまって貰えるかな？
火王,む……これはすまなかった。魔王様のお役に立てる喜びに、我が身の抑えがきかなんだ。あわっ！わ、わっわわっ！？
風王,――君は、なんだかんだで情に厚いからね。訓練ならばともかく、躾は向いていないと思うよ
火王,……確かに、お前の言う通りかも知れん。子供が出来たら……し、叱れない！甘やかしてしまう！
風王,闇の魔王様
魔王,……
風王,地の四天王の教育係は、僕にお任せください。ふふふ……ははははっ！やった！やったぞ！。……。地の四天王……君は、僕の物になる！。当然だろう？僕に、屈辱を味あわせたんだから！。ふふふ……！楽しみでしょうがないよ……！。地の四天王、君が僕に直に与えてくれる――。――辱めの数々が！。……！
水王・火王,くっ……！。風の四天王め……！
魔王,……。――其方達の申し出はわかった
水王・火王,っ！
風王,！。では――！
魔王,が、決めるのは今ではない。奴に――地の四天王に、選ばせようではないか。……誰の元へ行くかをな
水王・火王・風王,！
魔王,……ふふっ、己の運命を選ばせてやると言うのだ。これ程慈悲深い裁きはあるまい？
水王,……成る程、さすがは魔王様。やりましたわ――っ！私、とっても有利じゃないの！
火王,……寛大なご処置を賜るとは、奴は幸せ者です。私も幸せです！私達……幸せになります！
風王,……それは、今から楽しみですね。彼は、僕を選んでくれる！ああっ、なんて待ち遠しいんだ！
魔王,地の四天王が誰を選ぶのか……見物だな。余を選ぶ事は、最早決まっているのだがな……うふふっ！
魔王・水王・火王・風王,――ふふふふふっ！
