速水奏,17
奏,……あの人、こっちチラチラ見てる……。………視線は、私の唇？。もしかしていい感じ、なのかしら。ふふっ、これ買っちゃおうかな。あ、でもこっちのも……
P,あの、君、ちょっといいかな？
奏,………話しかけてきた。ナンパ……にしてはやる気ないわよね。はい？何か？
P,うん。えっと、アイドルとか興味無い、かな？
奏,…………え？
P,こういう者です。ほら、そこの角のアイドル事務所、あそこでプロデューサーやってるんだけど……
奏,あ、スカウト？
P,ま、そういうこと。興味があれば是非、話だけでも
奏,え、そんな急に言われても……
P,あ、いや、別に急がないよ、大丈夫。名刺の裏にQRコードとかあるから、うちのこと調べてからでもいいし
奏,シンデレラガールズプロジェクト……ふーん
P,うん。気が向いたらここの番号に…
奏,ね、なんで私に？
P,え？あぁ、鏡を覗き込む感じとか、すごく様になってたからさ。顔立ちも綺麗だし……
奏,ダウト
P,へ？
奏,お兄さんが見てたのは、私の唇、よね？
P,……ああ、口元が際立って魅力的だと思う。女優かと思ったくらいだよ
奏,…魅力的ってどんな感じで？
P,うーん、こう吸い寄せられるような感じ、かな
奏,つまり、キスしたくなるような、ってこと？
P,ま、まぁそうとも言うな。自然と目が唇を追っちゃう、と言うか
奏,ふーん……。お兄さん、私とキスしたい？
P,え、あ、いや、それくらい魅力的ってだけで俺は
奏,ふふっ、冗談よ。このリップのお陰かしらね。でもこれ、近くで見ると光り方がイマイチな気がするんだけど
P,ん、そうかな？よく合ってると思うけど
奏,そう？じゃ、ちょっと近くで見てみてよ
P,え、ああ……。うん、そんなことないと思う。いい感じだよ
奏,ならいいかな
P,うん、よく似合って……。え？
奏,捕まえた
P,………え。な、な、な、
奏,ん、いいかも。じゃ会計してこよっと。お兄さん、アイドルの件は考えとくね、前向きに
社長,なるほど。学業との兼ね合いは大丈夫かい？
奏,学校はなんとかなると思います。今も成績はいいですし、覚えるのは得意なんです
社長,そうかそうか。まぁ君がやりたいというなら大歓迎だ。決して楽ではないとは思うが、是非、トップアイドルを目指してみて欲しい。どれ、そろそろP君が戻って………
P,只今戻りました。……あ、この間の
社長,お、丁度良い所に。こちらがうちのプロデューサーのP君。スカウトは彼だったよね？P君、速水奏君だ
P,えっと、どうも、Pです
社長,ほらシャキッとしたまえ。速水君、君がもしうちの事務所に入れば、彼が君のプロデューサーになるよ
奏,あなたが私の……？
社長,ほら、君からも何か
P,は、はい。えっと、君ならトップアイドル、目指せる素質があると思う。君さえよければ是非、俺の見込みを信じてプロデュースさせて欲しいんだ
奏,……うーん、どうしようかなぁ
P,一緒にアイドル、やってみないか？シンデレラストーリー、作ってみよう
奏,そうねぇ…。じゃあ…今、この間みたいにキスしてくれたらなってもいいよ。どう？
P,………………あ、え？ええ！？
社長,………P君、少し話を
P,え、いや誤解です誤解です、ちょっと……
奏,…なんてね。冗談です。ふふっ！
社長,P君、本当に……
P,だからほら社長、冗談だって………
奏,ごめんなさい。私、アイドルやってみようと思います
P,ホ、ホントか！？
奏,はい。宜しくお願いします、社長さん、プロデューサーさん
社長,おお、そうかそうか！。それじゃあ………あ、ちひろ君は今日は流通か。P君、ちょっと事務所を案内してあげてくれ。私は局の方に用があるから外すが、くれぐれも変な事はしないように……
P,し、しませんってば！
社長,まぁそれは後でまた話そうじゃないか。さて、それでは頼んだよ
P,はい、行ってらっしゃい………はぁ………。えっと、それじゃあ速水、よろしくな
奏,奏でいいよ。なんか速水って呼ばれると学校みたいで嫌
P,わかった。よろしくな、奏。まぁ俺の事は好きに呼んでくれ。じゃ、事務所だけどまずこっちに……。…こんなとこかな。どうだ？
奏,うん、大丈夫。ちょっと座ってもいい？緊張して疲れちゃったみたい
P,ははは、いいぞ。意外だな、もっと飄々としてるのかと
奏,……見えないかもしれないけど、私だって緊張くらいするわよ。ね、Pさんも座って？質問もあるし、これからのこと、少し話したいの
P,おう。なんでも答えるよ
奏,…うん、こんなものかしら
P,よし。それじゃあ奏、これから一緒に頑張っていこう
奏,……一緒に、ってどれくらい一緒に仕事することになるの？
P,うーん、具体的には言い辛いけど、うちはマネージャー業務も殆どプロデューサーがやったりするからなぁ。レッスン日以外は割と付きっきりかもな
奏,ふーん、そっか………。あ、Pさん襟元になんか付いてる
P,え？………よっ、よっ……取れた？
奏,全然。取ってあげるからこっち来て？
P,お、おう……なぁ、何が付いてるんだ？
奏,何も？
P,……へ？
奏,でも、ほら、捕まえた
P,………え、お、おい奏、この間みたいなのはもう……
奏,うん、あれはしない。ね、Pさん
P,ん、ん？な、なんだ？
奏,私、舌長いの
P,？
奏,多分、すごいよ。………んっ
P,っ、ちょ、ちょ
奏,……いいね、これ。すっごい。病みつきになりそう。ね、Pさんも舌………。あれ？
P,
奏,ね、Pさん
P,んー？
奏,アイドルがキスマークつけて出勤したらどうなるの？
P,は、はぁ！？お前、アイドルなんだからそんな……
奏,あ、こうなるのね。ふふっ
ちひろ,あの、スキャンダルは本当にやめてね？お金、飛んで行っちゃうから
奏,大丈夫。ちひろさん、じゃあプロデューサーがキスマークつけて出勤してきたら？
ちひろ,まぁ、アイドルに比べたら全然セーフだけど……ちょっと荒れる、かな？
奏,ふーん………。一回やってみよっか
P,は？
奏,Pさん、首元失礼するね？
P,っ、え、おい
奏,ん、できた。あ、口元がお留守
P,んっ、んんっ！？
奏,っぷはっ、ごちそうさま。じゃ、後は待つだけね
ちひろ,………………銭の匂いだ………！
みく,おっはよー！
P,おう、おはようみく
みく,Pチャン、今日もかわいいみくのために頑張って…。……………。に゛ゃ！！！？？？。ぴ、Pチャンがマーキングされとる！？。誰！？Pチャン、相手ァ誰や！！
P,……………
ちひろ,……………
留美,おはようございます
P,和久井さん、おはようございます
留美,もう、留美でいいって言ってるのに。ねぇP君？今日のブラウス、少し変わったのを選んでみたんだけどどうかしら？。近づくとわかるけどほら、この襟のボタンが……。あ、あの、P君？。その、あなたも、しゃ、社会人、なんだから、ね？。じょ、女性と、関係を、持つこと自体は、ひ、否定、しないけど、その、そういうのは、しっかりと、みえないように、ね。その、先輩としての、アドバイスというか、なんというか、
P,………………
ちひろ,やばい苦しい
ゆかり,プロデューサーさん、この台本なんですけど…
P,ん？………ああ、これな。ちょっと役に入り辛いか
ゆかり,はい、その、最愛の人が奪われるのを見つめるなんて経験ないですし。ちょっと想像がつかないというか…
P,うーん、演技レッスンの時にﾍﾞﾃﾄﾚさんに相談してみるか。あとはそうだなぁ………
奏,おはようごさいます
ゆかり,あ、おはようございます
