モバマスより小日向美穂,たぬき
美穂,プロデューサーさんっ！
美嘉,はい、今日の分のお弁当★
まゆ,まゆもたくさん作ってきましたよぉ♡
Ｐ,わーい今日もおいしそうだなー白目
美穂,今日はこんな感じでまとめてみましたっ
美嘉,ちゃんと食べないと夜まで持たないからね？
まゆ,うふふっ、まだまだありますからねぇ♪
Ｐ,うまいうまい、みんないつもありがとう白目
周子,……みくセンセ、あれどう思いますよ？
みく,とんだハーレム野郎にゃ。爆発すればいいと思う
周子,バッサリやな。その通りだけど
輝子,で、でも……まるでフードファイト……だな……
小梅,本当に爆発しちゃうかも……食道とかが……
周子,三人もわかってないわけじゃないと思うけど、やっぱあれも女の闘いなんかねー
みく,Ｐチャンほっとくとちゃんとご飯食べないもん。あれくらい自業自得にゃ
菜帆,デザートにお饅頭も差し入れしてあげましょうか～♪
みく,いや菜帆チャン流石にそれはやめたげて……
紗枝,プロデューサーはんも律義どすなぁ。一つも残さず食べはってどえらいわぁ
響子,……。えー、今日みんなにリビングに集まってもらったのは他でもありません。これより、第一回お弁当会議を行いますっ！
美穂,お弁当？
美嘉,会議？
まゆ,……ですかぁ？
響子,その通りですっ。そもそも三人は、今のプロデューサーさんのランチ事情を把握していますか？。ほぼ毎日お弁当三つ、三つですよっ！三人前も平らげてるんです！。私だって三人の気持ちはわかるつもりです。でも、いくらなんでもやりすぎだと思うんです。このままだと、プロデューサーさんがメタボ一直線です！お相撲さんみたいになっちゃいますよ！
まゆ,？
響子,それの何がいけないんですか？みたいな顔しないっ
美嘉,一応前より少なめに作ってたつもりだけど……被り前提って時点でダメだよねやっぱ、あはは……
美穂,うぅ……確かに配慮が足りなかったかも……
まゆ,お話はよくわかりました。それじゃあ、今後あの人のお弁当はまゆの担当ということで
美嘉・美穂,それはダメっ！
美穂,と、ともかく……それじゃ、機会を減らすべきなのかなぁ
まゆ,そうですねぇ……考えてみれば、プロデューサーさんがゆっくりランチを楽しめないのは、まゆも本意ではありませんし……
響子,少なくとも三人いっぺんに持っていくのは禁止するべきだと思いますっ
美嘉,じゃあ、曜日で交代するとかは？
まゆ,それじゃまゆは月曜日と金曜日を担当しますねぇ
美穂,は、判断が早い！？どうしてその曜日……！？
まゆ,お弁当だけ月月火水木金金サイクルにすればいいんですよぉ
美嘉,だからダメだってば！
響子,とりあえず、平日の五日間をクジで割り振りましょう。月火水木で、私含めて四人です
美嘉,金曜は？
響子,週ごとに回します。金曜日はだいたい月に四回ですから。五回ある月の五回目は、都度ジャンケンして勝った子にしますっ
美穂,おぉ～……
まゆ,完璧ですねぇ……。ちなみに土日は制限なしバーリ・トゥード
響子,今恐ろしいルビが見えた気がしますけど、土日はお休みです！。というわけで割りばしを用意しました。明日からさっそく適用するということで――
一同,いっせーのっ
