逸見エリカ,隊長になって気苦労が増えたわ……今日はガ○トのチーズinハンバーグを食べて帰ろう
西住みほ,この学園艦も変わらないね
エリカ,なっ、みほ！
みほ,どうしたの、私を付け合わせのにんじんグラッセを見るような目で見て
エリカ,はぁ？
みほ,私だよ、私。ハンバーグだよ！
エリカ,
みほ,それではお腹をすかせたエリカさんに熱々の鉄板ジョーク、まずは100グラムから
エリカ,ジョークじゃお腹は満たせないわよ……
みほ,この前ハンバーグの後輩が彼氏に振られました。戦車道が原因だそうです。ひどく落ち込んでいてかける言葉がなかったよ。かけてやりなよ。デミグラス
秋山,デーン！
みほ,ハンバアアアアアアアアグ！！
エリカ,んふっ
みほ,まだ物足りない？欲張りですね。それじゃあ次は200グラムのジョークを
エリカ,まだあるの……？
みほ,こないだハンバーグね、肉じゃがと豚カツと一緒にタンカスロンに出ました
エリカ,家元に怒られるわよ
みほ,肉じゃがと豚カツは初めての競技に緊張して前日よく寝られなかったそうです。でもハンバーグはしっかりと睡眠をとって良いパフォーマンスができました。何故かって？ハンバーグはよく。練るからね
秋山,デーン！
みほ,ハンバアアアアアアアアアグ！！！
エリカ,んふっ……ちょっと校門の前でうるさいってば！
赤星小梅,あ、みほさんがカウガールの格好で来てる。なにしてるんですか？
西住まほ,……
エリカ,ああもう、ギャラリー集まって来ちゃったじゃない
みほ,それでは鉄板も温まってきた所でおなじみのフライングハンバーグを！。こないだね、ハンバーグは戦車喫茶で逸見エリカってやつにイチャモンを
秋山,デーン！
みほ,ハンバアアアアアアアアアアアアグ！！！！
小梅,ふふっ、エリカさんそんなことしたの？
エリカ,ちが、あの時はちょっと気が大きくなっていて
みほ,元気ですか！？
エリカ,なによ、猪木？
みほ,どうでしたか！今日のジョークの焼き加減は！
エリカ,はいはい、面白かったわよ
みほ,ご唱和ください、いくぞ！いーち、はーち、きゅー。ジュウ～
エリカ,
まほ,みほ、よく撮れた
みほ,ほんと？後で見せてねお姉ちゃん
エリカ,え、ちょっと、なにか目的とかがあったんじゃ
みほ,え、ハンバーグ好きなエリカさんを笑わせようと思って来たんだけど
エリカ,そのためにわざわざ？
みほ,そうだよ？
このあと西住姉妹はめちゃめちゃ,家元から
