橘ありす,おはようございます
宮本フレデリカ,やあこんにちはありすちゃん▽
ありす,うわあなんだこれ
フレデリカ,口調が崩れてるよー？
ありす,誰のせいだと思ってるんですか……。また変なことを……
フレデリカ,変なことじゃないよ！勇者フレちゃんなのだ！
ありす,とうとう架空の職業に手を出して……。いきなりトラウマえぐるのやめません？
フレデリカ,ありすちゃんはどの職業にする？
ありす,いえ、そもそも参加するとは言ってないんですが
フレデリカ,ありすちゃんなら～、う～ん……。狂戦士とか？
ありす,それが小学生女子に薦める職業ですか！？
フレデリカ,あとは町民Dとかしかないかな～
ありす,モブ！？
フレデリカ,モブなんて言っちゃダメ！彼らも頑張って生きてるんだから！
ありす,誰目線なんですか！！
フレデリカ,じゃあね～……う～ん……
ありす,………………です
フレデリカ,え？
ありす,ど、どうせやるなら……黒魔術師とか……マジックナイトとかみたいな……かっこいいやつが……いいです……
フレデリカ,おお～！！かっこいいね！！さっすが！
ありす,あ……ありがとう……ございます……
フレデリカ,じゃあ遊び人で
ありす,話聞いてました！？。っていうかそれ、珠美さんの竹刀じゃないですか
フレデリカ,違うよ！竹男！
ありす,どうでもいいです……。あと何で……ぴにゃこら太……でしたっけ？のぬいぐるみを？
フレデリカ,違うよ！盾！
ありす,防御用なんですか！？。もう触れないわけにはいかないので聞きますが、そのねこみみは？
フレデリカ,これね！すごいんだよ！
ありす,はい？
フレデリカ,つけてるだけで足が速くなるの！
ありす,そんな馬鹿馬鹿しい……
フレデリカ,つける前の100m走は10秒14だったんだけど
ありす,バケモノですか
フレデリカ,つけたら持病の腰痛が治ったの！
ありす,100m走どこいったんですか！？
フレデリカ,それが今なら3939円！
ありす,なんで商売を始めてるんですか
フレデリカ,なんと千葉県には送料無料！
ありす,ターゲットがバレバレじゃないですか！
フレデリカ,ほらほら！ありすちゃんも装備を整えて！
ありす,フレデリカさんの装備は全く整ってないですけどね
フレデリカ,まず武器！おすすめはこれ！
ありす,うわぁ……
フレデリカ,さすがのありすちゃんも言葉が出ないみたいだね！
ありす,いろいろと良くない気がしますが、とりあえずかしこさ下げるのやめてあげましょうよ
フレデリカ,ほらほら、試しに装備してみて！
ありす,えっ、ちょ、ちょっと！。ほら早速良くないことが起きてる！！！
フレデリカ,恋の呪い……それは誰にも解けない不思議な力なんだね……
ありす,そういうのいいから早く助けて！！！
フレデリカ,次のおすすめ武器はこれ！
ありす,勇者に滑舌はいらないでしょう！？
フレデリカ,いやいや、ラスボスとのポエムバトルには滑舌は不可欠だよ！
ありす,このゲームのジャンルはなんなんですか！！！
フレデリカ,そっか！ありすちゃんは近接攻撃より遠距離攻撃の方がお好きなのかな？
ありす,好みとかそういうレベルじゃなくてですね？
フレデリカ,じゃあ“アーニャのトカレフ”とか、“ウサミンの火縄銃”とかもあるよ！
ありす,どれだけ敵を作れば気が済むんですか！？
フレデリカ,冒険には盾も必要だよ！
ありす,こっちは冒険をするという前提が呑み込めないまま1日が終わりそうですが
フレデリカ,基本的なやつだとこれかな！
ありす,やめてあげましょうよ
フレデリカ,じゃあこっち！
ありす,硬っ！！！。もうポエム帳で殴った方が強そうなレベルじゃないですか
フレデリカ,ノノ、ミレイ、ショウコのジェットストリームアタックは強敵でしたねぇ
ありす,被害者を増やしていくスタイルやめましょう？
フレデリカ,わがままだね！
ありす,本当に、フレデリカさんだけには言われたくなかったです
フレデリカ,冒険に出たいけど、2人じゃ足りない！
ありす,どうしたんですかいきなり
フレデリカ,そんなときはダリーナの酒場で仲間を探そう！
ありす,語感で選んだでしょ！？
フレデリカ,ロックな人からロックじゃない人まで！いろんな人との出会いが君を待っている！
ありす,肝心の内容がふわっふわですね
多田李衣菜,へいらっしゃい！
ありす,挨拶おかしくないですか
フレデリカ,やっほー☆
李衣菜,あ！フレちゃん！待ってたよ！
フレデリカ,今日はいい娘入ってる？
李衣菜,上玉が揃ってるよ！
ありす,全体的にいかがわしい
フレデリカ,ありすちゃん！どんな仲間が欲しい？
ありす,え！？……えっと……、客観的に見たら、もっと戦闘向きな、力の強い仲間がいればいいかもしれないとは思いますが……
李衣菜,お！ちょうどいいね！今ならウェポンマスターを紹介できるよ！
ありす,へぇ、武器のスペシャリストじゃないですか
フレデリカ,いいね！会いたいな！
李衣菜,おっけ！呼んでくるよ
ありす,ウェポンマスターですか……。可能性としては真奈美さんや拓海さん……？。重火器なら亜季さんもありえるかも……
鷺沢文香,こんにちは……
ありす,文香さん！！？？。ウェポンのウの字も似合わないじゃないですか！
李衣菜,これを見ても同じことが言えるかな？
ありす,ガチだ！！！
フレデリカ,じゃあよろしくね♪
文香,いえ……それが……
ありす,？
文香,この後ドラムのレッスンがあるのでここで帰らせていただきます
ありす,趣味の幅！！
文香,その後はほら貝のレッスンもあるので……
ありす,文香さんはどこに向かおうとしてるんですか！？
李衣菜,スカウト失敗だねー
フレデリカ,しょーがないよ！前向いていこ！次はどんな仲間がいいかな？
ありす,もうなんでもいいです……
李衣菜,あ！最近来たおすすめの娘がいるんだけど、どうかな？
フレデリカ,マスターのお導きのままに！
ありす,李衣菜さんはそんなに絶対的なポジションなんですか
李衣菜,じゃあ……。ちょっと来てー！
神谷奈緒,全体的に恥ずかしいし！しかもゲタって！！！
フレデリカ,ワオ！和風のテイストを加えた大胆なアレンジ！
奈緒,これはアレンジと呼ばないんだよ！パリに姫路城を建てるようなものなの！！！。ありすも何か言ってやってくれよ！
ありす,……
奈緒,……ありす？
ありす,な……奈緒さん～～～
奈緒,うわ！どうした！？
フレデリカ,常識人が来て安心したんだね！
奈緒,わかってたなら加減してあげろよ！！
ありす,すみません……取り乱してしまって……
奈緒,そうとう頑張ってたんだな
フレデリカ,いったい誰がこんな苦労を……
奈緒,鏡見ろ！
ありす,もう喋らなくていいかもしれません
奈緒,でもごめんな、あたしもそろそろ行かなきゃいけなくて……
ありす,え！？ど、どうしてですか！？
奈緒,いや、普通に仕事が
ありす,仕事と私、どっちが大事なんですか！
奈緒,悪いけど仕事だからな！？
ありす,殺生な！
奈緒,必死かよ！？
李衣菜,ありすちゃんがボケに回ってるの初めて見るかも
フレデリカ,……
李衣菜,いやぁ、行っちゃったね
ありす,残念です……
李衣菜,じゃあ次は……
フレデリカ,ううん！もう今日はいいや！
ありす,え？
李衣菜,あ、そう？この後も盗賊王柑奈ちゃんとか大道芸人のあさんとか紹介しようと思ったんだけど
ありす,割と気になる！！！
フレデリカ,ありすちゃん
ありす,なんですか
フレデリカ,ごめんね！ありすちゃんがそんなに負担に感じてたなんて思わなくって……
ありす,え？……べ、別にいいです……その気になればいつでも逃げられましたし。その……つ……つまらなくは……ないので……
フレデリカ,……やっぱりありすちゃんは優しいね♪そーゆーとこ大好きだよ！
ありす,なっ！な！なにを……！
フレデリカ,じゃあ、迷惑かけたお詫びに、ありすちゃんに髪飾りをデザインしてあげる！
ありす,！
フレデリカ,何色がいい？やっぱりピンク？
ありす,……いえ
フレデリカ,？
ありす,私はクールなアイドルになりたいんです。そうですね……クール・タチバナとでも言うべきでしょうか
フレデリカ,ほほう！ふむふむ！
ありす,黒を基調とした物にしていただけるなら幸いです。ブラック・タチバナという響きもいいですね……
フレデリカ,……
ありす,な、なんですか
フレデリカ,かっこいい！！！
ありす,……え？
フレデリカ,うんうん！フレちゃんもね！ありすちゃんにはカワイイ系だけじゃなくてカッコいい系も似合うと思ってたの！
ありす,あ、ありがとうございます……
フレデリカ,よし！課題なんて後回しにしてデザインしちゃうよ！！！
ありす,いや課題はやらなきゃダメですけど！！。……
フレデリカ,どーしたの？
ありす,いえ、何でもないです。今日もどうせ食事に行くんでしょう？どこにしますか
フレデリカ,あれ！？ありすちゃんから言うなんて珍しーね！
ありす,……そういう気分の時もあります
フレデリカ,ちょっと待っててね！常務に聞いたおススメのお店リストがここに
ありす,不安しかない！！！
