昨夜は風呂に入らなかったし、寝間着のままだ,フリースの上に着る毛布
バスタオルで水滴を拭い服を着て髭を剃ると、リビングの方から,う"あ"あ"あ"っ!?
むしろ嘘をついているのはそちらなのでは、と言いたくなる気持ちをおさえ、,ホントのことしか言ってないですよ
試しに,ちょっとそのウィッグ取ってくださいよ
俺は画面の向こうで何度も目にした,な"あ"に"ぃ""い"い"い"っ!?
俺の言葉通り、素直に本を手に取ったアンチョビは、表紙を見て,これって
が、,痛い
俺が誘うと、彼女は低く,行く
が、無理矢理に,いませー
注文を取りに来たおばちゃんは,コスプレ？コスプレ？
アンチョビは,うーん
うどん屋を出て,こっち
というやり取りを幾度か繰り返したところで、アンチョビが,ふあああぁ！保留のやつ全部処分で決定だあぁああっ！
そして,幸せだなあ最高だなあ
彼女へ,寝まーす
違和感を覚えながらもシャワーを浴びて洗面室でじゃこじゃこと歯を磨いていると、,おはよお
俺はドアの向こうへ,今度こそ行ってきますよー
未だ社内に残る同僚や部下に,帰るわー
SNSで,夕飯いらないので
アンチョビも食べずに待っててくれていた,天使か
と、初っ端で登場した自分の声に、アンチョビは,はあああっ!?なんでこんなものが録音されてるんだ!?
今度はドラマCD4巻の戦車道講座,乗車編
俺が言うと、アンチョビは,いるぞー
配下の生徒を指さし、アンチョビは、,これがジェラート、これが――
久しぶりの休みなので,昨日は休日出勤だった
アンチョビは,薄々勘付いてはいたんだがなあ
そもそも人が多すぎて予約瞬殺とか色々説明するのが面倒で,まぁそれもありますよねー
部屋の扉をノックし,あの、アンチョビさん、朝なんですけども
3分ほどで切符を購入できた,手売りだった
地元の人間半分、ガルパンおじさん,＆お姉さん
からあげや牛串や,おぉうまいなーっ！
そのことをアンチョビへ伝えると、彼女は,あぁ、そうだなあ
同僚に,帰る
というわけで、祝日,勤労感謝の日である、ははは
出社早々、部下へ,今日は早めにあがるぜ
俺が言葉を続けようとすると、アンチョビが,あー
上司には電話で,ウイルス性胃腸炎でドクターストップが出ました
俺が言い切ると、アンチョビは口を横へ広げ、,うー
リツイートやらフォロワーやら、一つ一つの用語をかみ砕いて説明していくと最後にアンチョビは,おぉーっ！良いじゃないかーっ！
各所に、,ここ強調！
照れるアンチョビへ,そこ座って
俺が言うと、アンチョビはにかっと笑って、,まず始めに名乗っておくぞ！
予定時刻まで1時間という微妙な隙間があるので、編集と圧縮を終わらせると、アンチョビと二人用のボードゲーム,バトルラインとか
元気よく,任せろ！
アンチョビは軽快にキーボードを叩き、,アンチョビだ！とにかく動画を観てくれ！そして拡散してくれ！
アンチョビはにかっと笑うと、,パンツァーフォーっ！
俺はスマホを操作すると、自分のアカウントで、,友人のアンチョビさんから、皆さんへ伝えたいことがあるようです
数秒して、,お、おぉ？
例えば、,大洗行った？
待つこと15分。,できたぞー
俺はアンチョビに,ちょっと良い？
すると友人から,明日お前ん家行く
玄関先でアンチョビを目にした途端に騒ぎ出す二人へ,とりあえず入って
リビングで三人こたつを囲んで座ると、アンチョビが,どうぞ
友人らが心なしか緊張した様子で,あ、どうも
そう言って追い返そうとするものの、二人はふて腐れた顔で,帰らん
俺が言うと、友人二人は,うぇーーい！
勝者となった長田は,じゃあもうちょっといさせて
先程は,無理
編集のない方が自然なアンチョビ感を演出できるだろうし,アンチョビ感とは
アンチョビに頼み、ツイッターにて,次の動画を撮るから、みんな、私への質問をくれないか！
アンチョビがスクリーンへ登場する度に,あっアンチョビさんだ！
俺は寝室へ戻り、,朝飯出来たらしいから早く来いカス共
キミドリ氏は、別れ際に,私に協力できることがあれば何なりと仰ってください
JRの改札を抜けたところでふと思いつき、人通りから離れると、,ちょっとそこ立って
俺がスマホを向けたところでアンチョビは察して,はぁっ！
ちなみに俺は、23時頃に職場の上司から,明日は出社できるのか
これなら仕事を再開しても編集は続けられるだろう,たぶん
理由は明白だ。今度はアンチョビの声優を務める方が、,なにこれ！すごく似てるぅ～♡
アンチョビは一瞬だけ不安そうな表情で,こ、ここまでになるとは
アンチョビは初めどちゃくそに怒ったが、何か思うところがあったのか、ふいに表情を変えると,たまには休みもないとなあ
さて、引き続き動画を撮影しようかというところで、アンチョビが,駄目だ駄目だー！
画面の中のアンチョビは,冬季無限軌道杯というのがあってなあ
2本目を撮ろうかと言ってみたのだが、アンチョビに,撮り溜めがあるんだから、今日はこれで終わりだ！
しかし、それとなく顧客側に調整を依頼しても,リリース予定日は変更しません
