モバP(以下P),どうしたらいいんですか？
ちひろ,知りませんよ。
P,鬼！悪魔！ちひろ！
ちひろ,永遠に覚めない夢でも見ますか？。まぁでも流石に不味いですね。
P,俺がプロデューサーじゃなかったら今頃エロゲ展開ですよ。えぇ。毎日股間がグレンラガンですよ。天元突破ですよ。
ちひろ,その下らない下ネタ、次言ったら潰しますよ。
P,あっ、はい。一応俺も色々対策を施してはいるんですが…
ちひろ,対策とは？
P,まずは帰宅を促しました。もちろん駄目でしたが。
ちひろ,後は？
P,比奈が来た時なんかは後で好きな本を買ってやるからと物でつってみたんですが。って布団の中で体を触られまくりました。
ちひろ,あっ
P,因みに手は出してませんが違うものがちょっと出ました。
ちひろ,おい
P,だって比奈っぱいが！83の比奈っぱいが！
ちひろ,あんたプロデューサーでしょ！
P,その前に男だ！
ちひろ,で？後は？
P,文香が来た時にも本でつりましたが。と言われました。
ちひろ,よかった。文香ちゃんは大丈夫そうですね。
P,ところがどっこい官能小説でした。
ちひろ,え
P,途中から登場人物の気持ちが知りたいと実演をせがんできました。
ちひろ,まさか…
P,流石にそれは駄目だと
ちひろ,ほっ…
P,言ったら俺の太ももに下腹部、主に排泄器官がある辺りを擦り付けてきました。
ちひろ,あっ…
P,途中小刻みに震えて涙目になってました。
ちひろ,もう何も言うまい。
P,俺の股間もうるおいました。
ちひろ,てめぇー！
P,だってふみっぱいが！84の童貞殺しのふみっぱいが！
ちひろ,しつこい！そのうち早苗さんにしょっぴかれますよ！
P,あっ…
ちひろ,…え？まさか…
P,合法ロリのさなぱいがぁ…92のさなぱいがぁ…
ちひろ,手遅れ…だと…
P,というわけでもう頼れるのがちひろさんしかいないんですよぉ…
ちひろ,なら逆に考えればいいんですよ。引かれるような対応をすれば！
P,例えば全裸とかですか？
ちひろ,それはやりすぎですが
P,そっか。やりすぎだったのか
ちひろ,え
P,え
ちひろ,……まさか…
P,検☆証☆済
ちひろ,なんてこった……因みに誰に…
P,TPミツボシとスマイルの2人に…
ちひろ,ついに未成年にまで…もちろん手は出してないでしょうね
P,違うものはもちろん出しました！
ちひろ,くそったれが！
P,84のミツボシっぱいに87のうづしり…
ちひろ,ん…あれ？凛ちゃんは
P,二日目に
ちひろ,oh…
P,初日はまゆでした。
ちひろ,よくぞその二人を前に生きて帰れましたね。
P,思えば序盤にして最大の敵だったかもしれません。恐ろしい敵だった…
ちひろ,でもその二人に対抗できたなら大丈夫なんじゃ…
P,甘い！甘いですよちひろさん！ほんとに怖いのh…
ありす,おはようございます。プロデューサー。
桃花,おはようございます。プロデューサーちゃま。
みりあ,おはよう！プロデューサー！
ちひろ,
P,おしまいだぁ…
