サイコミで連載されている,アイドルマスターシンデレラガールズU149
U149P(以下P表記),よいしょっ……と
みりあ,あ、プロデューサー！何してるの？
P,赤城さん、荷物を運ぶよう頼まれてね
みりあ,わぁっ……！それ、お姉さんたちへのファンレター……？
P,そうだよ！すごい量だよね
みりあ,うん！この中にファンの人たちの気持ちがいーっぱいつまってるんだね！
P,そうだな！一枚一枚に愛がこもってるよなー！！
みりあ,いつかみりあにもくるといいな！
P,きっとくるさ。そのためにも頑張っていこうな
みりあ,プロデューサーは……
P,ん？
みりあ,ラブレターもらったことある…………！？？！！？
P,……
みりあ,……プロデューサー……？
P,んぽえ
みりあ,……ってことがあったんだー！
舞,それは……
桃華,あらまあ
みりあ,そのときのプロデューサー、こーっんな顔してたよ！
薫,あはは！変な顔―！
仁奈,ゾンビの気持ちになってやがりますか？
梨沙,きっとラブレターもらったことないのね
千佳,みんなはラブレターもらったことある？
千枝,千枝はないです……
小春,小春もですー
ありす,私もないですね。今時ラブレター書く人なんているんですかね？
梨沙,私はもらったことあるわよ
晴,マジか！さすがだな
梨沙,まあね。でも直接告白してこない男なんてお断りよ
薫,わー！
仁奈,大人だー！
梨沙,他に誰かもらった人は？舞とかないの？
舞,私はないかな
桃華,やはり愛を伝えるのにラブレターを書く人がいないのではなくて？
千佳,だったらもらったことなくても、気にする必要なくない？
ありす,そこはやはり男としてのプライドというものなのでしょう
仁奈,ぷらいどでごぜーますか！
晴,男って本当そういうこと気にするよな
みりあ,そうだ！
千枝,どうしたのみりあちゃん？
みりあ,みんなでプロデューサーにラブレターを書こうよ！
晴,はぁ！？
ありす,なんでそんな話になるんですか！？
みりあ,だってプロデューサーはラブレターもらったことないから元気なくなっちゃったんでしょ
ありす,だからってですね……
桃華,別にラブレターである必要はないのではなくて？
千枝,プロデューサーさんに感謝のお手紙を書くだけでいいんじゃないかな？
小春,それはいい考えですねー
仁奈,仁奈は書くですよー！
薫,薫もー！
ありす,理屈はわかりましたが……
桃華,あら、ありすさんは書かないんですの？
ありす,桃華さんは書くんですか？
桃華,もちろんですわ。日々お世話になっている方に感謝の気持ちを伝える。レディとして当然のことです
ありす,むむ……
桃華,ありすさんもプロデューサーには感謝しているのではなくて？
ありす,……わかりました。礼儀を忘れてはいけませんしね
桃華,それでこそありすさんですわ！
晴,なんか結局みんな書く流れになったな
梨沙,そうね。晴は何書くの？
