モバＰ(以後Ｐ表記),凄いレトロなデザインですね…５０年ぐらい前のマンガにある未来銃
ちひろ,銃口がドリルみたいになってますもんね。ジグザグのビームが出てきそうなフォルムというか
Ｐ,どれどれ
ちひろ,だからどうしてこっちに向けるんですか！
Ｐ,すいません
ちひろ,もうっ…
Ｐ,セーフティがかかったままでした。これでよし
ちひろ,何にもよくねーよ
Ｐ,ただのジョークですって。そんな睨まないで下さいよ。命乞いしたくなるじゃないですか
晶葉,おい助手っ！
Ｐ,うぉっ！？。どうした晶葉、そんなに慌てて。ビックリしたじゃないか
晶葉,す、すまん…ってそれどころではない！この辺りに私の作った発明品が無かったか！？
Ｐ,いや、特には…。こんなレトロな未来銃ぐらいしか
晶葉,まさしくそれだ！
Ｐ,ああ、これ晶葉が作ったのか。てっきりウサミンが子供のころのオモチャを持ってきたのかと
晶葉,お、おいやめろ！不用意にそれを人に向けるんじゃあない！
Ｐ,えっ、これってそんな危険なのか？
晶葉,ああ…とてつもなく危険な代物だ。ゆっくりデスクの上に置くんだ…
Ｐ,ま、まさか…対象を原子レベルまで分解してしまうとか、別次元に転移させてしまうとか、そんなアレか？
晶葉,いや、流石にそこまでのモノは作れないぞ…
Ｐ,なんだ、ちょっと安心した…
晶葉,うおっ！危険だと言っただろう！まずはセーフティをかけろ！トリガーが緩いのだから！
Ｐ,す、すまん
晶葉,危なかった…。ほら、見てみろ助手。今の暴発した光線に当たったアレを
Ｐ,アレ？もしかしてコレのことか？。って言っても俺がさっきまで飲んでたコーヒーなんだが……っ！
晶葉,…どうだ、どうなっている？
Ｐ,ば、バカな…さっきまで普通のコーヒーだったのに…。いつの間にかクリープが入っている！？
晶葉,どうだ、あまりにしょうもなさすぎて危険だろ…
Ｐ,…確かに危険だ。ヘタをすると大火傷では済まないな、コレは
晶葉,うむ。誰かが拾ってヘタに使ってしまわないようにと探していたのだが…よかった、まだ何も被害が出ていなかったのだな
Ｐ,しいて言うなら俺のコーヒーが犠牲になったな。…おれ、クリープじゃなくてミルク派なのに…
晶葉,尊い犠牲だったな…冥福を祈ろう
Ｐ,…まあ、飲むけどさ
晶葉,しかしここに落としていたのか…。助手１人でいてくれたのが幸いだったな
Ｐ,えっ？俺１人って…ちひろさんがいるだろ
晶葉,何を言っているんだ、ここには助手しかいないだろう
Ｐ,…なん、だと…？。…ちひろさん？。…え？
晶葉,どうしたのだ助手？
Ｐ,…あ
-Ｐ,うぉっ！？
Ｐ,まさか、あの時暴発して…
晶葉,…おい、まさかちひろさんに当ててしまったのか？
Ｐ,そ、そんな…じゃあ、まさかちひろさんが…。ち、ちひろさんがクリープまみれにっ！？
晶葉,想像すると卑猥な光景だな
Ｐ,いや、でも千川だし…
晶葉,急に冷めるな。一応ちひろさんもあれで女性なのだぞ。そういうリアクションは傷つくと思うが
