モバP(以下P),そんなわけで新しい属性を追加しようと思う
凛,そんなわけでって言われてもどんなわけだか分からないんだけど
P,いやほら、アイドルの属性って最初になんとなく見た目で決めたせいで今となっては全くあってないのがいるだろ。うひょー！とか言っちゃうクール属性とか、アイドル剣士を目指しているクール属性とか、熊本弁喋ってるクール属性とか
卯月,クールってなんでしょうか？
未央,確かにそうなんだけど、属性ってなんとなくで決めてたんだ
P,てなわけで属性変更をしようと思ったんだけど、ぶっちゃけ3属性に分けるのって無理だと気付いてな
卯月,計画性皆無ですね
P,もういっそのこと属性増やそうぜって会議で決まったんだよ
未央,ちょっとまって。ニュージェネレーションって一応各属性の代表者の集まりだよね？。属性を増やすってことはもしかして私達解散するの？
P,いや、従来のニュージェネレーションはそのまま残して、新ニュージェネレーションを作るから大丈夫。そして、お前たちは新ニュージェネレーションにもそれぞれの属性の代表として参加してもらうからな
凛,そう、ならいいんだけどさ
卯月,ところで、新ニュージェネレーションの名前って決まってるんですか？
P,まだ検討段階でいろいろ出してる最中だよ。たとえば、より高みを目指す意味でHiニュージェネレーション
未央,思ったよりまともなネーミングだね
P,他にはメンバーが増えたことを考えて量産型ニュージェネレーション
未央,やっぱりダメだった
P,あとはニュージェネレーションHWS装備型
卯月,ジージェネレーションに出てきそうな名前です！
P,そんなわけで追加属性第一弾！もっとも要望が多かったバラエティ
凛,ちょっとまった！
未央,誰とは言わないけどキュート五本の指が2本になっちゃうよ！
卯月,2本あればピースが出来ます
P,一体誰のことを言ってるかはおいて置いて、あいつらは立派なキュートだぞ
凛,そう。ならいいんだけどさ
P,とりあえず、みくと奈々さんと幸子がバラエティ属性になるから
凛,さっき立派なキュートって言ったよね！
P,立派なキュートだ。でもそれ以上にバラエティ寄りなんだよ、あいつらは
未央,キュート属性が一気に弱体化するのはいいの？
P,心配するな。変わりに奈緒と藍子をキュートに転属しておいた
凛,・・・なら仕方ないかな。あの3人よりもキュートだし
未央,むしろ、あの二人を入れるためにはバラドル達に抜けてもらうしかないのか
P,続いての追加属性。みんなが待ってたセクシー
未央,おお!今度はちゃんとしたアイドルっぽい属性だ
P,参加メンバーは里奈とか唯とか雫とか留美さんとかだな
