本田未央,おつかれー
渋谷凛,あ、未央、お疲れ様
未央,あれ？なに書いてるの？宿題？
凛,ううん、設定を練ってるんだ
未央,……設定？
凛,あれ？言わなかったっけ？芥川賞狙ってるって
未央,近年稀にみる初耳だよ。ごめん、理解が追い付いてないんだけど……
凛,お笑い芸人でも取れるんだよ？これは私でもいけるかなって
未央,動機が失礼すぎるよ
凛,じゃ、早速だけどあらすじを考えたから聞いてもらってもいい？
未央,なんか展開早くない！？私の意志は！？
凛,むかしむかし、あるところに……
未央,その書き出しで芥川賞狙うの無謀すぎない！？
凛,喉は暖まった？
未央,余計なお世話だよ！
凛,いくつかプロッポ……プロ……プロー……プロンプト……？は用意してあるからさ
未央,プロットね。なんかIT用語混ざらなかった？
凛,揚げ足取りは感心しないな
未央,むしろその程度の語彙力でよく小説家になろうとするよね
凛,今なんて言ったの！？もう2回言ってみてよ！
未央,せめて1度で聞き取る姿勢は見せなよ！！！
凛,どうやら、内容で黙らせるしかないみたいだね……！
未央,いつからしぶりんの目的は私の口封じになったの？
凛,これは、今から少しだけ、未来のお話です
未央,結局話し始めるんだから……
凛,科学技術の目まぐるしい発展により、人間とロボットが共存する世界……
未央,あ、でもここまではいい感じかも。SF系なのかな……？
凛,主人公の渋谷凛しぶたにりん
未央,ほぼ本人じゃない？
凛,"ああ、どうして私はこんなにも可愛くて頭が良くて気が利いて歌が上手くダンスも上手で男にもモテるんだろう……"と
未央,こんなに感情移入できない主人公初めて見たよ
凛,そこに"おーい！"と現れたのは親友の豊田未央とよたみお
未央,なんで改名が日本の自動車産業カテゴリで行われるの？
凛,未央ちゃんは言いました"よおブス！"
未央,未央ちゃん！？。えっこれ親友の第一声！？大丈夫！？
凛,凛ちゃんは慣れた様子で返事をします。"あ？表出ろ"
未央,ちっとも慣れてないじゃん！ガチギレじゃん！！！
凛,"もう！ふたりとも！ケンカはダメですよ！"そう言って現れたのは、島村卵月しまむらたまごづき
未央,語呂悪っ
凛,実はこの卵月ちゃん、世界を滅ぼさんとする秘密結社のボスで、凛ちゃんと未央ちゃんの両親を手にかけたこともある天然っ子なのですが、それはまた別のお話……
未央,さらっと世界観の根幹を明かさなかった！？形容しがたい純粋悪じゃん！！！
凛,卵月ちゃんは2人に語りかけます。"そんなにケンカばっかりしてると、天国のご両親も悲しみますよ？"
未央,ド畜生だな！！！
凛,凛ちゃんと未央ちゃんは舌打ちをしつつ、持っていたワルサーP38を降ろしたのでした……
未央,銃構えてたの！？完全に殺る気満々だったね！？
凛,ここまで、どうだった？
未央,殺伐としすぎだよ！！！
凛,この後、3人は協力して悪の組織を滅ぼすんだけど、その黒幕は意外な人物だったんだ……
未央,いや、卵月ちゃんでしょ。ってかちゃん付けする価値もないよこの卵月
凛,……！？！？！？
未央,"何でバレたんだ"みたいな顔やめてくれない！？
凛,未央にでも推理できるなら、このプオ……プーロ……プトパ……プロパティはお蔵入りかな
未央,腹立つな！あとプロットくらい覚えてよ！
凛,じゃあ次のお話ね
未央,数打っても当たる気がしないんだよ……
凛,"いっけなーい！遅刻遅刻！"パンをくわえた少女が通学路を走っています
未央,またベタな展開を……
凛,ドン！と音がして、少女は曲がり角から出てきた少年と一緒にトラックに轢かれてしまいました
未央,ドンってその音！？大惨事じゃんヤバいよ！！！
凛,病院に搬送されるも、なんとか一命は取り留めた2人、すると……
未央,すると……？
凛,"入れ替わってる～！？"
未央,あ～、そういう展開ね！なんか最近ヒットしたやつがあったけど、まあ定番かな……
凛,そう、少女、少年、トラックのおっさんの3人が入れ替わってしまったのです！
未央,おっさん！！！！！！！。おっさんいらない！！！
凛,え？でも、ここから青春おっさん大活劇が始まるんだけど……
未央,そんなジャンル初めて聞いたもん！！！絶対いらないよおっさん！！！
凛,それじゃあトラックに轢かせた意味が……
未央,そこだよ！そもそも轢かれなくていいじゃん！2人がぶつかればさ！
凛,な、なるほど……
未央,はい最初から！
凛,じゃあ、"遅刻しちゃう！行ってきまーす！"そう言って、玄関から少女は飛び出しました
未央,うんうん
凛,ドン！
未央,早くない！？。まだ家の前でしょ！？そこにいたらもうただのストーカーだよ！？
凛,"痛ってえな！どこ見てんだ！"
未央,お前が家の前にいたのがいけないんだろ！！！
凛,そう、少女は叫びました
未央,少女が言ったの！？口調どうにかならなかった！？
凛,"すいやせん、トラックが故障しちまったもので……"
未央,おっさん！！！！！！！！。少年をクビにしたのかよ！！！おっさんはもういいよ！！！
凛,でも、ここから青春おっさん冒険譚が始まるんだけど……
未央,その広がっていくおっさんカテゴリはなんなのさ！！！
凛,この話もダメか……
未央,というかさっきから、芥川賞というよりラノベ大賞を狙ってそうな話ばっかりだよね
凛,まずはそういう、軽い賞から肩慣らししていこうかなって
未央,すごいね、喋るたびに敵を増やしてく
凛,ゆくゆくは卯月みたいにノーベル文学賞を
未央,しまむーマジで！？
凛,無駄話はこれくらいにして、次の話、いいかな？
未央,……うん、もうしまむーに驚くのはやめるよ
凛,次のジャンルは、ずばりスポ根！
未央,う～ん、ジャンル的には無難だと思うけど……、競技は？
凛,悩んだんだけど、やっぱり王道の野球かな
未央,いきなりカバディとか言い出さなくてよかったよ……
凛,いや、でもこれは自信あるよ……！
未央,はいはい、期待しないで聞いてあげるからさ
凛,主人公の姫河くんは甲子園出場を夢見て高校に入学するんだけど、手違いで野球部がない高校に入っちゃうんだ
未央,絶対下の名前友紀でしょ。別に違和感ないからいいけど
凛,そこで、他の部活からそれぞれのスペシャリストを連れてきて、助っ人ナインで甲子園を目指すの
未央,なるほど……！いろんな競技の助っ人が、その競技ならではの技を出すんだ？
凛,"優勝投手に、俺はなる！"
未央,その構文は限りなくクロに近いグレーだけども
凛,この作品は魅力的なキャラクターがウリだからね、先にキャラ紹介をするよ
未央,……うん、お願い
凛,まずは、サッカー部からの助っ人、目志くん！俊足が武器なんだ
未央,……メッシ？
凛,次に、陸上部からの助っ人、暴流人くん！俊足が武器なんだ
未央,大丈夫？すでにアルゼンチンとジャマイカに睨まれてるけど
凛,次に、バスケ部からの助っ人、条団くん！俊足が武器なんだ
未央,さっきから助っ人の武器がダダ被りなんだよ！！！！！。もう陸上で全国目指しなよ！勧誘がヘタなのか！
凛,次に、将棋部からの助っ人、羽生くん！俊足が武器なんだ
未央,なんでお前将棋部入ったんだよ！！！
凛,次に、カバディ部からの助っ人、樺尾くん！肺活量が武器なんだ
未央,使いにくい武器持ってきたねえ！
凛,次に、相撲部からの助っ人、稀勢里くん！"太っているからといって安易にキャッチャーをやらせるような世界を壊してやる"という強い意志が武器なんだ
未央,知るか！！！
凛,次に、テニス部からの助っ人、宇位理亜無図姉妹！ゴリラ
未央,謝れ！！！！！。一瞬でも期待した私がバカだったよ！！！
凛,もしかして未央、スポーツ系嫌い？
未央,強いて言うならしぶりんのことが嫌いだよ！！！
凛,しょうがない……、奥の手を出すしかないね
未央,期待値がゼロどころじゃないからね、マイナスだから。勝手にしてよもう
凛,次はね、感動で泣かせてみせるよ
未央,このしぶりんの惨状を見たらファンは泣くと思うけど
凛,……未央、初期に比べてなんか冷たくない？
未央,胸に手を当てて考えてみればいいんじゃない？
凛,未央の胸？
未央,は？
凛,ごめん。じゃあ、気を取り直して……
未央,どんなメンタルしてるの
凛,……
未央,……？どうかした？
凛,わ、私のこと嫌いって本当……？
未央,めんどくさいなぁ！！！。冗談だから！流してよもう！
凛,そ、そっか、そうだよね、ごめん、ちょっと不安になっちゃって
未央,調子が狂うよ……
凛,時は戦国時代、これは、身分違いの恋と時代の流れに翻弄される姫の物語……
未央,急だなあ
凛,今宵も月を見上げ、お姫様は呟きます
島村卯月,"ああ、あの方も同じ月を見ているのでしょうか……。同じ刻に生まれ落ち、同じ空を見上げても、そこにあなたはいない。この想いをどうすればよいのでしょう！"
未央,しまむー！？。その適応能力はどうなってるの！？
凛,"姫様、そう夜風に当たってはお体に障りますよ"そう言って従者は眉をしかめます
卯月,"それな"
未央,急に現代の同意スタイルを踏襲してきたね姫様
凛,"またそのような口調を……。大方、あの男が吹き込んだのでしょうが……"
未央,マジか、身分違いどころか時代違いだよこの恋
卯月,"うぇ～い"
未央,ダメだ完全にパリピだ姫様！
凛,もう卯月！ちゃんとやってよ！
未央,おお……しぶりんがしまむーに怒ってる……
凛,そこは"うぇ～い"じゃなくて"Fuuuuu↑↑"でしょ！？
未央,ダメだこいつも頭パリピだ！！！
卯月,ご、ごめんなさい！どうせ面白くないからいいかなって……
未央,おっとケンカをふっかけるのはやめてほしいな
凛,あ？表出ろ
未央,しぶたにちゃんはもういいから！！！
卯月,もう！ふたりとも！ケンカはダメですよ！
未央,そのセリフ聞くと純粋悪しか浮かばないからやめて！！！
凛,卯月、私の書いたプロ……プラッ……ポ……プー……プランクトンを見てほしいんだけど
未央,最後まで覚えてくれなかったねプロット
卯月,今後の活躍をお祈りしてますね！
未央,切り捨て方きつい！けっこう刺さる人いるんだから！
凛,ふふふ……あえてキツイことを言って伸ばす作戦だね……
未央,ホントへこたれないね
卯月,まずはキーボードの打ち方からですねっ
未央,馬鹿にしすぎじゃない！？
凛,獲ってみせる……！ノーベル平和賞を！
未央,文学どこ行った！！！！！
