一目見るだけで,よおし！おじちゃん今日もがんばっちゃうぞよ！
童貞としてはもっと積極的に、例えば布団に潜り込んでいるとかお背中流しに来てくれたりとかそういうアプローチがないと,あれ？これいけるんじゃね？
だって怖いもんな！もしノリノリで迫って,え・・・なにコイツ引くわー
で、結果がこれ。如月を想って日夜ハァハァしてたくせに,ようし！！たまには兄ちゃんオナ禁しちゃうぞー！！
あのときの加賀の,そんな小細工したところですべてわかってんだよゴミ
なんだよ秘書艦帰ってくんの早すぎだろおまえさっき,久しぶりに妹と食事なんですぅ
ようし！そうと決まれば外に出て、ってまて、如月がいたらどうする。如月にばれないことが最優先だろ。如月の前では吐き気がするほど真面目でかっこいい提督を貫いてきたのにここでもし,あ、こやつ・・・抜きおったな？
ドラクエつけたらセーブデータが全部,しごと
飛び出ろ執務室。ドアを開ければ目の前扶桑。オッスオッスおら虚空！ちょっくら用事あっから悪いが任せた！ダッシュダッシュ引き止める声には耳かすな。迫る掲示板、,廊下は走るな
長門のことだから下手したらなんだかんだで何人か連れて手伝いに来るかもしれない。そうなって,実は如月の写真探してんだよね
ここで,くちゅくかんにしてはちょっと濃いねえぐふふ
今度それとなく聞いてみようかしら。,如月たん如月たん、綺麗な髪の毛だけど下の毛もお手入れしてるの？
事に及んで彼女の下着を脱がせてみよう、さあ！陰毛！ない！あれえ！？純然たる大和撫子の大和が陰毛がないとはどういうことか！日本女性で陰毛剃っているのは最近こそ多いなれどやはり,大和撫子
でも扶桑。扶桑だぞ。あの、あの、あの扶桑が陰毛をそんな可愛らしくお洒落してたなんて！ぶへへえろい。,ああ・・・そらはあんなにあおいのに・・・
そういえばサラダ記念日の詩を読んで思ったことはそうなんでもかんでも記念日にされても身がもたねえよ覚えきれねえよってのなんだけどこれ言うとほぼ必ず,これだから童貞は・・・
よっしゃ、それじゃ今日は如月の写真に射精したから,射精記念日
加賀らしい可愛らしい花を一輪だけくれてそれがなんとも飾り気のない加賀らしいプレゼントで俺も柄にもなく感動しちゃって,お前を秘書艦にしてよかった！これからもよろしくな！
まさか思わないじゃん。黄色のカーネーションの花言葉が,軽蔑
涙を流しながら顔を手で隠し何かを否定するように首を振り小さな声で,見ないで・・・見ないでください・・・
あれよあれよと担ぎ上げられ笑顔の駆逐艦に囲まれ青葉がドヤ顔で鼻を鳴らし長門が壁に寄りかかりながら,ふっ、言ってくれればいいものを・・・
そして青葉が鎮守府新聞なるものをばらまき俺はそんなものが出回っていることをその時知り間宮さんのすいーつを振舞われ長門に,見直したぞ
こいつらどう思うだろう、俺が,実はオナペット探してたんだよね、キャハ！
如月の体格で授乳手コキはちょっと無茶かもしれんがされたい。よちよちって甘やかされたい。,おちんちんぴゅっぴゅしましょーねー
ちなみに俺は全裸だよ！！！寝るときはいつも全裸だよ！！！マリリンモンローも寝るとき全裸だよ！！！,寝るとき何きて寝てますか？
