モバＰ(以下Ｐ),飛鳥、乃々、これでイベントも無事に終わりだな。おつかれさん
飛鳥,商店街でミニ野外ライブ、想像以上に盛り上がったね
乃々,な、なんか色んな人がいましたね……
Ｐ,ここの商店街は名古屋の観光地としても有名だしな
飛鳥,年齢や人種も問わず賑わっているようだ。こんな喧噪もたまには悪くない
乃々,商店街のお仕事と聞いたときはもっと落ち着いた場所を想像していたのにぃ……
Ｐ,正直に言ったら来る前から乃々が委縮すると思ってな。うまくやれていたぞ！
乃々,うぅ……ひどいです……
飛鳥,はぁ、キミも乃々の扱いにだいぶ慣れてきたね。それで、今日はこれで終わりだろう。すぐ戻るのかい？
Ｐ,帰りの新幹線の時間にはまだ時間があるな
乃々,なら、何か食べませんか……？終わったらお腹が空いて……
Ｐ,そうだな。食事できる店もあるだろうし、商店街を歩いてみよう
飛鳥,では往こうか
Ｐ,屋台的なのもちらほらあるな。からあげ、ケバブ、大判焼き、と
飛鳥,歩きながら食べられるものがこの場所に合っているのかな
乃々,お店の種類も多いですね……
Ｐ,2人は何が食べたいんだ？
飛鳥,ボクはこれといったものは出てこないかな。乃々に任せるよ
乃々,そ、そう言われると困るんですけど……
Ｐ,無理に決めなくていいぞ。歩いてたら見つかるかもしれんしな
乃々,わ、わかりました……
飛鳥,で、商店街から出てしまったわけだが
乃々,す、すみません……ズバッと決めるなんて、むーりぃー
Ｐ,まぁまぁ、ここでなくても駅の周辺まで行けば店も増えるし……乃々？
飛鳥,何か見つけたのかい？
乃々,あ、いえ……味仙って書いてある看板に、ちょっと気になるメニューが……
Ｐ,んー、台湾ラーメン？
乃々,はい。プロデューサーは知ってますか？
Ｐ,いや、台湾ラーメンってのは食べたことないな。しかし名古屋なのに台湾？
乃々,やっぱりそこが気になりますよね……
飛鳥,ふむ、乃々は味仙が気になるようだね
Ｐ,飛鳥は知ってるのか？
飛鳥,あぁ、味仙は件の台湾ラーメンで有名だからね
Ｐ,よし、俺も気になるしそこにしてみるか？
乃々,わ、わたしは構いませんけど……むしろ、気になりくぼ……
飛鳥,決まりだね。早速入ってみよう
店員,イラシャイマセー
Ｐ,結構混んでるなぁ
飛鳥,テーブル席は粗方埋まってるようだ
店員,2カイヘドゾー
乃々,あ、2階もあるんですね
飛鳥,2階は比較的空いてて楽に座れたね
Ｐ,早速メニューを……肉類、海鮮類、麺類、飯類。至って普通の中華メニューだ
乃々,種類がいっぱいありますね……でも気になるのはやっぱり……
Ｐ,あぁ、台湾ラーメンだな
乃々,写真も載ってます……ひき肉と唐辛子がどっさり……！
飛鳥,そう、鶏がらスープの麺にたっぷりの炒めたひき肉とニラ、そして唐辛子をのせたものが台湾ラーメンさ
乃々,スープも真っ赤で見るからに辛そうなんですけど……
Ｐ,しかしなぜこれが台湾ラーメンなんだ？向こうじゃ一般的なトッピングなのか？
飛鳥,いや。ここの従業員のまかないから生まれたメニューで、その時作ったのが台湾人だったからさ
Ｐ,へぇ、じゃあ台湾では一般的に食べられているわけではないのか
飛鳥,たしか台湾にも逆輸入されたらしいが、向こうじゃ名古屋ラーメンと銘打っているらしいよ
乃々,名古屋では台湾ラーメンで、台湾では名古屋ラーメン……あべこべですけど
Ｐ,はは、面白い話だな
飛鳥,小話もほどほどにして、そろそろ注文しないかい？ボクも空腹を覚えてきててね
Ｐ,そうしよう。すいませーん
店員,ハイ。ナニシマスカ？
Ｐ,台湾ラーメンを3つ。他に何かつまみたいものあるか？
乃々,お腹空いててもそんなに入りませんよ……
飛鳥,ところで2人とも辛い物は大丈夫なのかい？
乃々,あ……そこまで得意ではないです……
Ｐ,じゃあ辛さ抑え目の方がいいな。できますか？
飛鳥,台湾ラーメン、2つはアメリカンで
Ｐ・乃々,!?
店員,アメリカンハ2ツネ
飛鳥,はい、以上で
店員,ショウショ、オマチクダサイー
Ｐ,飛鳥、何だ今のアメリカンて
飛鳥,ふっ、味仙初心者にありがちな発言だね
乃々,意味がわからないんですけど！
飛鳥,アメリカンとは辛さ抑え目、という意味さ。アメリカンコーヒーは苦味が少ないところからこう呼ぶそうだよ
Ｐ,そんな意味が……
飛鳥,反対に激辛を所望ならイタリアンと宣言するのさ。その真意は理解るだろう？
乃々,えっと……イタリアンコーヒーは、苦味が強い……？
Ｐ,つまりエスプレッソからか
飛鳥,ご明察
乃々,名古屋で台湾ラーメンアメリカンなんて、もうごちゃごちゃなんですけど……！
Ｐ,こりゃ初心者には聞いただけじゃわからんなぁ
店員,オマタセシマシター。台湾トアメリカン2ツデス
Ｐ,あ、普通のはこっちで
店員,ゴユックリドゾー
Ｐ,これは……赤いな！
乃々,比べると、アメリカンのスープは普通の鶏がらの色ですね……
飛鳥,ふふ、恐れずに食べてみようじゃないか。きっと新たなセカイが広がるよ
Ｐ,あぁ、たちのぼる湯気のにおいだけで涎が出てくる……じゃあ手を合わせて――。最初はスープから……ズズッ……辛い、辛いが美味いぞ！
飛鳥,いまでは広まった台湾ラーメンだが、味仙の一杯は悪戯に辛いだけじゃなく、辛さと旨味の調和が取れていると云えるね
乃々,アメリカンも抑えめの辛さでもしっかり主張してます……美味しい……
Ｐ,たしかに、はじめはそうでもないが徐々に辛さが主張してくる感じだな……ただの激辛ラーメンじゃこうはいかない
乃々,唐辛子の辛さの中にニラの風味が活きてます……
Ｐ,辛旨という形容詞がぴったりだな。このスープに絡んだ麺もいくらでも食べられそうだ
乃々,このひき肉もスープを吸って美味しいです……これでご飯が食べられそう……
飛鳥,シンプルな鶏がらスープにひき肉、ニラ、唐辛子。このバランスは見事だね
Ｐ,辛さもあって、箸が止まらんぞ！。ん、どうした？
乃々,その、もりくぼは……プロデューサーの……いえ、何でもないです……
Ｐ,そうか？あ、飛鳥、そっちのアメリカンも気になるから一口くれないか？こっちのもあげるから
乃々,えぇ！
Ｐ,なんだ、乃々？
乃々,あ、いえ……
飛鳥,……ボクは普通のものも食べたことがあるから結構だよ。交換するなら乃々とすればいい
乃々,！
Ｐ,わかったよ。乃々、もらっていいか？
乃々,プ、プロデューサーなら構いませんけど……
Ｐ,よし、じゃあ失礼して……お、たしかにマイルドだが美味いな
乃々,あの……プロデューサーのもの、一口いいですか……？
Ｐ,あぁもちろん。ほら、辛いから気をつけろ
乃々,いただきます……ッ！か、からぃ……辛いけど、美味しい……
Ｐ,辛い物のあとの杏仁豆腐がまた沁みるなぁ
乃々,なめらかな舌触りに優しい甘さが嬉しい……
飛鳥,プロデューサー、あの後頼んだご飯はどうだった？
Ｐ,おススメされた通りに残ったスープとひき肉をかけておじや風にしたが……あの組み合わせは最高だな！
飛鳥,ふふ、気に入ってくれたようで何よりだよ
Ｐ,乃々もちゃっかり食べてたしな
乃々,食べました……まんぞくぼ……
Ｐ,この辛旨はまた無性に食べたくなるタイプだったなぁ、戻って食べられないのが残念だ
飛鳥,それなら東京にも進出してたはずだから、あとで調べてみればいい
Ｐ,それはいいこと聞いた。東京でもまた食べるか
飛鳥,楽しみのは結構だけど、ニラやにんにくの効いたメニューが多いから臭いには気を付けることだね
Ｐ,わかってるさ。よし、そろそろ出るか……乃々？
乃々,ん……すぅ……
Ｐ,……イベント、頑張ってたもんな。飛鳥、乃々の荷物頼む。通りでタクシー拾うぞ
飛鳥,任されたよ。ところで、プロデューサー？
Ｐ,ん、なんだ？
飛鳥,この眠り姫がキミのと交換したがってたの、気付いていたんだろう？
Ｐ,バレテーラ
飛鳥,全く……なら、なぜわざわざ最初にボクに持ちかけたんだい。ボクがああ言ったからよかったものを
Ｐ,飛鳥も気付いてて、かつ飛鳥なら上手く振ってくれそうだと思ってたからな
飛鳥,やれやれ、キミは乃々だけじゃなくボクの扱いまで心得てるようだね
Ｐ,嫌だったか？
飛鳥,別に。キミの掌の上で踊らされるのは慣れてるさ
Ｐ,そのぶん輝くステージの上でも踊らせてみせるさ
飛鳥,口が減らないね……期待してるよ、悪戯好きなプロデューサー？
乃々,――ということがあったんです……いつの間にか寝ちゃってたんですけど……
美玲,へぇ、それは美味そうだな！
乃々,東京のお店以外にも、カップ麺とかもあるらしいです……コンビニで売ってるかも……
美玲,お、じゃあ今度見つけたら買ってみるか！
乃々,いいですね……もりくぼも、また食べたいので……
Ｐ,お、いたいた！喜べ乃々、次の仕事の話だぞ！
乃々,ひぃ！あの笑顔のプロデューサーはよくないんですけど……！
美玲,どんな仕事なんだ？
Ｐ,いやな、乃々が意外と食レポ出来そうな雰囲気を感じてティンときてな……これが商店街食べ歩きぼのの旅の企画書だ！
美玲,……良かったな、またすぐ食べられるかもよ？
乃々,む、むーりぃー！
