前川みく,15
Ｐ,ただいまっ、みく！みくはいるか！？
みく,にゃ？どうしたのかにゃ？Ｐチャンそんなに慌てて
Ｐ,新しい仕事がきたぞ！しかも二つもだ！！
みく,にゃ！？いっぺんに二つもかにゃ？
Ｐ,あぁそうだ、一つは俺がとってきた仕事なんだが、もう一方は先方から是非とオファーがきたんだ。俺がとってきた方はグラビア写真の仕事、もう一つは先方から声の仕事をどうだ、と
みく,おぉー！声優！ついにみくの時代がきたにゃ！！
Ｐ,今日は誇っていいぞ！なんせうちの事務所では声の仕事なんてみくが初だからな
みく,にゃっふっふ～、Ｐチャンもっと褒めて褒めて♪
Ｐ,ふはは、よかろうよかろう
みく,にゃっ！到着にゃー
Ｐ,うむ、今日は頑張るんだぞ、声の仕事というのは洋画の吹き替えだ
みく,もしかして主役にあのアイドルが！？みたいにゃ？
Ｐ,さすがにそこまでではないが、いくらか台詞のある脇役、だそうだ
みく,はにゃー、みくなら主役の吹き替えもどんとこいにゃのに
Ｐ,まぁそういうな、ＣＤを聞いた担当の人がみくの声に惹かれてウチに頼んできただけでもあり難いだろうに。この仕事でうまくいけばきっとそういう大役も回ってくるかもしれんさ
みく,確かにそうかもにゃ、よーっし頑張るにゃー！
Ｐ,おっし、その意気だ！
スタッフ,まず収録を始められる前にこちらを聞いて下さい。既に吹き替えした別の方を参考にして頂くとイメージがし易いかと思います
みく,ふむふむ……じゃあヘッドホンそうちゃ……にゃっ！？。み、耳にひっかかってつけられないに”ゃぁぁ
Ｐ,ちょ、猫耳にひっかかって……っていうかヘッドホン猫耳につけないのか？
みく,にゃ！？その手があったにゃ！ってんなわけあるかにゃあああ猫耳外すにゃああ！
Ｐ,おま、アイデンティティを……
みく,それでもみくは曲げないよ！。・・・・――――！――――・・・
Ｐ,一応今の所順調に進んでってるな……特に噛んだりもしてないし
みく,……残念だったにゃ、な……ここでおしまいにゃ、だ……
スタッフ,……はいカット。んー今の取り直しですね、にゃんこちゃんになってます
Ｐ,あんのお馬鹿！声のお仕事だから猫モードはいらんというに！
みく,うにゃ……にゃんこにならない声のお仕事は難しいにゃ……はっ、そうだにゃ！
Ｐ,ん、みくがこっちに来るが……休憩でも入れてもらいたいのか？
みく,ＰチャンＰチャン！みくいいこと思いついたにゃ！
Ｐ,ん？うまいことミスせずに済む方法か？
みく,違うにゃ！。みくネコの吹き替えやりたいにゃ！！そうすればにゃんこになってもダイジョーブにゃ！！
Ｐ,……………………。こんのお馬鹿あぁぁぁぁっ！
みく,に”ゃぁぁぁ！？台本で叩いたにゃああ！痛いのにゃああああ！！
Ｐ,きちんと仕事して物言えぇぇ！
みく,ふにゃあ……なんとか声のお仕事は終わったにゃ……ちょっと疲れたにゃ
Ｐ,一時はどうなるかと思ったわ……まぁでも相手方にも仕事ぶりはおおむね好評だったし。まあ次もあるかもしれんな
みく,じゃあネコの……
Ｐ,んん？
みく,な、なんでもないにゃ……
Ｐ,……ま、声の仕事のほうは次あったらもってくる。とりあえずお次のグラビア撮影に向かうとするぞ
みく,はいにゃ！。じゃんじゃじゃーん！せくしーみくにゃんにゃ！！可愛いかにゃん？
Ｐ,んむ、可愛いじゃないか。特にこの肉球が
みく,ちょっ、肉球だけにゃ！？みくも可愛いでしょ！！
Ｐ,いやぁ今回の衣装はここに拘ったからな、その甲斐あって最高のさわり心地だ
みく,ちゃんとみく本体も見るにゃあ！
Ｐ,おー肉球パンチで痛くないな、むしろ気持ちいい。みくはアイドルなんだから可愛いのは当たり前だろうに、まったく
みく,にゃ……、あ、ありがとにゃ
Ｐ,んむ、そして今日の撮影だが、いつもとちょっと違う
みく,にゃ？どんな風に違うのかにゃ？
Ｐ,なんと今日の撮影は本物の猫と一緒に撮影だ！
みく,にゃっ！ホントかにゃ！？
Ｐ,最近忙しくて猫カフェ巡りに行けないってことで、ここで猫とじゃれあってもらおう、と思ってな。ついでにその姿もグラビアに……という一挙両得の企画だ
みく,おおおお……！やったにゃ！Ｐチャンありがとにゃ！
Ｐ,撮影でポーズ決めてもらう必要はあるが、基本的に猫とじゃれあう姿でいいから、存分に楽しむといいさ
みく,はいにゃ！頑張ってじゃれあうにゃ！
Ｐ,それだけではないがな……フフフ
カメラマン,はーいそこでポーズ取って～………イイヨイイヨォ
みく,あらぶるにゃんこのポーズ！
カメラマン,その顔いいねぇ……はい！。……そこで猫を胸に抱きかかえて……一緒にー？
みく,にゃーん♪
カメラマン,んーいいねぇ！。んー、大体あと半分ぐらいかな。ちょっと休憩にしようか
みく,はーい、ちょっとお茶飲んで一息したいとこだったにゃ。って……Ｐチャン凄い勢いで飛んできてどうしたのかにゃ？
Ｐ,…………
みく,Ｐチャン……？
Ｐ,………………ふふふ……ふはははは
みく,にゃ？
Ｐ,いよぉし貴様らぁ！撮影で少し疲れただろう癒してやろう、そぉら！
みく,！？
Ｐ,写真撮影は大変だからな、残りもう半分頑張れるように癒してやるぞふははははははは
みく,ｐ、Ｐチャンが壊れちゃったにゃ……。っていうかみくには何も無いのかにゃ！
Ｐ,えぇい今俺はこいつらと遊ん……もとい癒してやって忙しいのだ！みくは休んでおけっ
みく,に”ゃっ！？今遊んでるとか言ったにゃ！ひーどーいーにゃー！
Ｐ,ええい肉球パンチはやめいっ。……ふはは三毛よ、アメショよ、そしてふてくされたヒマラヤンよ、たんと疲れを取ってやるからなぁふははは！。まずはそこの三毛猫のミーちゃんよ！ほぅれ耳裏ぁ！喉ぉ！そしてお腹ぁ！！。続いてそこで物欲しそうな顔をしているアメショのショウちゃん！そう焦るでないお前もこうしてくれるわ！
みく,う、うわぁ……Ｐチャンが緩みきった顔で一心不乱に猫を撫でまわしてるにゃ……。これみくの為にとってくれた仕事じゃなくてＰチャンが猫と遊びたくてとってきたんじゃ……
Ｐ,おっといかん忘れる所だった。そこで遠巻きにふて腐れてるヒマラヤンのマヤちゃん。さっきから一言も鳴いてないが俺にはわかるぞぉ？自分も相手しろとその顔が訴えかけてるのがなぁ！ふははは。ほぅれ、ここかぁ？ここがええのんかぁ？んん？
みく,あ、ヒマラヤンの子しっぽを床にぺしぺしして怒ってる……
Ｐ,ぬおわぁぁ！？
みく,………
Ｐ,ふ、ふは、は……ついテンション上がってしまって猫が怒っているのに気づかなかった……
みく,ふーんだ、猫ばっかりかまってみくになんもしてくれないＰチャンが悪いにゃん
Ｐ,くくく、だがまだ終わらぬ！猫ともどもみくも可愛がってやろう……これでな！！
みく,！！
猫's,！！
Ｐ,どこでもいつでも何度でも！猫にはこの猫じゃらしが最高そして至高！！。更に今回は一人と３匹……最初から全開でいくぞ！六爪流じゃらし！！
みく,！！！
猫's,！！！
Ｐ,さぁどこからでもかかってくるがいい！ふははは！！
