荒木比奈,あ
姫川友紀,比奈ちゃんどしたの？
比奈,陽炎っスよ。ほら、あの辺揺らめいてる
友紀,あ、ホントだ
比奈,クーラーが壊れてる上にこの暑さっスから、室内で出てもおかしくないんじゃないスかねー
友紀,だねー
比奈,…………
友紀,…………
比奈,…………
友紀,……？
比奈,麦茶っス。友紀ちゃんも飲みまス？
友紀,泡の出る麦茶？
比奈,普通の麦茶っス
友紀,ちぇー。まあいいや、ありがとー
比奈,…………
友紀,…………
比奈&友紀,……ぷはー
友紀,やっぱり暑いときは麦茶だねー
比奈,っスねー。まさか麦茶が底を突くとは……
友紀,暑いからってガバガバ飲み過ぎた……
比奈,とはいえ今から沸かすのは自殺行為でスし
友紀,この暑さでそれは倒れるよ……
比奈,かといってプロデューサーのドリンクに手を付けるワケにもいきませんしねー
友紀,超得ショップ、開店中ですよ！
比奈,友紀ちゃんモノマネ下手っスねー
友紀,似せようとしてないしー
比奈,そういえば友紀ちゃん、知ってまス？
友紀,何を？
比奈,輝子ちゃんいるじゃないっスか
友紀,きの子ちゃんがどしたの？
比奈,ちょっと前に楓さんをじっと見てたんでどうしたのか聞いてみたんスよ。そしたら……
友紀,そしたら？
比奈,か、楓さんの髪型、キノコに似てる……トモダチ……ﾌﾋｯって
友紀,……ｸﾌｯ
比奈,笑っちゃ失礼っスよ……ふふっ
友紀,いや……なんで輝子ちゃんのモノマネ、そんな微妙な似具合なのさ！
比奈,え、そっちっスか？
友紀,そっちっス
比奈,…………
友紀,…………
比奈,日本列島、ダーツの旅～
友紀,？
比奈,ウサミン星に決定！
友紀,…………！
比奈,ｳｰﾙﾙｰﾙﾔｰｲﾔｰｲﾔｧｰｳｲｪｰｴｪｰ裏声
友紀,……比奈ちゃんやめﾌﾌｯ
比奈,第一ウサミン発見！
友紀,やめてよ比奈ちゃんー。アーニャちゃんって抱き枕にしたらひんやりしてて気持ちよさそうだよね
比奈,あー、分かるっス。白くてひんやりしてるって冷蔵庫に入れてる大根ぽいっスよね
友紀,でもアーニャちゃんは畑で採れないしどっちかというと……はんぺん？
比奈,あぁー
友紀,比奈ちゃんは誰抱き枕にしたい？
比奈,私は周子ちゃんっスかねー。ほら、あの……札幌ぽいっスから
友紀,おぉー、分かってるねぇ比奈ちゃん
モバP,あっついなぁ、こんな時にはスタドリのロックに限る……お、比奈に友紀か
比奈,南国で作られた雪だるまの気持ちになるっスよ……
友紀,………………わかるわ
P,……おーい？
比奈,あ、プロデューサー！溶鉱炉にのまれよ、っス！
友紀,友紀は変化球を曲げないよ！
P,何言ってんだお前ら！？
比奈&友紀,きゅう
千川ちひろ,まったく、偶然清良さんがレッスンから帰ってきたからよかったものの……
P,早急に新しいクーラーを買うか、修理しないといけませんね
ちひろ,プロデューサーさんも、熱中症には気を付けてくださいよ？
P,ええ、アイドルたちを背負って立たないといけないんですから。熱中症なんかで倒れていられませんよ
ちひろ,疲れた時はスタドリ、元気を出したいときはエナドリです！倒れてからでは遅いんですから、じゃんじゃん飲みましょう！
P,は、はぁ
ちひろ,今ならAPドリンクもありますよ！そうだ、エナチャの方がいいですか？
P,あ、じゃあAPドリンクお願いします。支払いは……。レアメダルで！
