ちょっとアレなＰ,以降Ｐ表記
晶葉,まぁまぁそう邪険にするな。折角作ったのだしな
Ｐ,何でそんなもん作ったんだか。んでアイドルに変身出来るってどういう事だ？不思議なカードであっという間にフリフリ衣装にメイクアップって感じか？
晶葉,いや、そういったカードキャプター的なものではないな。ものは試しだ。実際使ってみるといい。ほら
Ｐ,…これは？
晶葉,カードを収納するホルダーと、カードを装填するバックルだ
Ｐ,なぁ、これってもしかしなくてもまんまディ
晶葉,さぁ助手よ！そのバックルを腰に当ててカードを入れるんだっ！
Ｐ,なぁ、だからこれってそのまんまディケ
晶葉,ほらほら、コレをこうしてだな！
Ｐ,グェッ。あっという間にベルトになった…しかもちょっとキツい
晶葉,うん？おかしいな…助手のウエストに合わせてある筈なんだが…。太ったか？
Ｐ,ほっとけ！この歳にもなると体型維持も大変なんだぞ！？
晶葉,まぁ些細な事はどうでもいい。バックルの左右を引っ張って90度スライドさせてみろ
Ｐ,いやだからこれってディケイ
晶葉,そしてそこにカードを入れてカメンライドもといアイドルライドだ！
Ｐ,とうとう言っちゃったよ！。うあー！また安直なあきえもん発明ネタかよぉー！
晶葉,おお…流石は私。完璧だな
Ｐ？,自分の身に何が起こったのかめっちゃ怖いんですけど…。んっ？あれ、俺の声ちょっとおかしくない？福原綾香ぽいというか何というか…
晶葉,まあ、そうだろうな。ほら助手ここに姿見がある。自分の姿を見てみるといい
Ｐ？,随分準備がいいのが益々怖いんですけど………って。あれ、凛？えっ、あれ…？
Ｐ凛,うっわ俺凛になってる！うわー違和感がすんげぇんですけど！
晶葉,ふふん、どうだ私の新作の出来は。姿形はもちろん声も体系も身体能力も全てオリジナルと同じになれるんだぞ？
Ｐ凛,うわぁ、目線がいきなり変わるだけでもめっちゃ戸惑うのに自分のセリフが凛の声で聞こえるとか頭おかしくなりそうだな…。…にょわー☆
晶葉,ここぞとばかりに鏡の前できらりんスマイルをするな。オリジナルの姿でさっそく遊ぶな
Ｐ凛,凛は自分を曲げないよ！
晶葉,現在進行形でオリジナルのキャラが捻じ曲げられているではないか
Ｐ凛,いやぁ、本当に凄いな。何が起こるか分からない光線銃とかメカ未央とか最近凄いんだけどどんな使い道があるんだ的なモノばっかり作ってたから関心したわ
晶葉,ハハッ、その姿でなかったら殴りたいところだが、まぁ我慢しよう
Ｐ凛,あ、でもベルトはそのまま残るんだな。服装はちゃんと凛の制服になってるのに
晶葉,そこは原作に忠実という訳だな
Ｐ凛,やっぱりこれディケイ
晶葉,おっと、これだけではないぞ助手！ホルダーの中のカードを見てみるといい！
Ｐ凛,パクリ…
晶葉,例えば今の姿ならこのカードを使うと…
Ｐ凛,うぉうっ！一瞬で衣装が変わった！
晶葉,どうだ、アイドル特有の衣装や特技もカードによって使用可能なのだ！
Ｐ凛,凄いぞ晶葉！思いきりディケイドのパクリだけど！ディケイドのパクリだけど！
