モバマスより緒方智絵里,うさぎ
Ｐ,………………うーーーーーむ
兎Ａ,ﾌｽﾌｽﾌｽ
兎Ｂ,ﾌﾝﾌﾝﾌﾝﾌﾝﾌﾝ
兎Ｃ,ﾋﾟｽﾋﾟｽﾋﾟｽ
兎Ｄ,ﾌﾊﾌﾊﾌﾊ
兎Ｅ,ｸﾞﾃﾞｰ
兎Ｆ,ﾌﾜﾌﾜﾌﾜﾌﾜ
智絵里,うん……うん。そうなんだ……。えっ、ほんとに……？
兎Ｇ,ﾋﾟｸﾋﾟｸﾋﾟｸ
智絵里,うん……わかった。ありがとう
兎Ｇ,ﾌﾝｽ
Ｐ,どうだって？
智絵里,あの……やっぱり、どこから来たのか覚えてないって言ってます。いつの間にか生まれてたって……
Ｐ,そうか……てっきりどっかの動物園から脱走したもんかと思ったが
ちひろ,というレベルではありませんものね。にしても困りましたね。このままだとお仕事もできませんよ？
Ｐ,……事務所今こんなんですからね
兎×いっぱい,ﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌﾓﾌ
Ｐ,智絵里の兎時代の知り合いってわけじゃないんだよな？
智絵里,は、はい。どの子も初めて見ます……。ｼｭﾊﾞｼｭﾊﾞﾊﾞｯ、ｻｻｯ、ｼｭﾋﾞﾋﾞ
兎,？
智絵里,神使ジェスチャーも通じなくて……
Ｐ,神使ジェスチャーって何……？
ちひろ,茄子さんがまた体調を崩されたわけでもないんですよね？
茄子,私は健康そのものですよ～♪
Ｐ,ふーむ。このままじゃ困るし、一体どうしたもんやら……ん？。もしもし
周子,……紗枝ちゃん
紗枝,はいな
周子,これ夢？
紗枝,さてぇ、どうどすやろか……
周子,あ痛いふぁ
蘭子,はわわわわわわわ……！！
芳乃,ほほー……
美穂,こ、こ、これってまさか、全部……。全部、うさぎさん！？
Ｐ,……わかった。とにかくそっちは寮で待機。みんなをしっかりまとめてくれ、寮長。とりあえずは事務所待機かな。原因がわからないんじゃどうにも動きようがない。本当の天変地異か社外のトラブルかもしれんし……。ちひろさん、自宅にいる組にも待機の連絡入れておいてください
ちひろ,わかりました
Ｐ,すまんが智絵里、できる限る聞き込みを続けて――
智絵里,！！
Ｐ,ツインテが立った！！
ちひろ,うさみみ！？
智絵里,………………
Ｐ,な、何かを聞いている……
ちひろ,やっぱり耳なんだわ……
Ｐ,あ、ああ。どうも、智絵里が……
智絵里,あ……あの。うさぎさんの発生源……わかるかも、です
もふもふ、まっしろ。うごうご蠢いていて、路上そのものがうさぎさんの和毛,にこげ
みく,それじゃ番号！いーち！
芳乃,にー、でしてー
美穂,さ、３っ！
蘭子,Ⅳ！
紗枝,ごぉ♪
周子,ろくー
菜帆,７～♪
響子,８です！
小梅,きゅ、きゅう……
輝子,フヒ、１０……
みく,智絵里チャンはＰチャンと一緒、イヴチャンとこずえチャンは遠くでロケだから、これでひとまず全員にゃ！。まずは手分けして窓を閉めるにゃ。鍵のかけ忘れなんてもってのほか！
響子,場合によっては補強しなきゃいけないかもですね……！
みく,そうにゃ！断固抵抗の意思を持って防備を固めるのにゃあ！！
一同,おーっ！！
どうしたら止められるかさえも分からないが、,親
結局智絵里はなにやら腰砕けになってしまっていて、一人では立てなかった,恥ずかしすぎたらしい
？？,ど……どうしよう……。私、そんなつもりじゃ……なかったのに……。なっ、なんとか……なんとかしなきゃ……っ。え、あ、わぁあ……っ！？
差し出されたお茶をふーふーふーふーふーふーして,猫舌らしいです
向こうは、画面を通じて,私達
そして拡声器を持って身を乗り出す、一番小さな飛行服,それでもぶかぶか
そして操縦席には彼女が,じいや
殺到するうさぎさんを菜帆ちゃんのぷにぷにボディで弾き,強い……！
声をかけようとした時、蘭子ちゃんは,ぎ、ぎ、ぎ
なんでも、彼女が今持っているスケッチブックは,魔法のノート
最初の一ページに、,これは魔法のノートです
ノートが翻り、,何か
それは、本来陸,ここ
兎が消えた後にサメ,しかも飛ぶ
芳乃,ほー…………。つわものどもが、夢のあとー…………
輝子,フヒ……フヒフ……い、生きてる……トモダチも……
小梅,ふぇへへぇ……映画化、してほしいなぁ……
蘭子,……すーすーするぅ……
みく,か……勝った？みくたちは、勝ったのにゃ……？
響子,……ごはん、そうだ、今夜のごはんを作らなくちゃ……っ
由愛,ほ……本当に、ごめんなさい……っ
Ｐ,いや、君が謝るようなことなんか無いよ。俺達だけじゃなく、誰にでも
由愛,でも……でも私、色んな人に迷惑を……
Ｐ,悪いとしたらあのよくわからんノートだ。……ところで桃華、本当にいいのか？
桃華,ええ。件のノートは、うちが責任をもって預からせて頂きますわ。由愛さんの手にあれが渡ったのはただの偶然だと思いますが……
奏,一応、出処を追跡させてみた方がよさそうね
Ｐ,…………ちなみにその追跡ってどこがやんの？
桃華,財団ですわよ？
Ｐ,何の！？
由愛,…………
Ｐ,……やっぱり、どうしても申し訳ない気持ちがある？
由愛,…………
Ｐ,それもそうか。責任感が強い、優しい子みたいだ。誰が許しても許さなくても、自分で気が済まないんだろう……。じゃあこうしよう。楽しいことをたくさんするんだ
由愛,え……
Ｐ,私がやりましたすみません、とも言えないだろ？きっとみんな信じないし、証明もできない。だからその代わりに行動で返そう。大変な思いをさせてしまった分だけ、みんなを楽しくするんだ。たとえば、君は絵が好きなんだろ？
由愛,はい。ママが……いろんな習い事をさせてくれて。続いたのは、これだけで……。で、でも私、誰かに絵を見せるなんて……
Ｐ,まあそれは追々でいいよ。かわいい絵や素敵な絵をたくさん描いたり、誰かに親切にしたりしてさ。そうやって人を楽しくしたり、幸せにしたりして、それで少しずつ返していくんだ
由愛,少しずつ……幸せに……
Ｐ,そう。だから、まずは本人が幸せな気持ちにならなきゃな。念を押すけど、この件で君が負うべき責は何も無い。とにかく、人を幸せにする手段はたくさんある。あんまり気負わないで、のんびりやってこうな。あ、気が向いたらいつか俺にも絵見せてね
由愛,はい……あ、あの。ありがとう、ございました……っ
奏,行ったわね。……てっきりスカウトするかと思ったけど
Ｐ,それだと弱味に付け込んだみたいになっちゃうだろ。大事なのは本人の納得だ
奏,あら、つれないのね。私も口説き落としたくせに
Ｐ,だからお前な。……まあとにかく、そっちもお疲れさん。色々助かったよ。一時はどうなることかと思ったけど
奏,街がうさぎに包まれてたらお仕事もできないもの。それに私もそこそこ楽しかったわ
Ｐ,だろうな。――智絵里も、
智絵里,さめこわいさめこわいさめこわいさめこわいさめこわいさめこわいさめこわいさめこわい
Ｐ,めっちゃ震えとる！？
桃華,恐怖のぶり返しですの！？
Ｐ,どうどう智絵里！よしよし！サメももういないから！お前のおかげだ！
智絵里,さめこわいさめこわ……あっ、プロデューサーさん……
Ｐ,智絵里がいないとどうにもならなかったよ。本当にありがとうな
智絵里,あぅ……♡
Ｐ,そうだ、そろそろ他のみんなも事務所に着くころ……
蘭子,うさぎこわいうさぎこわいうさぎこわいうさぎこわいうさぎこわいうさぎこわい
美穂,蘭子ちゃんっ！し、しっかりしてぇ！
Ｐ,トラウマになっとるーッ！？
みく,にゅあぁ～……もううさチャンはこりごりにゃあ……
Ｐ,智絵里が気にするから、それあの子の前では言ってくれるなよ
みく,智絵里チャンはいいの。けど、それ以外のうさチャンは正直しばらく見たくないにゃ……
Ｐ,聞いたぞ。ナワバリバトル凄かったそうじゃないか
みく,そーうーにゃーのー聞いてよＰチャン！あの時の大変さったら……って何見てるの？
Ｐ,次のオーディションに来る子の履歴書
みく,うちに来てくれる子いるかな？
Ｐ,まあ結果次第だな。どの部署に配属されるかも未知数だし………………お？。……ははっ
みく,Ｐチャン？どうしたの不気味な笑い声出して
Ｐ,不気味は余計だろ不気味は！尻尾の付け根トントンしてやろうかテメー！？
みく,お！？やるにゃ！？第四十八回キャットファイト！
Ｐ,ちょえーッ！
みく,ふしゃーっ！！
