凛母,凛ー、朝ごはんはいいのー？
凛,うんゴメン、ちょっと時間ヤバいから！じゃあ行ってきます！。うわ、ホントにヤバいかな……。よし、あの角曲がったらあとは直進……！。うぁっ！？
？？？,にゃっ！
凛,あ、えっと、ごめんなさい、ちょっと急いでて……。…………って、え？
？？？,痛いぴにゃ！ひどいぴにゃ！。あ、どこ行くぴにゃか！？ぴにゃはずっとキミを探して……！
凛,うわ、いる
？？？,うわとは何ぴにゃ！由緒正しきプロデュース妖精に向かってー！
凛,私は何も見てないし何も聞いてないし何にもぶつかってないし……
？？？,あ、走るとは卑怯ぴにゃ！ならこっちだって飛んでやるぴにゃ！！
凛,何も来てない何も聞こえない……！
？？？,待てぴにゃー！
凛,何とか間に合ってよかった……
未央,しぶりんおはよー！遅刻なんて珍しいねー？
凛,うん、ちょっと寝不足でね……
卯月,ごめんね凛ちゃん！私のおしゃべりに付き合ってもらっちゃったせいで……
未央,なにー？このしまむーのお口のせいかー！
卯月,いひゃいいひゃいー！
凛,あはは、じゃあそのままお仕置きしておいてもらおうかな？
未央,がってんしょうちのすけー！
卯月,ごめんなひゃいいいー！
未央,でもさー、しまむーはもうちょっと早く着いてたのにね。何かあったの？
卯月,もう許して～！
凛,……何も無かったよ？
未央,おお～？ちょっと空いた間が気になりますな～？
卯月,やっと離してくれた……
凛,何も無かった。何も無かったんだよ……
未央,……あ、うん。なんかごめん……
瑞樹,はーい、HR始めるわよー
未央,きゃっほーい！お昼ごはんだー！
卯月,未央ちゃんいっぱい食べるねー
未央,モチロン！今日も助っ人だからねー♪
凛,さて、と。私も……
？？？,……ぴにゃ？
未央,どったのしぶりーん？お弁当忘れたー？
卯月,今何か聞こえたような……
凛,うん気のせいだと思うよ。今日は食欲無いし、後にしようかな
卯月,凛ちゃんのカバンじゃない？音鳴ってるのって……
凛,卯月も疲れてるんだよ。ほら、寝不足でしょ
卯月,うーん、そうなのかな？
未央,あ、そういえばさ。C組の加蓮ちゃん？また休んでるみたいでさ
卯月,あ、たまに会うよ。でも体が弱かったのは昔だって聞いたような……？
凛,ただの風邪でしょ？
未央,でも、最近よく遅刻とかしてるみたいなんだよね。結構心配されてるみたい
卯月,へー、確かに最近寒いもんね
未央,で！問題はそこからなのよ！
凛,問題？
未央,同じクラスの奈緒ちゃんがよくプリントとか届けに行くんだけど、最近は奈緒ちゃんも休みがちらしいんだ
凛,風邪がうつっちゃっただけなんじゃあ……
未央,ううん、奈緒ちゃんと加蓮ちゃんが休む日って、いっつも同じ日らしいんだよね
卯月,へー、不思議だねー
凛,偶然、とかじゃなくて？
未央,うん、２ヶ月くらいずっと。それでC組の方じゃ――
凛,……未央？未央、どうしたの？
卯月,――――
凛,何これ、教室全体が止まってる……？。それに、何だか薄暗いような……
？？？,暗転ぴにゃ
凛,あ、暗転……？って……
？？？,ようやく出られたぴにゃ。ひどいぴにゃ
凛,な、何？朝からずっと、何なの！？
？？？,まあまあ、まずは名前くらい名乗らせてほしいぴにゃ
ぴにゃこら太,ぴにゃはぴにゃこら太！歴史あるプロデュース妖精ぴにゃ！
凛,…………
ぴにゃこら太,おおう、いきなりガン見されたら照れるぴにゃ
凛,……あなたは、何か知ってるの？
ぴにゃこら太,もちろん！ぴにゃはこの時の為にキミを探していたからね！
