そのじゅうろく,渋谷凛の場合
凛,…
輝子,…
凛,ねぇ、輝子
輝子,な…なに?
凛,輝子ってさ、いつもここに居るんだよね?
輝子,う…うん…ﾌﾋ
凛,まゆがここはプロデューサーの匂いを楽しむのにはいい場所だっていってたんだ
輝子,う…うん、昨日も…来たね
凛,今さ、都合よく椅子にプロデューサーの上着が掛かってたからやりたい放題なわけなんだよね
輝子,う…うん///
凛,でさ、この上着出来たら持って帰りたいんだけど、流石にそれは駄目だよね、プロデューサーに迷惑だし
輝子,だ…だよね…ﾌﾋ
凛,輝子ってさ、ちっちゃくて抱き枕にちょうどよさそうだよね、抱き心地よさそう
輝子,う…うん?
凛,輝子いつもここに居るならプロデューサーの匂いしそうだよね…
輝子,えっ?えっ…!?
そのじゅうなな,吉岡沙紀の場合
沙紀,たしかPさんの机の下…だったっけな?。輝子ちゃんいるー?
輝子,ﾂｸｴﾉｼﾀﾉﾎｼｼｮｳｺｰ♪いるよー…ﾌﾋ
沙紀,おぉー…本当に居た！探しても居ない時は机の下だってPさんに聞いたんだ！
輝子,ﾌﾋ…ここは落ち着く…からね
沙紀,にしても机の下にチョコンて座っててすごいかわいいねぇ…
輝子,い…いや…褒められるのは…ﾊｽﾞｶｼｲ…ﾔﾊﾞｲﾔﾊﾞｲ…ﾌﾋ…
沙紀,いや、ホントに持って帰りたいぐらいだよ～♪
輝子,ﾌｯ…ﾌﾋ!?
沙紀,えっ!?輝子ちゃんどうしたの!?。落ち着いた?
輝子,う…うん…
沙紀,何があったかは聞かないでおくよ…
輝子,あ…ありがと…ﾌﾋ
沙紀,でさ！本題なんだけど今度お仕事で商店街のシャッターに絵を描くお仕事があるんだよ！
輝子,そ…そうなんだ?
沙紀,それでさ、輝子ちゃんってライブとかの時のあのメイク自分でやってるんだよね?
輝子,そ…そうだよ…ﾌﾋ
沙紀,プロデューサーがもう一人仕事に一緒に行く人を自分で決めろ―っていうんだけどさ。伊吹も忍も別の仕事入ってて無理だったしせっかくだし輝子ちゃんに頼もうかなって！。どうかな?
輝子,もちろん引き受けますよー…ﾀﾌﾞﾝﾋﾏﾀﾞｼ
沙紀,やった！じゃぁまずは輝子ちゃん持って帰っちゃっていいっすか?
輝子,…えっ?
そのじゅうはち,向井拓海の場合
拓海,おい、輝子
輝子,なっ…なんです…か?
拓海,出来る限り声を出すなよ…物音もだ…
輝子,…
拓海,あの野郎…あんな透けてるの水着なんか着れるかよ…次に見付かったら確実にいつものゴリ押しで着せられる…分ってるんだからな…
輝子,…
拓海,責めてPが思い直すまでは見つかりたくねぇ…。…
輝子,…
拓海,やることがねぇな…
輝子,拓海さん…やっぱりちょっと怖い…ﾌﾋ……
拓海,なぁ、輝子
輝子,ん…
拓海,お前ってちっこいよな、ちゃんと飯食ってるのか?
輝子,…!?
拓海,腰回りもこんなに細くてさ…
輝子,…///
拓海,んー…そうだな…。匿って貰ってる礼だ、今度アタシが飯作ってやるよ
輝子,えっ…う…うん
拓海,おう、約束な。ほら、指切りだ
輝子,う…うん…ﾌﾋ
拓海,チィ…あの野郎こっちに来やがる！。じゃあな！輝子！
輝子,…ﾊﾞｲﾊﾞｰｲ
番外そのさん,たくみんクッキング！
拓海,…好きって愛でるって意味でなのか?。やっぱりガッツリだよな…。あいつ細すぎんだよ…アタシと三つしか変わんねぇのに…。なんつーか…保護欲?。あのちっさいとことか…。すげぇ撫でまわしたくなる感じ…。でもアイツ…アタシの事間違いなく怖がってんだよな…。よっし、こんなもんか。…軽く5人前くらいあんな。輝子の奴を迎えに行ってやるか…。…笑顔で話してみたら…怖がられねぇかな…?。…たくみんスマーイル。よし！行くか！
そのじゅうきゅう,安斎都の場合
輝子,
都,これは…。たぶん…。おそらく…！。…事件ですねっ！。まず…被害者は星輝子さん15才。まず息があるのか確認しましょう
輝子,…ﾌﾋｨ……
都,生きてますねっ！。そして星さんの状態を確認しましょう！。机の下に無造作に転がされた状態…。そして上半身にはいつものキノコがプリントされたTシャツではなく可愛らしいブラのみ！。そして首筋には赤い痣…キスマーク…!?。これは…痴情のもつれから発生した事件なのでは!?。うーん…。…。…///。―――っ///。めっ…迷宮入りですねっ！
番外そのさん,凛ちゃんの開拓
凛,…。…輝子の匂いも、まぁ……。悪くないかな?
番外そのよん,沙紀さんのお目覚め
沙紀,…。…。…。…!?。…。…///。な…なんかクセに…なるかも?
そのにじゅう,白菊ほたる＆鷹富士茄子の場合
茄子,しょーぉこちゃん♪
ほたる,あ…あっそびーましょー♪
輝子,は…はぁい♪…ﾌﾋ
茄子,しょーこちゃんすりすり～♪
ほたる,す…すりすり～♪
輝子,んん―――!!
茄子,あぁん…輝子ちゃん机の下に逃げちゃった…
ほたる,無理やりは駄目ですよ…
輝子,さ…攫わない?
茄子,そんなことしませんって～♪
ほたる,とりあえず…なにして遊びましょうか…?
茄子,…！。ねぇねぇ輝子ちゃん！ほたるちゃん！。ここに一枚のハンカチがあるでしょ?
輝子,う…うん…ﾌﾋ
ほたる,ありますね
茄子,これを私の胸元に被せて…。こう引っ張ると…！
輝・ほ,…!?
茄子,ジェンガが出てきます～♪
輝子,茄子さん…すごいね…ﾌﾋ
ほたる,前は冷たいジュースとか出してくれたけど…アレどうなってるんだろ…かくし芸…だよね、手品?
輝子,そ…それにしても、なんでジェンガなの?
