モバＰ,出来たぞ、以降Ｐ表記だ！
芳乃,はいー、お誕生日の芳乃ですー
Ｐ,何か欲しいものは
芳乃,そなたがー
Ｐ,食い気味。流石に人身売買は無理だなぁ
芳乃,残念でしてー
Ｐ,本気だったんかい。ほらほら、他に何か無いか？何でも言
芳乃,歌舞伎揚げがー
Ｐ,食い気味っ。歌舞伎揚げなら戸棚にも冷蔵庫にも俺のガンプラケースの中にもみっちり入ってるだろ。まずはアレを食べなさい
芳乃,むむー
Ｐ,気持ち悪いぐらい簡単にちひろさんがオフくれたし、何処か連れて行こうか？。サイボクハムでも鉄道博物館でも菓子屋横丁でもスーパーアリーナでも
芳乃,ゴロゴロしましょうー
Ｐ,お前さん意外と出不精だよね
芳乃,そなたそなたー、ゴロゴロですー、ゴロゴロですー
Ｐ,ちょっ、力強い袖抜けるから。袖引っこ抜けるから！スギちゃんみたいな服になっちゃうから！
芳乃,ほーっ
Ｐ,袖ぇーっ！！
凛,すんすん……あれ、今日プロデューサー休み？
ちひろ,ええ、芳乃ちゃんの誕生日ですから
凛,あぁ…じゃあ仕方ないね。プロデューサー休ませてあげないと大変だもんね
ちひろ,本当ですよ。お仕事入ってますよ、って言ったら次の瞬間千葉県だけ急浮上しましたし
凛,ムテキゲーマーばりのチートだね、芳乃って
芳乃,ゴロゴロー。ゴロゴロですー
Ｐ,ええい、ズボンを引っ張るな！コッチまで破かれたら死んでしまう！社会的に！
芳乃,ごーろーごーろーでーすー
Ｐ,や、やめっ…ヤメロォ！！
芳乃,んにゅにゅ～……！。ほーっ！
Ｐ,よ、芳乃ーっ！
芳乃,でしてっ！
Ｐ,手ぇ滑らせてめっちゃ勢いよく転がって壁にめっちゃ頭ぶつけよった！
芳乃,うぅ～…っ
Ｐ,ど、どうした芳乃？何か今日は様子がおかしいぞ？
芳乃,痛いのでしてぇ～…
Ｐ,あーもう、ほれこっちこい。コブになってないか見てやるから
芳乃,痛いのでしてぇ…。ふきゃん！
Ｐ,今度は裾踏んでコケよった！
芳乃,………
Ｐ,ほ、本当にどうした？熱でもあるのか？
芳乃,……。…ぐすっ
Ｐ,ちょっ
芳乃,うわああああああああああんっ
Ｐ,マジでどうした芳乃！いや芳乃だよな？中に森久保とかほたるとか入ってないよな！？
茄子,お困りですね？
Ｐ,うわぁ！
茄子,あらあら…神通力が随分弱まっているので様子を見に来たのですが、これはまた
芳乃,でしてぇええええええええっ
Ｐ,茄子さん、芳乃に一体何が？あとお前さんは一体どこから
茄子,落ち着いてください。今事情を説明しますから
Ｐ,お前さん一体どこから
茄子,思っていたより随分深刻な症状ですね。様子見に来て正解でした
Ｐ,お前さん一体どこから！。…反動？
芳乃,むふーっ
茄子,はい。Ｐさんも薄々気づいていらっしゃるかもしれませんが、芳乃さ…芳乃ちゃんには少し特別な力がありまして
Ｐ,くそっ、既にツッコミ処満載なのにツッコンでると話が進みそうにない
芳乃,ほふーっ
茄子,芳乃さ…芳乃ちゃんは何て言いますか…その、割とポンポンと力を使ってしまっておりまして
Ｐ,せやね。ＲＸがリボルケイン抜いた時ぐらいの信頼感あるもんな
茄子,そもそも、その力はそう無暗に使ってはいけないものでして。…ただでさえ既にこの世界線はおかしくなっているというのに
Ｐ,ん？
茄子,あ、いえいえ何でもありません。続けますね？
Ｐ,うん、頼む
芳乃,でしてぇ…
茄子,日頃軽々しく力を使い過ぎているせいで力の反動、ツケと言ったほうがわかりやすいでしょうか。そういったモノが来てしまうのです
Ｐ,へぇ、初めて聞いたわ
芳乃,…すやぁ
茄子,本来ならありえない事なのですけど…よほど力を行使しているのでしょうね
Ｐ,意外と私利私欲で不思議パワー使っちゃうんだもんなぁ、この娘たら
芳乃,ふにゃ
茄子,…とまぁ、長々とご説明しましたが。簡単に言いますと。今日１日だけめっちゃヘッポコになります
Ｐ,分かり易っ
茄子,より分かりやすく言いますと、まゆちゃんよりちよっとヘッポコになります
Ｐ,それもうヘッポコの権化だよ
