モバマスより小早川紗枝,きつね
がっつりめの独自設定、ファンタジー要素、,有頂天家族
みく,せーのっ
紗枝,まぁ～。皆はん、おおきにな～
美穂,紗枝ちゃん、おめでとうっ！これ良かったら使ってっ
芳乃,今日の良き日に立ち会えしことー、心より嬉しく思いまするー
蘭子,遍く闇夜の獣達が、汝の産声に祝福を捧げているわ！
菜帆,あ、これとっておきの羊羹です～。これからもよろしくお願いしますね～♪
紗枝,あやや、こないぎょうさん……。もぉ持っとるだけでも一苦労やわぁ♪
周子,やっほ紗枝ちゃん、おめっとさーん
紗枝,あら、周子はん
周子,てことで、はいこれシューコちゃんから。良ければ使ったって
紗枝,これは……青牡丹の簪どすか？
周子,そうそう。紗枝ちゃんっていつもはピンクとか赤系のをよく使ってるからさ。たまにはこういう色をコレクションに加えてみるのも、一興か……みたいな？
紗枝,おぉ～……せやったら、こうして、こうやって。うふふっ。似合いますやろか？
周子,おお、似合う似合う！
未央,かわいい！
茜,いいですねぇ！！
藍子,一枚撮ってみましょうかっ♪
Ｐ,おめでとう紗枝。これは俺から
紗枝,まあ、松栄堂の掛け香！京を思い出すわぁ、おおきになぁ♪
楓,プロデューサー、もう一つの方はよろしいんですか？
Ｐ,もちろん言いますとも。この為に資料もまとめてきたし
周子,もう一つ……？
Ｐ,うん、実はな――。周子と紗枝の、新しいデュエット曲が出来ているんだ！
周子,へぇえ……？
紗枝,ほぉお……？
周子,――って新曲ぅ！？
Ｐ,曲自体はちょっと前にほぼほぼ出来上がってたんだけどな。せっかく紗枝の誕生日なんだから、これもサプライズプレゼントってことで
周子,あたしなんも聞いてないんだけど！？
Ｐ,相方が知ってたらサプライズ半減だろ
紗枝,あらあらあら、まぁまぁまぁ～
周子,あは、あははっ、粋な真似しちゃってこのぉ！
Ｐ,はっはっはそうだろ周子ギブギブ痛い痛い
奈緒,やったじゃんか二人ともっ！あたしも楽しみにしてるよ！
まゆ,まゆ達にお手伝いできることがあったら、なんでも言ってくださいねぇ
Ｐ,もちろんステージも用意してある。悪いがこれから大変だぞ
周子,はぁ～もう、悪い大人なんやから……寿命縮むわまったく
美玲,よく言うよ。楽しみでしょうがないって顔してるぞッ♪
紗枝,せやったらうちまた、周子はんと一緒に歌えるんやなぁ～
周子,そっか。こないだの春フェス以来だし、デュエットとなると、ひのふの……。……さてはナマっちゃいないだろうねぇ、お紗枝はん？
紗枝,んふふ、それはこっちの台詞どす～♪
扇子の使い方は自分の曲で多少心得があるけど、今回はまた細部が違う。まさに,細を穿つ
ちひろ,いましたか！？
美穂,い、いえ、どこにも……！
卯月,ひょ、ひょっとして何か、大変なことに巻き込まれちゃったとか！？
小梅,あの子も、飛んで探してみたけど……近くにはいないって……
加蓮,電話しようにも、スマホはここだもんね
美玲,近くの公園に買い物袋ごと落ちてた。アイツ、お遣いに行ってたんだ
響子,そんな、私が頼んだから……！
由愛,きょ、響子さんの責任じゃないです……！私が一緒に行ってれば……
周子,…………
凛,ねえプロデューサー、やっぱり警察に通報しよう。こんなの普通じゃないよ
Ｐ,いや、もう少し待ってくれ。……芳乃、わかったか？
芳乃,…………むー…………。いささか距離がありますゆえ、細かな位置まではまだー……
美穂,大雑把にならわかるの！？ど、どこっ！？
芳乃,はいー。これだけは、間違いなきことですがー……。紗枝さんは、京都に戻っておられますー
美穂,きょ
Ｐ,京都か。ちひろさん、すみませんが後は頼みます
ちひろ,行くんですか？
Ｐ,スマホも買い物もほっぽっていきなり帰省なんてありえませんからね。志希でもそこまでしない。すぐ探さないと。……芳乃、一緒にいいか？
芳乃,是非もなくー。行くなと申されましても、ついてゆく所存でしてー
Ｐ,みんなはいつも通りにしててくれ。事務所の運営に穴を開けるわけにもいかない。新幹線の時間は……最悪向こうに宿を取って……それじゃあ行ってき
美穂・蘭子,待ってぇーっ！！
Ｐ,グワーッ！？
凛,顔からコケた……！
美穂,わ、私も行きますっ！紗枝ちゃんを放ってなんておけません！
蘭子,魔道を分かつなかれ！我もあの者の盟友なりーっ！
Ｐ,ふぉ、ふぉまえふぁふぃ……
周子,あたしも行く。プロデューサーさんの言う通り、こりゃ只事じゃないよ。また何かおかしなことが起こってるかも
Ｐ,……
周子,まさか芳乃ちゃんだけ連れてって、ユニットメンバーを置いてくなんて言わんよね？
美穂,そうです！私と蘭子ちゃんだって同じなんですからっ！
蘭子,……！
芳乃,ふふ……そなたー、三人もこう仰っておりますがー
Ｐ,来るなって言っても……か。わかった、一緒に行こう
響子,本当に気を付けてくださいね……っ
まゆ,プロデューサーさん達に何かあったら、まゆ……
Ｐ,大丈夫だよ。ちょっと行って探してくるだけだから
智絵里,そ、そうだっ。茄子さんや楓さんに連絡すれば！
Ｐ,いや、あの二人はちょうど遠方でロケだ。邪魔するわけにもいかない
菜帆,京都はたぬきがたくさんいるって言いますから～。どうか化かされませんように～
周子,大丈夫だいじょーぶ、そういうの慣れてるから。なんならついでにウチの和菓子土産にするよ。ほんじゃねー
菜帆,周子ちゃん、あんまり気にしてないみたいですね～。ちょっと心配してたから良かったです～
Ｐ,この時点じゃまだ何もわからないからな。今から気負ってちゃ身が持たないさ
周子,…………
ありがと、と受け取る。おかかだ。アタリ,何入っててもアタリだけど
連絡手段が皆無な以上、頼みの綱は芳乃ちゃんの,失せ物探し
芳乃ちゃんは虚空に視線を巡らせて、たぶん彼女にしか見えない無数の,糸
人でも狸でも天狗でもない、それはきっと何か京の,表
見れば狐面はみな彼女に頭を垂れている。まさに,お姫様
やるべき,狐の仕事
芳乃ちゃんは先を催促しようとはせず、一つ一つに,はい
本当に本心から,飽きた
芳乃ちゃんが言う,霊脈
なんでもお堂が六角形だから,六角堂
へそ石様は泰然自若。なんだか,そんなこと言われてもなぁ
目元によく知る子の面影を見て、思わず,あ
花紺青,はなこんじょう
虚空に染みわたる声で、雪美ちゃんは,にゃあ
ピンときました。これは芳乃ちゃんの言ってた,霊脈
だって、,そこ
霊脈は大社を起点として地上を離れ、今にも消えてしまいそうな細い一本の線となって,上
芳乃,……よもや、月、とはー……。むむー？すまひょ。よっ、ほっ、ほー。できまして……申す申すー。美穂さんから聞きましたところー、いささか難しきことになっておりますー
楓なるほど……それは確かに、簡単に手出しできませんね。むーん,月だけに
芳乃,茄子さんは、まだ出雲におられるのでしてー？。いえ……よいのですー。いずれあの方に頼るわけには参りませぬゆえー。此は全て現世の営み。京には京の、守るべき理がありまするー。わたくし一人の力が及ばぬとて、何ほどのことがありましょう。みな、頑張ってくれております。一つ一つが協力し合えば、きっと道は拓けましてー。はいなー。感謝致しまするー。ふむ。さりとて、いかにしたものかー……
楓,さて、岩屋山と愛宕山は済みましたね。次は……。……そういえば、如意ヶ岳の薬師坊様は今どちらにお住まいだったかしら？
？？,あら、誰かと思えば！
楓,？
？？,久しぶりじゃない楓ちゃん。私よほら、相馬の
楓,まあ……夏美さん？帰洛してらしたんですか？
夏美,まあね。たまには実家に顔出しとかなきゃって思って。それよりどうしたの？旅行？
楓,実は、狐の屋敷に用がありまして……
夏美,狐って……あのヒキコモリ達がなんかやらかしたの？
楓,身内がお呼ばれされてしまったんです
夏美,あちゃー……妙なことになっちゃってるみたいねぇ。だけど、ちょっと面倒かもよ？こっちで騒ぎが起こると天狗が黙ってないじゃない。なにしろあいつら、京都の天下はみんな自分のものだって本気で思ってるもの
楓,ええ。ですので今、お土産を持ってご挨拶回りをしているんですよ。そうだ、夏美さんもご一緒にどうですか？みなさん喜ぶかも
夏美,どうかしらねぇ。嫌味か説教でも言われるのが関の山じゃない？天狗のくせに走るのが好きとか、京を出て飛行機なんか乗ってとか
楓,いいと思うんですけどねぇ。飛行はしてても、非行に走ったわけでもないんですから……ふふっ
夏美,連中にはそれが気に入らないのよ。鞍馬の下っ端なんて群れてばっかりでプライドだけ高いんだから
楓,それでは、ここでお別れですか？
夏美,うーん……いや、せっかくだからご一緒しようかしら。楓ちゃんが困ってるのに無視するのもなんだし。それで、渦中はどんな御大尽なわけ？大物陰陽師？それともまたどこぞの二代目？
楓,いえ、人間です
夏美,人間……人間って、ただの人間？
楓,ええ。何の変哲もない、人間が二人――
おかしなことに位置や角度に関わらず、どこから見ても,夜空に月
肩越しに向こうを見て、,げ
縦と横、上と下、前後左右の区別なく,お屋敷
芳乃ちゃんは一目見るなり,猫様とはー……
芳乃ちゃんと大福,と、あと誰？
けれど満月の午前零時にこそ、窓の外は本物の,京都の空
しかるに,偽
今ではまあ慣れたけど、あの,ごろごろどかーん！
お父はんが呟き、扇いではった扇子を,ぱちん
うちが牙を剥くより早く、お父はんが,鏡
工場に従事するたぬき、このままでは偽電気ブランが飲めんと憤るたぬき、なんやなんやと寄り付いた野次馬もとい野次狸,これが大半
夷川発電所の責任者,？
男の子の問いに志希ちゃんは,んにゃ～
と、メガホンたぬき,兄の方
