モバＰ,以降Ｐ表記ぽよ～☆
Ｐ,えーっと、空いてる席、空いてる席…
時子,…
Ｐ,…。……。よし、空いてないから諦めるか。ん？。…
時子,…
Ｐ,……。さてと、別の店探すか
時子,アァ？。あれだけしっかり目を合わせておいて無視しようだなんて、随分良い度胸してるじゃない
Ｐ,いやぁ、折角１人でのんびり飲んでるところを邪魔したらあかんかなぁ～、って。んで今更だけど相席で良かったのか？
時子,人の顔を見てコソコソ逃げる豚には一から躾し直す必要があるでしょう？今だけ我慢してあげるわ。額を擦り付けなさい
Ｐ,あ、トッキーそこのドリンクメニュー取って？
時子,もう一度そのフザけた呼び方したらこの店の裏メニューにしてあげるわ
Ｐ,サンキュートッキー
時子,ちょっと店員。厨房を使わせてもらうわよ
Ｐ,よく来るのか？この店
時子,そんな事貴方に関係あるのかしら
Ｐ,何かオススメとかある？
時子,手羽先と角煮丼かしらね
Ｐ,常連じゃねえか
時子,ハン、下種の勘繰りも良いところね。勝手に言ってなさい
Ｐ,すいませーん。注文いいですかー？
店員,わかった。今行く
Ｐ,あ、時子も何か頼むか？グラス空だけど
時子,いちいち煩わしいわね。身の程も弁えず対等ぶっているのかしら？
店員,待たせたな。注文を聞こう
Ｐ,とりあえずコーラと、冷奴とたこわさと…あと手羽先で
時子,浦霞、もう一合
店員,了解した。すぐに用意するのが店員のルールだろう
Ｐ,…時子さんや
時子,注文のタイミングが被っただけよ。それとも何？まさかこの私と一緒に飲めるとでも勘違いしているんじゃあないわよね？
Ｐ,いや、そこの今日のオススメ
時子,チッ
Ｐ,若い娘さんが舌打ちしなさんな。そんなチッチッやってるとまたちーちゃんとか呼ばれちまうぞ？
時子,そんな頭に何か涌いてるな呼び方するのは貴方と島村ぐらいよ
Ｐ,あー、刺身もいいなぁ…この時期だと鯛かな。お、カワハギもあるのかこの店。あー、でも肝ってちょっと苦手なんだよなぁ…
店員,お待たせした。コーラの注文はどっちだ？
時子,そこの豚よ
店員,わかった。それと冷奴とたこわさ。これはお通しだ。手羽先はもうしばし待て
Ｐ,ありがとうアッキーみたいな声の店員さん
店員,逆だ
Ｐ,乾杯するか？
時子,する訳ないでしょ。貴方、脳味噌入ってるの？
Ｐ,今年ももうすぐ終わりだし、お疲れさまでしたー
時子,…チッ
Ｐ,…ぷはーっ。この１杯の為に社畜してる…
時子,そこは普通ビールじゃないの？
Ｐ,ここでアイドルの為にじゃないのかよ
時子,貴方はそんな事絶対言わないじゃない。ちょっと、このたこわさ邪魔よ。もう少しそっちに寄せなさい鬱陶しい
Ｐ,時子もつまんでいいぞ？別に
時子,馴れ馴れしいわね。偶然顔を合わせただけで調子に乗りすぎじゃないの？
Ｐ,うわ、ここコカとペプシ両方あるわ…何、この無駄な品揃え
時子,豚の耳に念仏、なんて諺は聞いた事無いのだけど。人間様の言葉が聞こえないのかしら？
Ｐ,たこわさはそんなに辛くないから時子でも大丈夫だと思うぞ？ほら、試してみ？
時子,だから聞きなさいよ
Ｐ,太ももを抓って捩じるな！！。あ、手羽先美味っ
時子,ハッ、悪くは無いわ
Ｐ,当たり前のように俺の手羽先食われとる…
時子,…あによ
Ｐ,いや、いいんだけどさ
時子,下衆い視線を向けないでくれるかしら。肉が不味くなるわ
Ｐ,口にタレついたまま言われてもなぁ
時子,…さっさと手拭きをよこしなさい。そんな当然の行為も出来ないなんてね
Ｐ,拭いてやろうかコノヤロウ
時子,アァン？
Ｐ,太ももに箸を刺すなぁ！！。あと数日で今年も終わりでごぜーますよ…
時子,そうね
Ｐ,今年１年、色々あったよなぁ…まあ、仕事柄色々あって当たり前なんだけど。４８時間不眠耐久レースだの食事会だの、風邪引いて寝込んだ事もあったしモビルスーツの名前しか言えなくなったり…
