おっぱいネタ,アイドルのおっぱいが大きくなったり、小さくなったり
本番シーン,挿入とか
楓,Ｐさんって胸の大きい女性が好きなようですよ
瑞樹,楓ちゃん？どうしたの突然
早苗,ほーぅ...Ｐくんのことをそんな風に言うには何か根拠があるわよね？
楓,この前ロケ先でＰさんとお昼休憩をとっていたんですよ。Ｐさんが携帯を見ているときにスタッフさんが打ち合わせで彼を連れて行ったんです。
早苗,それでそれで～？
楓,テーブルに携帯を置いたままだったんです。まだ画面が開いている状態だったんで...興味本位で見ちゃいました♪
瑞樹,何してるのよ楓ちゃん...
楓,リーディングリストや検索履歴を見ていたら、それはもうバインバインがいっぱいでしたね。やっぱりＰさんも男の人ですね～♪
沙理奈,ふ～ん...これはイイ情報ね。
留美,くっ、私の胸では不利ね...こうなれば禁断のた○ごクラブひ○こクラブ作戦
礼,うふふ、久しぶりのサクランボ狩り
若葉,私は大人ですよ！
レナ,この中で一番のプロポーションなのは私...この強力な手札は有効に使わないとね...♪
美優,Ｐさんは...大きな胸が...好き？
未婚の未亡人で有名,？
楓,すみません美優さん、またお世話になっちゃいます♪
美優,もぉ～...慣れましたから...ひっく
楓,あら、まだお酒が抜けてないようですね。はいお水
美優,あなたのせいですからね...んくっんくっ...
楓,美優さんのかわいい反応を見るとつい...先に軽くシャワーを浴びてきてください。
美優,私の胸は...Ｐさんの好みになれるのかしら...
楓,隙あり！
美優,きゃあ！楓さん！？
楓,鏡の前でじっとおっぱい見つめちゃって...宴会で言ったこと気にしてます？それともちっちゃいおっぱいの私にあてつけですか？
美優,ちょっと楓さん！何しにきたんですか！
楓,気が変わりまして...一緒にシャワーを浴びようかと♪
美優,今日は特に予定はありませんが...Ｐさんに会いに行きましょう。
晶葉,ふっふっふ...ついに完成したぞ...！
美優,晶葉ちゃん、何をしているの？
晶葉,おぉ！美優さんじゃないか、ちょうどいいところに！。突然だが、将来の自分がどんな姿か興味はありませんかな？
美優,将来の自分…ですか？
晶葉,あぁ！今私が手にしているものは対象者の容姿と血液からどのような身体の変化があるか本人でシュミレーションされる機械なのだ！
美優,えぇ！？体型が変わるんですか？それに血液採取なんて…
晶葉,血液採取といっても血豆ぐらいの量です。体型が変わるのも持続効果はたったの3分！この機会に如何かな？
美優,…せっかくなので試してみてもいいかしら？
晶葉,ありがとうございます！では早速準備しましょう！
美優,きゃっ！
晶葉,すまない美優さん、眩しいと思うが我慢してくれ。まず手始めに30歳時の体型がいいですかな？
美優,えぇ、お願いします。
晶葉,あれ？さっきまで正常だったのに…おわっ！？
美優,何？！この眩しさ…！？
晶葉,大丈夫か美優さん！身体に異変はないか調べる！
美優,は…はい！
晶葉,こっこれは予想外だ…
美優,こんなに大きくなるなんて…
晶葉,どうやらその胸は妊娠…あるいは授乳期の状態のようだな…
美優,それにしても大きくなりすぎじゃ…
晶葉,聞いたことがあるが子供を授かる時、稀に大幅なサイズアップをする人がいるんだ
美優,妊娠したら私の胸がこんなに…。でも3分で戻るんですよね？服が破けてちゃいましたがなんとか…
晶葉,美優さん…申し訳ないが3分はとっくに過ぎている…
美優,えっ…それってつまり…
晶葉,いつその胸が元に戻るか私にも分からない
美優,今日は予定がなくて良かったです…あら？Pさんのデスクに…
綺麗に整理整頓されたＰのデスクに無造作に置かれた雑誌,ゼ○シィ
美優,ちゃんと恩返しをしたいです。一生を賭けてでも...。いたっ！胸が張って...苦しい...。晶葉ちゃんには後で伝えればいいでしょう...
P,すみません！事務所の中に誰かいませんか！。美優さん？今日はオフだったはずでは？
美優,えっと、なんとなくです。それよりお手伝いしますよ。いつも私たちのために頑張っていただいて...感謝しきれません...
P,どうってことないですよ！あっついでにこのポスター、ちひろさんのデスクに置いてもらえますか？。おっ？美優さん牛乳入れてくれたんですか。ありがとうございます！
美優,ッ！？！。ダッ...
P,ぷはーっ！
美優,～～～～っ！！！
P,あれ？いつもの牛乳と味が違う...美優さんこれどこで...美優さん！？。用事があるのを忘れていたのかな？それにしても白衣が似合ってたな～今度企画に出してみるか！。さっき飲んだもの...すっごい懐かしい味だったなぁ。なんだったけ？
三船美優,26
B：85cm,Dカップ
美優さんの母乳飲みたすぎて気が狂いそう...！,静かなる欲望
美優,はぁ…はぁ…。流し台で捨てれば良かった…。もしもし晶葉ちゃん？。本当ですか？。先ほど胸は元に戻りました。もう大丈夫ですよ。…えっ！？。いえ、こちらこそ貴重な体験をさせてもらいましたし…おあいこにしましょう♩。違う…！私が言いたいのは…！。おあいこですよ晶葉ちゃん。それも必要ありませんよ。それでは失礼します。なんで私はあんな嘘を…？。だっ誰！？。もう1人の私…？。欲望に…まさかあなたが電話であんな事を言ったのですか？。あのとき？それはどういう意味ですか？。成し得なかった事？さっきからあなたは何を言って…。あれは…偶然です…。違います！私は…私は…！。…もしもし？。頼みたいこと…ですか？。！。…。…はい♩Pさんが飲みたいのならいつでも用意しますよ♡。いえいえ、それではまた明日♩
