本田未央,おはよーございまーす
渋谷凛,おはよ、未央
未央,しぶりんおっはよー！……あれ？勉強中？
凛,うん、この前家族でクイズ番組を見てたんだけど、全然答えがわかんなくて、怒られたんだよね
未央,そうなの？ドンマイだね～。しぶりんの両親、そういうの厳しいんだ？
凛,いや、ハナコに
未央,犬に！？
凛,うん、アイドルだろうと、最低限の教養も持たずに生き残れると思うなって
未央,割と理にかなった怒り方だ！
凛,だから勉強中ってこと
未央,そっか、邪魔しない方がいいかな？
凛,ううん、大丈夫。せっかくだから、ちょっと付き合ってくれない？
未央,えっと……あんまり力にはなれないかもだけど、いいかな？
凛,もちろん。ありがと。じゃあまずは、歴史とかどう？
未央,おっけー！
凛,第1問！
未央,しぶりんが出題するの！？
凛,関ケ原の戦いは、東軍約88000人、西軍約85000人の戦であったと言われていますが
未央,うんうん
凛,では、東軍と西軍の人数を足すと何人？
未央,……え？
凛,……
未央,……。……173000人
凛,正解！！！
未央,しぶりんこれ歴史の問題じゃないよ！！！
凛,え？だって関ケ原だよ？
未央,歴史の皮を被った数学……いや、算数だよ！
凛,あ、ごめんごめん、うっかりしてた
未央,ジャンル詐欺も甚だしいよ……
凛,じゃ、次いくよ
未央,はいはい
凛,今、何問目？
未央,それこんな序盤に聞くやつじゃない！！！
凛,よく見るけど……
未央,そのフレーズは中盤～終盤に出るから威力を発揮するんだよ！？2問目で来られても引っかかるのは相当なバカだけだよ！！！
凛,そういう、失敗した人をあざ笑うような発言はいくら未央でも許せないな
未央,急に正義感出すのやめよう？確かにちょっと言いかたは悪かったけど
凛,第4問！
未央,さっそく数えられてない！！！
凛,というか第何問とかいらないね
未央,ノリノリでやっといて？
凛,問題です
未央,……
凛,みなさん頑張ってください。まだ黄色の方にも十分逆転のチャンスが
未央,そういうのいいから
凛,なぜ角を取らない！
未央,そういうのいいから！！！
凛,鎌倉幕府を開いたことで知られ、源義経を弟に持つこの人の名前は
未央,源頼朝！
凛,ですが……
未央,あー、引っ掛けかー……
凛,黒人で初めてアメリカ大統領になったのは？
未央,脈絡！！！
凛,わかんないの？
未央,そういうことじゃないよ！前後の脈絡！
凛,？
未央,頼朝どこ行ったのさ！？問題の後半にも関わってよ！！！
凛,引っ掛けだし……
未央,避けられない引っ掛けはただの初見殺しなの！！！
凛,そんなこというなら未央が出してみてよ
未央,そもそもそういう流れじゃなかったの……？
凛,江戸の40で
未央,そのシステム初耳なんだけど。えっと……じゃあいくね？
凛,ニューヨークへ行きたい
未央,そういうウルトラなクイズではないよ。主にフランスで活躍した画家で
凛,千利休！！！
未央,悪いのは耳？それとも頭？。わからないなら早押しはしちゃダメだよ
凛,挑戦した結果だから悔いはないよ
未央,あの流れで茶人を捻じ込むのが挑戦？ただの暴挙でしょ？
凛,次の問題を
未央,マナー悪っ！。もう、歴史じゃなくてもいいよね？
凛,うん、オールジャンルでいいよ。私の守備範囲に驚くだろうけどね
未央,守備をしてるようには見えないんだけどなぁ……。スポーツの問題です
凛,バスコ・ダ・ガマ！！！
未央,航海はスポーツじゃないよ！？。主にテニスなどで導入されている、選手が審判の判断に納得できない際に、ビデオ判定を求めることができる制度を何というでしょう？
凛,続けて
未央,もう終わってるよ
凛,オーディエンスを使います
未央,観客いないし！アレは4択の場合のみ活きるシステムだし！！！
凛,じゃあ、テレフォンで
未央,そこまでしなくていいよ！？
凛,電話、掛けてもいい？
未央,ええ……。別にいいけど、もしかして……
凛,もしもし？卯月？
未央,その状況把握力はどうなってるの！？
凛,本当に……？
未央,疑うなら聞くな！！！。どんどんアイドルから離れていくね！？
凛,じゃ、“チャレンジ制度”で
未央,正解だけどさ……
凛,ちょっと！もっと“間”を取ってよ！！！
未央,ええ！？
凛,本家はCM跨ぐんだよ！？
未央,本家とか別によくない！？
島村卯月,おはようございます！
未央,結局来るんかい！
凛,さっきはありがとね
卯月,いえいえ、テニスのルールから、飛行機の運転方法まで、何でも聞いてください！
未央,こういうのを守備範囲が広いって言うんだよしぶりん
凛,花の種類から、花言葉まで、まかせてよ
未央,よくその狭さで対抗したね！？
凛,じゃあ、卯月に問題を出してもらって、私と未央で勝負しようよ
卯月,いいですね！
未央,ええ……。まあいいけど……
卯月,ジャンルに希望はありますか？
凛,ケビン・コスナー！
未央,狭いよ！！！個人名はジャンルとは呼ばないよ！！！
卯月,わかりました！ケビン・コスナーの6500ですね！
未央,得点のインフレひどくない！？
卯月,1989年にアメリカで公開された、ケビン・コスナー主演の映画フィールド・オブ・ドリームス、ではこの映画の舞台となった州は
凛,アイオワ州！！！
未央,まさかのストロングポイント！？なんでそんなアメリカ中部に強いの！？
卯月,いつかの伏線が活きましたね！
未央,わざとでしょ！？
卯月,残念ながら、次が最後の問題です
未央,もうなんでもいいよ……
卯月,諦めちゃダメです！
未央,いや、諦めたとかじゃなくてね？
卯月,なんと、最終問題に答えると、71848672412623795点が手に入るんです！
未央,もうインフレどころかバグの領域だよ
凛,そんなんズルいわ～
未央,誰？
卯月,3％の確率で当たるガチャを、50回回しました。さて、当たりが１枚も出ないなんてありえるのでしょうか？
未央,しまむー
凛,え！？50連でしょ！？当たるに決まってるよね！？
未央,しぶりん！！！
凛,気づいたんだけどさ
未央,うん
凛,チームに卯月がいれば、私たちはもはや寝ててもよくない？
未央,元も子もない
