白坂小梅,13
Ｐ,……ふぅ、寒いなここは。いくらこの季節のロケとは言え、今日はより一層冷え込むとかなぁ……。やっぱ山は寒いんだな……あかん手がかじかむ……はぁ～っ。そっちは大丈夫か？十分防寒着つけてるとはいってもな
小梅,は、はい……だだ、大丈夫、です
Ｐ,……すっげえ大丈夫そうだな、ものすごい笑顔になってるけど……。何がそんなに楽しみなんだ？
小梅,だ、だって……今日泊まる予定、の、ロッジ……有名、なんです
Ｐ,ふむ……？どんな風に有名なんだ？
小梅,い、いろいろ見ることができるって
Ｐ,……………。な、なぁ小梅、今からでも泊まる所変えないか？
小梅,え……
Ｐ,お、俺そういうのすっごい苦手で駄目なんだよ……
小梅,た、楽しみに……してたのに……
Ｐ,うぐ……
小梅,たのしみ、だったのに……………
Ｐ,………い、いやぁ急にあのロッジに泊まりたくなったぞぉ！？ようし善は急げ行くぞー！！
小梅,ほ、ほんとですか……？
Ｐ,こ、小梅の笑顔があれば怖いもの無しさ！いいい行くぞぉ！
小梅,えへへ……や、やった……
Ｐ,……へぇ、怖い所っていうからもっとおどろおどろしいと思ってたら。造りはしっかりしてて、綺麗だな……
小梅,……♪えへへ……♪
Ｐ,……小梅もすっごいはしゃいでるみたいだし、俺が我慢すれば大丈夫か……。そうそう出るってもんじゃないだろうし。割とあの笑顔だけで怖い者なしってのも嘘じゃないな。はしゃいで奥のほういっちまった……奥に何があるんだろ？。おーい小梅ー？。どこいったー？おーい？……っかしいな、こっち行ったと思ったが……。ポォウ！！？？
小梅,えへへ……び、びっくり……しました？
Ｐ,こここ小梅ぇ？……もう心臓止まるかとおおお思ったぞぞぞ
小梅,う、うふふ、ドッキリ……大成功、です……
Ｐ,あ、あはは……あんまり脅かさないでおくれよ、ハハハ……。ふぅ……ほんとびっくりして死ぬかと思ったわ……。ん……小梅何読んでるんだ？
小梅,あ、えと、ロッジのあ、案内、です……
Ｐ,んー……どれどれ……当ロッジでは、恐怖体験を売りの一つにしております……。実際にあった出来事や、その他怖い話をお寄せ下さい……うわぁ
小梅,さっきの、びっくりした話……送る？
Ｐ,い、いやあれは恐怖体験だけどちょっと違うんじゃないかな……。……ん、下のほうに続きが。怖い体験はそういったシチュエーションで起こりますのでホラー・スプラッタのＤＶＤを。貸し出ししております。是非ご利用下さいいいいい！？
小梅,わぁ……！
Ｐ,な、なぁ小梅まさか借りｒ
小梅,か、借ります！借ります！！
Ｐ,oh...ﾃﾞｽﾖﾈｰ。…………こういう怪談とか怖い話は夏向けだよな。なんで、このめっちゃ寒い季節では借りる客なんて居ないワケで。もうね、よりどりみどりあかきいろ
小梅,♪……♪えへへ、こ、これもいいかも……♪えへへ
Ｐ,満面の笑みってこういう事を言うんだろうなぁ……。なんていうかね、もうこれ以上ないぐらい喜んでるのはいいんだけどね。手に持ってるのが、ホラー・スプラッタ・スナッフ各種ＤＶＤ……。その手のものが出なくても、あれだけで致死レベルの怖さ……
小梅,プ、プロデューサーさん、こ、ここ、これ一緒に、見ましょう……♪
Ｐ,ﾋｨｯ!?や、やっぱ俺も一緒に見るの！？
小梅,は、はい
Ｐ,逃げちゃだめだ逃げちゃ逃げちゃだめだ逃げちゃだめだ。じゃ、じゃあロッジで一緒にみみみ見ような？離れずに二人でみみ見ような！？
小梅,うんっ！
Ｐ,雰囲気だす為にあ、明かり消したぞ。おとうさんおかあさんさきだつふこうをおゆるしくださいぼくはきょうしんでしまうかもしれません。……じゃ、じゃあ準備もできたしＤＶＤ見るとしようか
小梅,うん……とと、とっても楽しみ……です
Ｐ,
小梅,♪
Ｐ,こここ小梅、離れるなよ？部屋暗くしてみみ見てるからあああ危ないからなななあ
小梅,♪大丈夫、です、見てて……楽しいです、から……
Ｐ,ひぃぃぃぃ！！
