？？,もふもふとは、何か？。それは、柔らかいこと。手触りがいいこと。癒されること。お布団、クッション、はたまたかわいい動物たちが持つ癒しの特性……。それならば、アイドルだって負けてないっ！！。もふもふクイーン決定戦とは、事務所に所属するアイドルの誰が一番もふもふなのかを決める戦いだぁーっ！！
未央,進行はわたくし、実況の本田未央と！
藍子,解説の高森藍子が務めさせていただきますっ♪
未央,ルールは簡単！。審査員であるプロデューサーのお膝に座り、誰が一番もふもふで癒されるかを判定して頂くのみ！
藍子,私達三人が、もふもふ点、癒し点、技術点の各１０点満点で評価させていただきますっ
Ｐ,なんでこんな流れになったかはさっぱりわからんが。やるからにはきっちり評価しようと思います
未央,もー、プロデューサーが言ったんだよ？死んだ目でパソコンの画面見ながら、
未央寒い……眠い……癒しが欲しい……もふもふしたい……,声マネ
未央,……って！
Ｐ,俺そんな墓場から這い出たゾンビみたいなデスボイスしてた？
未央,してたしてた。もーＴウイルス感染者もびっくり
Ｐ,しかしまあ、癒しが欲しいのは未央の言う通りだな……
未央,でしょ？そういうことで、さっそく選手一同の紹介といきましょうっ！
藍子,はいっ。第一回には、実に六人もの選手がエントリーしてくれました！
未央,まずは頼れる一番槍！ポジティブパッションより、日野茜選手だーーーっ！
茜,はいっ！！！お疲れのプロデューサーに私の元気をおすそ分けしましょうっ！！ボンバーーーーーッ！！！！
Ｐ,既に頼もしさに溢れまくっている
藍子,茜ちゃんの髪の毛はとってももふもふですから、今から期待が高まりますねっ
未央,もふもふ感ならこのアイドルは外せない！ツンデレ界のケセランパセラン？
奈緒,ちょっと待てええええっ！！
Ｐ,どうした全人類もふもふ代表候補
奈緒,勝手に変なのの候補にすんなっ！なんだよこれ！？あたしこんな大会に応募した覚え無いぞ！？
Ｐ,それだったらほら
加蓮,ごめんねー？奈緒、こういうのにうってつけだと思っちゃったからさぁ
凛,もふもふ度なら奈緒はハナコ以上だよ。大丈夫、きっと勝てる真顔
奈緒,だあああっ！友達が勝手に応募したパターンかよぉ！！
未央,続いては、一緒に寝るならコイツが強い！ふわふわねむねむ、妖精？それ以外？遊佐こずえ選手！
こずえ,ふわぁー……
Ｐ,大丈夫か？こずえ、おねむなんじゃないか？
こずえ,んー……だいじょぶー……。こずえ、もふもふなのー……。いやすー……いやされろー……
未央,次は期待の新星！もふもふ？いいや、プニョフワだ！なんと人と狸のハーフ、海老原菜帆選手ーっ！
菜帆,うふふ～。みんなを癒すのは、私の得意分野ですよ～？。熊本でお世話になったお礼、た～っぷりお返ししますね～♪
藍子,とっても高いゆるふわ指数を感じますね。これは、番狂わせの予感がします
未央,サラッと言ったけどゆるふわ指数って何？。さてさてこれは手ごわいぞ！毛並みの美しさなら誰にも負けない！由緒正しき京都のお稲荷、小早川紗枝選手ー！
紗枝,狐の冬毛はもっふもふなんやで～。プロデューサーはんも、これを機にたーんと味わってなぁ♪
芳乃,善き結果となることを、祈っておりましてー
周子,イェーイ、紗枝ちゃんガンバー
紗枝,いぇ～い♪
未央,そして最後に、今大会の大本命！プロデューサーへの気持ちも本命！？。熊本生まれのキュートな狸！Ｐ．Ｃ．ＳのＰぽんぽこ
美穂,ほほほ、本命って……っ///。お、おほんっ！小日向美穂です！狸の本気、見せちゃいますっ！
蘭子,毛深き霊獣の力、今こそ見せる時っ！
卯月,美穂ちゃーんっ、がんばってー！
響子,プロデューサーくんも応援に来ましたよー！
Ｐ,おお、懐かしのぬいぐるみボディよ……
小梅,プロデューサーさん……あの子がまた、体に入りたいって……
Ｐ,こいつ直接俺の脳内に……！？。ところでＰがぽんぽこ担当なら、ＣとＳは……？
響子,はいっ！私はクッキング担当です！
Ｐ,なるほど。なら卯月はさしずめスマ
卯月,シマムラ担当ですっ！
Ｐ,まんまじゃねーか！！
卯月,Ｐ．Ｃ．ＳのＳはシマムラのＳですっ！！
Ｐ,ううっ！可愛いから許したくなってしまう……！
未央,ぽんぽこクッキング島村……しまむーがオーナーかな？
藍子,なんだかうさんくさい洋食店さんみたいですねっ
未央,審査の順番は厳正なるクジ引きで決定します！
藍子,この割り箸に番号が書かれてあるから、皆さん引いてくださいね♪
未央,ちなみになかなかのもふもふ度を誇るウェーブヘアの一ノ瀬志希選手ですが。あたしプロデューサーに乗っかって正気でいられる自信ないにゃ～ってことで失踪しました
Ｐ,……今ＬＩＮＥ来たけどあいつ今フレデリカと北海道でジンギスカン食ってるって
周子,お、ええやん。おみやげ頼んどこ
