怪作,パープル式部
げに,マジ
時系列的には１巻と２巻の間ぐらいを想定してます,どうでもいい
奥村氏,けものフレンズの最終話はどうでしたか青木氏！
夏海,面白かったよ。ちゃんと大団円で終わってほっとしたね
鳥羽氏,次回への布石や残された伏線が気になりますなぁ！
奥村氏,ＤＶＤが出たら一気上映会いたしましょうぞ！
夏海,そ、そうだね
パペットマスター氏,フレンズに会える動物園の一覧表を刷って来たよ・・・
夏海,あ、ありがとう。と、言うわけでたまには動物園もいいかなって
式部,この愚か小町！
夏海,あいたっ！？
式部,確かにけものフレンズは名作。されど、貴女はそこから何も学んではおらぬ！サーバルちゃんがかばんちゃんから学び、かばんちゃんがサーバルちゃんから学ぶ……。婚活とてまた然り！参ろうぞかばんちゃん青木さん
夏海,はぁ……。かばんコス
式部,ここはやばんなちほーだよ！
夏海,はぁ？
式部,ここはやばんなちほーにしてさかんなちほー！けだものたちがけふもズッコンバッコンおおさかり！
夏海,あの、大声でそういうことを言うのはちょっと
式部,かばんちゃん青木さん
夏海,ええまぁ、それは
式部,まずヤってから考える……。貴女に足りぬものをこのちほーから学ぶがよいわ！
夏海,いや……そういうのをしたくないから結婚相談所に通うことになったんですケド
式部,他にも不正受給や偽装離婚が得意なフレンズもいるから選り取り見取りにございます
夏海,社会の闇！
式部,学ぶとは真似ぶこと……。けだものとのけものだらけのこのジャングルで生きる知恵を覚えることこそが婚活の力となりませうぞ
夏海,だから、そんな大声を出すと……
現地民,ｱｧﾝ?ﾅﾆﾐﾃｯﾀﾞｼｬｯｿﾞｺﾗｰ
夏海,す、すみません、すぐ帰りますから！？
式部,わーい！
現地民,ﾌﾞﾍﾞﾗｯ
夏海,な、何してるんですか！？
式部,さぁ、かばんちゃん青木さん
野犬,ｸﾞﾙﾙﾙﾙﾙ……
式部,貴様……いつぞやの畜生……
夏海,お知り合いですか？
式部,ここであったが百年目よ……藤原氏と私の尊厳、千倍にして返していただきましょうぞ……いざ！うみゃみゃみゃみゃみゃみゃ！！
野犬,ｶﾞﾂﾝｶﾞﾂﾝｶﾞﾂﾝｶﾞﾂﾝ
式部,いやあああああああああああ！
夏海,
式部,か、かばんちゃん青木さん
夏海,道具って、式部さんに無理矢理背負わされたこのリュックに……？
電マ,ｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞｳﾞ
夏海,帰ろう……
式部,あああああああああああああああ！
清リトル納言,終わりやで！
なんか急に,サーバル式部
彰子,ﾌﾞﾛﾛﾝﾌﾞﾛﾛﾝﾌﾞﾛﾛﾝ
式部,とまれーうごけー
彰子,ﾌﾞﾛﾛﾝﾄﾞﾁｬｯ
式部,ぐゑっ
