店員,ご注文はいかがなさいますか？
サターニャ,わたしアイスコーヒー！
ヴィーネ,ブレンドコーヒーで
ラフィエル,カフェオレと激辛からしシュー3つでお願いします
ヴィーネ,おい！
ラフィエル,冗談ですよー
ヴィーネ,ガヴリールってあれで結構優しいところあるじゃない？
ラフィエル,やさぐれてても心は天使ですからね。駄天してもなんだかんだタプちゃんやハニエルちゃんに対して面倒見いいですし
ヴィーネ,私が風邪引いた時は金欠なのに食べ物買ってきてくれたりして、ふと見せる優しさがたまらないのよ
サターニャ,わかるわ。お昼ご飯誘ってくれたし、割り箸取ってくれたし、七味唐辛子の美味しい食べ方教えてくれたし。調理実習の時に私がこけて皿ぶん投げてもフォローしてくれたし。クリスマスの時は縛られてる私にチキンくれたし、何より犬を飼えるように頼んでくれたそうじゃない
ラフィエル,サターニャさんだけそんなにずるい！
ヴィーネ,ガヴって小さくてふわふわで可愛くてギュってしたくなるわよね
サターニャ,そうね
ラフィエル,気がついたら腕が勝手に動いてますね
ヴィーネ,この前隙をみて抱っこしたらおひさまの匂いがしたわ
サターニャ,わたしも嗅ぎたい
ラフィエル,綺麗なガヴちゃんの時はお花の香りがしますよ
サターニャ,なにそれ嗅ぎたい
ヴィーネ,ちょっと強引にお願いしたらそのまま抱っこさせてくれたんだけど、恥ずかしいのか腕の中でう～～って唸ってたわ
サターニャ,かわいい
ラフィエル,かわいい。私が抱きついたらいつも殺すっていわれるんですけど
サターニャ,その胸のメロンちぎってから出直しなさい
ラフィエル,ヴィーネさんが羨ましいです
ヴィーネ,なるほど喧嘩売ってるのね。表でろ
ラフィエル,4巻の中の一枚絵ガウちゃんって可愛すぎませんか
ヴィーネ,あーー……
サターニャ,ふてくされた顔してリボン咥えてるやつよね
ラフィエル,どういう状況なのかは分かりませんがあの生意気な目付きがたまりませんよね
ヴィーネ,私携帯の待受にしてるわ
サターニャ,見せてよ
ヴィーネ,いいわよ
ラフィエル,……ふぐぉっ
サターニャ,んががががが
ヴィーネ,ごごごごごごご
サターニャ,ごめん、しまって。天使すぎて直視できない。目がつぶれるわ
ラフィエル,ヴィーネさんよく待受に設定できますね
ヴィーネ,極力見ないようにしてるの。おかげで目をつぶりながら操作できるようになったわ
ラフィエル,そうまでして待受にしている意味ってなんなんでしょう……？
