蘭子はオフの時は普通に喋,ろうと努力して
蘭子,煩わしい太陽ね！おはようございます！
飛鳥,おはよう
乃々,おはようございます…
モバP,ああ、おはよう。みんな揃ってるな。今日は雑誌の仕事だが森久保は逃げるなよー
乃々,あうぅ…今すぐ帰りたいんですけど…
モバP,目線に関しては配慮してもらうよう頼んであるからさ。インタビューよりは撮影の方がマシだろ？
乃々,どっちもむーりぃー…
蘭子,我が友よ、此度は共に覇道を歩まざるか？今日はプロデューサーは来られないんですか？
モバP,ああ。まだ事務仕事が間に合わなくてな…送迎はしてやれるんだが撮影の間傍にいるのは、な
飛鳥,まあ仕方ないさ。キミがいなくても何とかやってみせるよ。ね、乃々？
乃々,うぅ…すごく不安なんですけど…今から緊張が…
モバP,大丈夫だ森久保！やればできる！お前なら絶対出来る！俺はそう信じてるぞ！
乃々,あうあう…
飛鳥,…ファッション誌の仕事だよね？ちょっと大袈裟すぎないかな
蘭子,然り…されど妖精の意欲の源なればそうだね…でも乃々ちゃんいつもあれでやる気になるから
飛鳥,あれで乗せられるあたり乃々は押しに弱いよね
モバP,っと、いかんいかん。熱くなりすぎたな。さ、皆行くぞー
乃々,あうぅ…わかりました…もりくぼも覚悟を決めます…
モバP,さて、と…
ちひろ,あら、プロデューサーさん。どうしたんですか？今日は3人の撮影じゃ…
モバP,そうなんですけどちょっと事務の方溜まってますよね？手伝おうと思いまして
ちひろ,うーん、私としてはありがたいんですけど…いいんですか？
モバP,蘭子たちですか？大丈夫ですよ。俺がいなくてもちゃんとやり遂げてくれます
ちひろ,仕事のこともですけど、最近こっちの手伝いばかりであまりあの子たちと話したりしてないんじゃないですか？
モバP,言われてみればそうですね…最近はレッスンも見てやれてないですし…
ちひろ,女の子は繊細なんですから。お手伝いしてくださるのは嬉しいですけど、ちゃんとあの子たちのことも見てあげてくださいね
モバP,はい、わかりました…というかなんでこの規模の事務所で事務員がちひろさんだけなんですか？
ちひろ,それはまあ…いろいろとありまして…
モバP,やっぱ社長に掛け合った方が
ちひろ,うーん、どうしましょうか…でも人手を増やすとその分支出が増えますし…。でもこのまま私一人でやってもそのうち仕事が回らなくなってかえって効率が落ちる…？ここは必要経費として…
モバP,ちひろさん？あのーちひろさーん？聞いてますかー？
ちひろ,ドリンクの収入が…ﾌﾞﾂﾌﾞﾂ…プロデューサーの皆さんの給与が…ﾌﾞﾂﾌﾞﾂ…
モバP,…まあいいか。さて、仕事仕事…
蘭子,我が友よ！魔王の凱旋なるぞ！プロデューサー！ただいま戻りました！
飛鳥,ボクらは魔王の側近か何かかな。ただいま
乃々,お仕事は無事終わりました…ので、もう帰ってもいいですか…
ちひろ,あら、みんなお帰りなさい。でも残念ですね。プロデューサーさんならたった今さっき出られましたよ。
蘭子,それは真実か魔に染まりし女神よ！して我が友は如何なる旅路なるや？本当ですかちひろさん！それでプロデューサーは？
飛鳥,本当ですか？それならプロデューサーは何処に？と言ってるよ
ちひろ,ちょっとNG組担当のPさんが過労…もとい体調不良みたいで急にお休みになってしまったので急遽代理として付き添いに行っているところですね
乃々,魔に染まりし女神…あわわ…
蘭子,過労…プロデューサーは大丈夫なのかな…
飛鳥,……
ちひろ,3人とも今日はこのあと何もないですよね？プロデューサーさんが戻るまで待ってますか？
飛鳥,ふむ…蘭子、乃々、どうする？
蘭子,名残惜しき時よ…されど友の呪縛となるわけには…ちょっと寂しいけど…でもプロデューサーさんもお疲れかもしれないし…
乃々,私も同意見ですけど…プロデューサーがいつ戻るかもわかりませんし…
飛鳥,…そうだね。それじゃあ今日はもう帰ろうか
ちひろ,ごめんなさいね、私の管理不足で…これからはこういうことのないようにするから
飛鳥,いや、ちひろさんのせいじゃないさ。それじゃ、お疲れ様でした
ちひろ,はい、お疲れ様でした。気を付けて帰ってね
乃々,ていうかなんでわざわざ体調不良って言い直したんでしょうか…
ちひろ,だって過労って言ったら事務所のマイナスイメージが強くなるじゃないですか
乃々,！？
トレ,はーい、それじゃ今日のレッスンはここまで！お疲れ様ー！
飛鳥,ふう…2人ともお疲れ様
乃々,はっ…はっ…お、お疲れ様です…
蘭子,闇に飲まれよ…妖精よ、清き生命の滴を！お疲れ様…乃々ちゃん、水、水！
乃々,あ、ありがとうございます…んくっ、んくっ
飛鳥,…今日もプロデューサーは来ない、か
乃々,んくっ…ぷはっ。やっぱり飛鳥さんも寂しいですか…？
飛鳥,まあ…それはね。蘭子もだろう？
蘭子,自明の理…我が友は苛烈なる戦禍に飲まれたか…もちろん…プロデューサーさん最近忙しそうだよね…
乃々,そうですね…何かにつけて事務仕事だとか他のユニットの付き添いの代理だとか…
蘭子,…えっと、2人は最後にプロデューサーさんとお話ししたの、いつごろか覚えてる？
飛鳥,それは…仕事の前の挨拶とか、そういうのは含めない、ってことでいいかな？
蘭子,うん…私はもうひと月くらい前だった気がする…
乃々,私は…同じくらい…？
飛鳥,ボクは…。っ…ボクも…それくらい…かな
蘭子,そっかぁ…プロデューサーさんちゃんとどこかでお休み取れてるのかなぁ…
乃々,…あれ、飛鳥さん顔色が…大丈夫ですか…？
飛鳥,えっ、あ、うん。レッスンの後でちょっと熱っぽいだけだよ。さ、そろそろ帰ろうか
蘭子,…そうだね。いつまでも残ってるわけにもいかないし
乃々,今日は帰って休みましょう…あうぅ…
飛鳥,…ボクよりも乃々の方が大変じゃないかな。プロデューサーは？
ちひろ,出張で一週間ほど長野へ行ってますよ
蘭子,我が友よ！プロデューサー！
ちひろ,えっと…プロデューサーなら新人アイドルの研修に…
乃々,プロデューサー…はいないですか…そうですか…
ちひろ,ごめんなさいねー。ライブの後処理で追われてて…
飛鳥,……はぁ
乃々,あの…コーヒー淹れてきましたけど…
蘭子,乃々ちゃんありがとう～
乃々,あうあう…は、恥ずかしいです…やめて…
飛鳥,……今日でどれくらいになるかな
蘭子,…プロデューサーさんのこと？
乃々,この間レッスンの時に話した時から…えっと、また2週間くらい…？
飛鳥,…いくらなんでもおかしいと思わないかい？
乃々,…まあ、正直なところ…
蘭子,ヘン…だよね。
飛鳥,何かあったのかな…と言っても仕事は必要以上にやってるよね
乃々,体調が悪いとかってのも聞かないですよね…
蘭子,うーん……！天啓は来たれり！わかった！
飛鳥,何か心当たりでもあるのかい、蘭子？
蘭子,…望まざる世界線への干渉であるが…あんまり考えたくないことだけど…
乃々,…な、なんですか…
蘭子,…ん、ごほん。もしかして、私達が無意識に何かやっちゃったんじゃないかなー…って
飛鳥,…うん？
乃々,えっと…つまり私達の誰かが？
蘭子,または全員かもだけど…何かやっちゃって
飛鳥,…それでプロデューサーが仕事を言い訳にボクらを避けてる、ってこと？
蘭子,うん…やっぱり違うかな？
乃々,もりくぼは…特にこれと言って思い浮かばないですけど…
蘭子,うーん…私は…どうだろう…
飛鳥,いくらなんでもそんなことあるわけが―――。……ないだろう
乃々,……
蘭子,……
飛鳥,……
蘭子,…羽鳥よ、異質なる気配を感じるが？飛鳥ちゃん、何かあったね？
飛鳥,ないよ
乃々,明らかに様子がおかしいんですけど…何かありましたよね？
飛鳥,ないよ
蘭子,真実の言霊は喚ばれずか…なれば我が魔を以ってして！本当のこと言わないと…こうだよ！
飛鳥,ちょっ、蘭子そこは、っく、くく、や、んぅっ、どこ触って、やめ…
乃々,…もりくぼも蘭子さんに加勢しますね
飛鳥,乃々まで、や、待っ…あは、あはははは！！わかった、わかったって！は、んんっ、白状するから！
蘭子,…本当に？
乃々,…本当ですか？
