白菊ほたる,明日は新曲のお披露目ライブ……
ほたる,緊張してきたけど……ううん、頑張ってきたんだもん。きっと上手くいく……！。予定としては……朝イチでレッスン場に行って最終確認。お昼にサポートメンバーとして出てくださる朋さんと智絵里さんと合流。そのまま会場に入って、リハから本番……。うん、大丈夫……。今日はもう寝よう。目覚ましを……ちょっと早めの7時でいいかな。おやすみなさい……。ん……。うぅん……。目覚まし……鳴る前に起きちゃった……。時間は……。……。……。……？。……。……最近の朝3時は随分明るいんですね……鳥さんも早起きで。……。……。スマホ……。……。……。あわわわわわわ！！！！！！。で、電池切れ……！？この前代えたばっかりなのに……！。寝ぐせは……少ないから適当に水つけて……服……適当でいいや……！。朝ご飯は……えっと……れ、冷蔵庫っ。あ、ゼリーがあった……。ってぬるい……！冷蔵庫、また壊れちゃった……？。ぎ、逆にいきなり冷たいものをお腹に入れる方がよくないかもだし……！。よし……！カバンは昨日のうちに用意しておいてよかった……。行ってきます……！。うぐぅ……っ！！！
運転手,だ、大丈夫かお嬢ちゃん！！！今救急車を
ほたる,へ、平気……ですっ……！
運転手,！？
ほたる,すみません、急いでいるので……！
運転手,？？？？？
ほたる,はあ……はあ……走れば……間に合いそう……。……むっ！。ふぅ……誰も巻き込まなくてよかった……。はあ……はあ……。ひゃっ！？。黒猫……びっくりした……。ふぅ……着いた……。なんとか間に合ってよかった……。うべぇっ。うん、大丈夫。本番も頑張ろう……。時間は……まだ平気。待ち合わせは駅だから、まだ出なくても……。……ううん、早めに出よう。ある程度のアクシデントは織り込まなきゃ……！
妊婦さん,うぅ……！産まれそう……！！！
おじいさん,ああ……荷物が重くて歩けない……！
お姉さん,うっ……急に体調が……
子ども,うわーん！おかあさーん！！！
ほたる,。だ、大丈夫ですか？今救急車を呼びましたので！もうちょっとの辛抱です！。お、お荷物、お持ちしますね。向こうに行きたいんですか？おんぶしますから……。平気ですか？これ、お水です……日陰で休んで、戻らないようなら病院に……はい、肩を貸しますから……！。だいじょうぶ？お母さんとはぐれちゃったの？あっちに交番があるから、おまわりさんに助けてもらおうね？。ふぅ……疲れた……とりあえず駅に……
妊婦さんB,うぅ……！産まれそう……！！！
おじいさんB,ああ……荷物が重くて歩けない……！
お姉さんB,うっ……急に体調が……
子どもB,うわーん！おとうさーん！！！
ほたる,もう！！！！！！。そのドラクエの敵キャラみたいなカウントをやめてください……！！！。えっと、とりあえず……えっと……。へ？
五十嵐響子,確か今日って、新曲のライブでしたよね……？
ほたる,き、響子さん……えっと……その……
響子,？……あっ
ほたる,す、すみません、あの……少しお手伝いをしていただけると……その……
響子,いえ！ここは私が引き受けます！ほたるちゃんは会場に向かってください！
ほたる,え……？
響子,せっかくファンの皆さんも楽しみにしているんですから。ね♪
ほたる,き、響子さん……！
響子,きゃっ！……ふふっ、ライブ、頑張ってね
藤居朋,ほたるちゃん、遅いわね……
緒方智絵里,はい……何か事件に巻き込まれちゃってたらと思うと……おもしろ……ｺﾞﾎﾝ、心配ですね……
朋,智絵里ちゃん？
智絵里,あっ！ウワサをすれば、あっちから走ってくるの、ほたるちゃんです……！
朋,あ！本当ね！ちょっと遅刻だけど、そんなに焦んなくていいのに……
ほたる,朋さーん、智絵里さー。ぐばぁ……っ！！！
朋,ほたるちゃん！！！！！
ほたる,ギリギリ青信号だったはずなんですけど……
朋,点滅の時は渡らないほうがいいわよ……
智絵里,プリウ◯……高齢者……信号無視……急加速……役満ですねっ
朋,智絵里ちゃん。と、とにかく、会場に行きましょ？
ほたる,そ、そうですね……あの、今日はよろしくお願いします
朋,どうしたのよ？そんなにかしこまっちゃって
智絵里,ほたるちゃんは主役なんだからっ
ほたる,……はいっ
朋,あ！乗っちゃおう！
智絵里,は、はいっ
ほたる,そうですね。べへぇ
朋,ほたるちゃん！！！
ほたる,ふふぃふぁふぇん……
朋,ほたるちゃん！挟まってる！アイドルがしちゃいけない顔になってる！
智絵里,だ、大丈夫！？
朋,本当に心配してる！？。ち、ちょっと！挟まってる人がいるんですけど！。鬼か！！！
智絵里,どうしてちょっと考えてます
朋,さて、ここからは、えっと……
ほたる,バスが会場の最寄りまで出ています。今からだと、5分後くらいですね。逃しても10分程度で次が来るはずです
智絵里,おおー
朋,さすがね！
ほたる,クセみたいなもので……
朋,じゃ、早速バス乗り場に。……
智絵里,……
ほたる,……
朋,今日の天気予報は……？
智絵里,”全国的に晴れ。日差しの強い1日になるでしょう”……と
雨予報の裏をかいて、傘をあえて忘れるなどの対策が必要です。,その場合は降水確率に80%のバフがかかります
ほたる,……すみませ
朋,智絵里ちゃん、傘持ってるー？
智絵里,いえ……駅の売店で買いましょうか？
朋,ま、そうね！
ほたる,あ、あの、お金は私が……
朋,何言ってんのよ！お姉さんに任せなさい！ちょっと買ってくるわね！
ほたる,あ、ありがとう……ございます……
朋,お待たせ！
ほたる,は、早い……！
朋,でも売り切れちゃってて、2本しか買えなかったの……悪いけど、どっちかはあたしとあいあい傘に……
智絵里,……
ほたる,……
朋,待ってこれ前にも同じことなかった！？。先に言っとくけど、ケンカするくらいなら……って、あれ？。……
智絵里,……
ほたる,……
朋,ま、まあ、いつ降りだすかもわかんないし……
ほたる,す、すみませ
智絵里,あっ、乗るバスってあれですか……？
朋,わ！もう時間じゃない！すみませーん！乗りまーす！
智絵里,すみませんっ
ほたる,の、乗りますっ。ぐえぇ
朋,ドアというドア全部に挟まれてない！？。着いた～！
智絵里,時間どおりですねっ
ほたる,バスジャックに会わなくてよかったです……
朋,普通の人はバスジャック考慮しないんだけどね
智絵里,とりあえず、お昼にしませんか？
朋,そうしよっか！
智絵里,ちょうどお弁当も用意されてますっ
ほたる,お腹空きました……
朋,あれ、ほたるちゃん、珍しいわね？
智絵里,朝ごはん、食べてないの……？
ほたる,朝は……少しバタバタしていまして……
朋,じゃ、食べちゃいましょ！
智絵里,いただきますっ
朋,いただきまーす！
ほたる,いただきます……！。……あ
朋,あら……変な形に割れちゃったね……
ほたる,で、でも、食べれますから……
朋,あたしがあーんしてあげよっか？なんて♪
ほたる,そ、そんな……
智絵里,ふんっ！。わ、わたしの割りばしも変な形にっ！！！
朋,折ってたよね！？。お！ほたるちゃん、似合ってるわね～
ほたる,こんな綺麗な衣装……いいんでしょうか……
朋,そんなこと言っちゃダメよ！まあ、一緒の衣装を着れないのはちょっと残念だけど……
智絵里,今日はほたるちゃんのライブだからっ
朋,うんうん！あたしたちはあくまでサポート！それに、おそろいのブレスレットがあるでしょ？
智絵里,はいっ
ほたる,そ、そうですね、このブレスレットがあれば……。ふぇぇ……
朋,あらあらあらあらかわいい
智絵里,あらあらあらかわいい
ほたる,ごめんなさい……
朋,はい、これで全部のはず！本番までに直してもらおっか！
ほたる,ありがとうございます……
朋,ほらほら！下向かないの！きっと、これから起きる悪いことの代わりに壊れてくれたのよ！ね？
ほたる,あ……は、はいっ……！。いよいよ……ですね……！
朋,……
智絵里,どうかしましたか……？
朋,いや、こういう時、だいたいあの本番始まる2秒前からしかカウントしないスタッフがいるんだけど……今日はいないみたいね
ほたる,そう何回もお仕事が重なるとは思いませんが……
朋,ま、それもそうよね！じゃ、がんばりま
スタッフ,本番5秒前～！！！
朋,いやちょっと伸びてるけどそれでもギリギリすぎない！？
スタッフ,あ、2秒前のスタッフは僕の兄です！
朋,ろくでもない兄弟もいたものね！！！！！
ほたる,ーーありがとうございましたっ。それでは、次の曲を歌いたいと思います。……新曲ですっ！
朋,ふぅ……あたしたちの出番はもう終わりね
智絵里,はいっ
朋,あとはほたるちゃんが新曲を歌うだけ……！ま、ちっちゃいトラブルはあったけど、進行に問題はなさそうでよかったわ！
智絵里,そうですねっ！
朋,……あれ？智絵里ちゃん、今何か言った？
智絵里,へ？いいえ、何も……？耳鼻科ですか？精神科ですか？
朋,あたしのどこかが狂ってる前提やめない？。ほら！何か聞こえる……！
智絵里,ほ、本当ですね……
朋,ステージの方から……っ！？
ほたる,では……。聞いてくださ。きゃっ！？
朋,ほ、ほたるちゃん！！！！！
智絵里,笑ってあげるねっ！！！
朋,それ本人が無事だった時だから！どう見ても巻き込まれてるでしょ！！！。ほたるちゃん！大丈夫！？
智絵里,よいしょ……よいしょ……
ほたる,だ、大丈夫です……
朋,はい、手！起き上がれる？
ほたる,ありがとうございます……
智絵里,あはははは
朋,無事を確認した瞬間笑うのも怖いから！
ほたる,……すみません……私の……せい
朋,あー、マイクテストーマイクテストー！
智絵里,あ、通じてますっ
朋,お！ラッキーね！音、出そうー？。うんうん！じゃ、ダメそうなのはステージ後ろのモニターと真上の照明くらいかしら？
智絵里,強い会場ですねっ
