コンコン、と楽屋のドアを叩くと,はーい、どうぞー！
卯月,改めまして春香ちゃん、今日はよろしくお願いします
春香,こちらこそ卯月ちゃん、今日はよろしくお願いします
卯月,でも、こうやって一緒にテレビのお仕事するのって久しぶりだよね！
春香,そうだねー！フェスとかある時はたまに会ったりするけどね！。こうやって一緒にテレビのお仕事するのは・・・夏以来かなぁ？
卯月,そうそう！フェスだと楽屋も事務所ごとだし、忙しくて話す時間ないもんね！
春香,だから私、今日とっても楽しみだったんだ！
卯月,私もー！
春香卯月,・・・えっへへー！！
春香,でも卯月ちゃん、最近どうだった？
卯月,もうお仕事いっぱいで大変だよー！。昨日もここで歌番組の収録あったし、お仕事ない日は大体レッスンだもん！
春香,そうだよねー、毎日お家帰るときにはクタクタだよね！。でもさ！
卯月,うん！楽しいよねー！
春香,ねー！
卯月,あっそうだ！今日、私お菓子作って来たんだ！。はいっ、マドレーヌ！
春香,わあ！美味しそう！
卯月,えへへ、ありがとう！
春香,そうそう、私も今日作って来たんだよ！
卯月,ホント？やったあ！春香ちゃんのお菓子美味しいから、とっても楽しみだよ！
春香,えへへ、それほどでも・・・。ちょっと待ってねー、荷物向こうの隅っこに置いてるから。って、うわあ！
卯月,ちょっと、春香ちゃん大丈夫！？
春香,あいたたた・・・うん、大丈夫
卯月,どうして何も無いのにこけちゃうの！？
春香,あはは、何でだろうね？
卯月,でもこの前テレビでやってたけど、春香ちゃん、普通の人だったら絶対こけそうな所だとこけなかったよね？
春香,ああ、あの企画？・・・あれ、何も知らされないであんなヘンテコな道歩かされて大変だったんだよー！。それはともかく、はいっ！
卯月,えっ、水筒が2つ？。そういえばさっきこの楽屋に入ってきた時にガチャガチャ音がしてたのって、それだったんだね
春香,そうだよ！結構重かったんだよねー
卯月,それで春香ちゃんこれ何？
春香,ふっふっふ、これはね・・・ぜんざいだよ！
卯月,えっ
春香,ぜんざいだよ、ぜんざい！
卯月,
春香,・・・もしかして卯月ちゃん、ぜんざい好きじゃなかった？
卯月,い、いや！ぜんざい好きだけどさ、まさかぜんざい作って来るとは思わなかったから！
春香,実は、お母さんが知り合いから小豆貰ったんだ！それで作ってみたんだよ！
卯月,そうなんだー！。それで、もう1つの水筒は何が入ってるの？
春香,こっちはね、ほうじ茶が入ってるんだ
卯月,ほうじ茶？
春香,うん！雪歩が淹れてくれたんだ！
卯月,あの雪歩ちゃんが淹れてくれたの？
春香,そう！って、あのってどういうこと？
卯月,いや、この前未央ちゃんが言ってたんだけどね。未央ちゃんが雪歩ちゃんと同じドラマの撮影があったんだ。それで、晴れた風景のシーンで撮るつもりだったんだけど、かなり強い雨が降ってて撮影できずにみんな控室にいたんだって
春香,うんうん
卯月,あんまり時間が経っても雨が止まなくて、俳優さんとかスタッフさんがちょっとイライラし始めて現場がピリピリした雰囲気に・・・
春香,うわあ居づらいよね・・・そういう時って
卯月,そうしたら雪歩ちゃんがパッって立ってどこかに行って、しばらくして帰ってきたらお茶を淹れて来たんだ！。一人ひとりにお茶を手渡していって、みんなそのお茶飲んでいくうちにそれまでのピリピリした雰囲気がどっかに行っちゃったらしいよ！
春香,分かる～！雪歩のお茶って飲んだらほっこりするんだよね！
卯月,未央ちゃんもあのお茶はスゴい！ってこの前力説してくれたんだよね
春香,あははっ、力説か～・・・そうそう、そのお茶なんだけど、雪歩ってお茶のことになったら凄いんだよ！
卯月,凄い？
春香,今日の朝にこのお茶淹れてくれたんだけどね、その時も出来るだけ新鮮な状態で飲んでほしいから、この水筒は飲むまで絶対に開けないでねって釘刺されて・・・
卯月,すっごくこだわってるね・・・
春香,そんなこだわりの雪歩のお茶、楽しみにしててね！
卯月,うん！春香ちゃんのぜんざいも楽しみにしておくよ！
春香,ありがとう！もちろん、卯月ちゃんのマドレーヌもね！
卯月,それじゃあ、私のマドレーヌからどうぞ！
春香,うん！じゃあ・・・
春香卯月,いただきます！！
春香,ｱﾑｯ・・・うん！美味しい！すっごく美味しいよ卯月ちゃん！
卯月,ホントに？ありがとう！
春香,しっとりしてて、甘すぎなくて、これだといくらでも食べられちゃうかも！
卯月,えへへ・・・そんなに褒められちゃうと流石に恥ずかしいかも
春香,ねえ、もう1つ食べて良い？
卯月,いいけど、スタッフさんとかプロデューサーさんの分まで食べないでね？。そろそろ、春香ちゃんのぜんざいと雪歩ちゃんのほうじ茶が飲みたい！
春香,分かった！じゃあ、ぜんざいとほうじ茶注ぐね？。ごめん卯月ちゃん、バッグから紙のお皿取ってくれる？
卯月,いいよー・・・はいっ！
春香,ありがと！
卯月,そういえば、紙のお皿4枚持って来たの？
春香,うん！私と卯月ちゃんと、私と卯月ちゃんのプロデューサーさんの分だよ！。流石に、スタッフさんの分のぜんざいまでは作れなかったよ・・・。次のお仕事の時にはみんなの分のクッキー作ることにしようっと
卯月,あ、私のプロデューサーさんの分まで・・・ありがとう！プロデューサーさんも甘いの好きだから、きっと喜ぶと思うよ！
春香,ホント？それなら良かったー！。はい！天海春香特製ぜんざいと、雪歩のほうじ茶です！！
卯月,わあっ、美味しそう！ってこれ、栗入れたの？
春香,そう！栗ぜんざいにしてみたんだ！
卯月,それに、お茶がとってもいい香り・・・
春香,そうだね・・・じゃあ卯月ちゃん、召し上がれ！
