・聖グロ戦をせずに仲間集めしていたというif,劇場版のネタバレを多少含む
・キャラの口調が怪しいです,特に劇場版
みほ,大学生と交流試合ですか？
杏,うん。大会前だから参加校同士の試合は禁止されててね。本当は聖グロあたりにお願いしたかったんだけどねえ。戦車8輌用意してる間に大会準備期間に入っちゃったよ
みほ,…流石に実力差が
杏,う～ん、まあ勝てないよねえ。でも大会優勝するには、ここで善戦できるぐらいじゃないとムリだろうね
みほ,そうですね。それにここでみんなが戦闘を体験するのと、会長が隊長として信頼得ることは重要です
杏,ん？隊長は西住ちゃんだよ
みほ,へ？
杏,頑張ってね～
みほ,えええー！？
杏,(西住流って名前はみんなを少しでも安心させられる。西住ちゃんには悪いけど、少しでも可能性を上げないと)
愛里寿,できたばかりの戦車道チームと交流試合？
ルミ,ええ。高校生ですが西住流が出ると言っていたのでokしました
メグミ,ってことは黒森峰？
ルミ,いや、西住流の妹は転校していてな。大洗とかいう高校だ
アズミ,あら、去年の試合のせいかしら。かわいそう
ルミ,そういうわけでもないらしい。連絡してきた向こうの会長が言うには、西住流を越えるためとかなんとか
メグミ,それで無名校でチームから新設？気合入ってるのね
愛里寿,(三人は大真面目に話してるけど、本当かな？)。なんにしても試合で手は抜けない
ルミ,相手は8輌しかないらしいですよ？
メグミ,少数精鋭かあ。強くて新しい戦車ばっかりなのかも
アズミ,新設って言うくらいだからそうかもね
愛里寿,(ホントにそうかなあ？なんとか集めた8輌って気がするけど)。一応、高校大会のルールの沿って10輌で行く
アズミ,カールはどうします？たしか許可が出てた気が
愛里寿,カールは置いていく。(輸送費と時間がかかりすぎるし)
ミミミ,了解！
優花里,だ、大学選抜チーム！？
沙織,そこって強いの？
優花里,強いなんてもんじゃありませんよ！社会人チームにすら勝利するチームですよ！！
沙織,じゃあ、プラウダとか黒森峰ってとこより強いってこと？
優花里,一概には言えませんが、そうですね練度は明らかに高いかと
麻子,じゃあ無理だな。早起きより無理だ、いややっぱ早起きの方が無理だ
華,ですが、大会前に色々教わることも多いと思います
みほ,うん。勝つつもりで挑むけど、みんなには楽しんで欲しいな
優花里,そうですね。それが一番です
桃,会長、大学選抜チームは10輌で来るそうです
柚子,うちより2輌も多い……
