モバＰ,以降Ｐ表記ＤＡ・ＹＯ☆
ちひろ,はい。うってつけでしょ？
Ｐ,何でですか。それこそイヴとブリッツェンの出番でしょうが
ちひろ,さっき説明したじゃないですか。コレはあくまでアイドルの娘達のためなんですよ？。折角のクリスマスも仕事で大忙しのアイドル達に社畜サンタからのプレゼント。みんなのモチベーションもアップ、好感度も上昇。更にはこの事務所はアイドル達を大切にしてくれる素晴らしい事務所だ。えっ？アシスタントさんの発案？やっぱりあの人は女神なんですねと。ほら完璧じゃないですか
Ｐ,流石に邪神と女神は見間違えようがないと思いますけど
ちひろ,セイハーッ！
Ｐ,がいむっ！？
ちひろ,まあ、要するにそういうことです。費用は事務所の方からある程度出しますんで、今のうちにみんなからリクエストを聞いてきて下さい
Ｐ,事前に聞いていいんですか？サプライズ感無くなくない？
ちひろ,そこは上手い事トーク術を駆使してくださいな
Ｐ,いや、リクエスト聞いて回るぐらいはいいですけど…え、当日プレゼント配るのも俺なん？
ちひろ,いいじゃないですか。プロデューサーさんから貰えるほうがみんな喜ぶと思いますよ
Ｐ,担当アイドル、何人いると思ってんスか
ちひろ,ポケモンよりは少ないでしょ？
Ｐ,しかもクリスマス当日、みんなあちこちで仕事だと思うんスけど。俺１人で駆け回れと？
ちひろ,だからうってつけだって言ってるんじゃないですか
Ｐ,俺を一体何だと思ってんだアンタ
ちひろ,人外社畜
Ｐ,クソッ！少しは言葉を選ぶフリとかしろよ反論出来ねぇし！
ちひろ,ではそういうことでお願いしますねー
Ｐ,はいはい…まぁ、大事なアイドル達のためですからね
ちひろ,あ、ちなみに私が欲しいものは
Ｐ,いってきまーす
ちひろ,待てや
Ｐ,クリスマスか…もうそんな季節か。歳取ると１年ってあっという間やね
芳乃,くりすます、ですかー？
Ｐ,うぉっ。いきなり何処から出て来るんだよ
芳乃,ほー？
Ｐ,今、事務所の壁がグルンッて回って出てこなかった？…まぁいいや。かくかくしかじか、ってな事でな
芳乃,ほほー。くりすます、ですかー
Ｐ,うん、クリスマス。…一応聞くけどクリスマス知ってる？
芳乃,むむー、それぐらい存じておりますー
Ｐ,だよな。流石に知ってるよな
芳乃,ケーキを食べてー、想い人と夜景の綺麗な建物やご自宅やお城のような建物でいちゃこらする日だとー
Ｐ,間違っちゃいねぇけど！。…じゃあサンタクロースは？
芳乃,さたんくろす、でしてー？
Ｐ,サンタクロースな。何で聖夜にトライアングル・ドリーマーされなきゃならんのよ
芳乃,さざんぐろす、ですかー
Ｐ,それは暗闇大使の怪人体な。つか何でそっち知っててサンタ知らんのよ。いいか？サンタってのはな。まず真っ赤でな
芳乃,ほー
Ｐ,一晩で世界中の子供たちにプレゼントを配れるぐらいめっちゃ速くてな
芳乃,ほー？
Ｐ,空飛ぶトナカイという幻獣にソリを引かせて自在に夜空を飛んでな
芳乃,ほほー
Ｐ,分かった？
芳乃,赤くてー速くてー、乗り物に乗っているのですねー。なるほどー
Ｐ,ご理解頂けたようで
芳乃,つまりー。さんたとはー、シャアでしてー？
Ｐ,さて、１から説明しなおすか
芳乃,と、戸締りをしていても枕元に立つのでして…？
Ｐ,うーん、確かによくよく考えると不法侵入の達人でしかないけどさ。…子供たちの夢なんよ
芳乃,そなたもー、子供のころにさんたにプレゼントを頂いたのですかー？
Ｐ,ハハッ、子供の頃の事思い出そうとすると謎の頭痛がするんだわ
芳乃,闇がー、心の闇が深すぎますー
Ｐ,ってな訳でクリスマス当日にアイドルのみんなにプレゼントしようって話になってさ。あ、芳乃は何が欲しい？
芳乃,ふむー、それならばー
Ｐ,歌舞伎揚げ以外でな
芳乃,かぶっ。…。むぅー
Ｐ,はい、芳乃はまだ考え中、と…。さてと、それじゃあみんなに聞いて回るか。一部聞かなくても良さそうな娘も何人かいるけど
芳乃,はいー
Ｐ,あれ、芳乃もついてくるの？
芳乃,お邪魔でしょうかー
Ｐ,構わんけどさ。なぁ、クリスマスプレゼント何が欲しい？
アッキー,みんなが笑顔でいてくれるのならば、それ以上望む事など俺にはない
芳乃,アイドルに聞くのではー？
優,うん、何で真っ先にアッキーに聞くの？
Ｐ,優の希望は出番、と…。何の話だろうな
芳乃,ほー
Ｐ,さて、次は誰に聞こうか。ウサ子かヒョウ君か、はたまたペロかあの子かマルメターノおじさんか…
芳乃,アイドルがー、アイドルがおりませんー
Ｐ,えーっと、誰かいないかな…日頃めっちゃエンカウント率高いのにこういう時だけ……お、いたいた
幸子,ふぅ…流石に今回のロケは疲れましたね。何なんですかアイヌの埋蔵金探しって。まぁ見つかりましたけど
文香,まさか、刺青が暗号になっているとは……驚きでしたね
幸子,文香さんはひたすらアイヌグルメに舌鼓を打っていただけじゃないですか
文香,ヒンナヒンナ
Ｐ,おーい、さちふみー
幸子,あ、プロデューサーさん。………え、何ですかそれ。ボク達の事ですか？
